Name,Errors,Warnings,Log Level,Protocol Logging,Component Status,Restarts,Last Ping,Handler Name,Resume Time,Stop Time
System Manager,0,0,Warning,Disabled, , , , , , 
Kernel,0,0,Warning,Disabled,Running,0,07/01/2009 10:53:56, , , 
Config Server,0,1,Warning,Disabled,Running,0,07/01/2009 10:53:52, , , 
BBGO,0,3,Warning,Disabled,Running,0,07/01/2009 10:53:56,BBGO, , 
CSVI,0,2,Warning,Disabled,Running,0,07/01/2009 10:53:56,CSVI, , 
CTXI,0,3,Warning,Disabled,Running,0,07/01/2009 10:53:56,CTXI, , 
ERSO,1,2,Warning,Disabled,Running,0,07/01/2009 10:53:56,ERSO, , 
LIGHTO,0,3,Warning,Disabled,Running,0,07/01/2009 10:53:56,LIGHTO, ,
MKLO,1235,2472,Warning,Disabled,Running,0,07/01/2009 10:53:56,MKLO, , 
MLIP2O,0,2515,Warning,Disabled,Running,0,07/01/2009 10:53:56,MLIP2O, , 
RTXLI,0,3,Warning,Disabled,Running,0,07/01/2009 10:53:56,RTXLI, ,
RTXLO,0,3,Warning,Disabled,Running,0,07/01/2009 10:53:56,RTXLO, , 
TC2I,0,4,Warning,Disabled,Running,0,07/01/2009 10:53:55,TC2I, , 
TCPI,0,2,Warning,Disabled,Running,0,07/01/2009 10:53:55,TCPI, , 
TCPO,0,2,Warning,Disabled,Running,0,07/01/2009 10:53:55,TCPO, , 
