name,value
State,UP
ContributionsperSec,0
InstrumentsinUse,462
NoPortsDefined,3
NoofTCPClients,19
NoofUpstreamTCPConnections,2
OutstandingContributions,0
OutstandingRequests,0
Partner,NONE
PartnerName, 
RTDSReleaseNo,17
ServerReleaseNo,17
TotalOutputQueueUsage,0
UpTime,61490
VersionNo,3.9.1.0
NoofDatasets,33
CurrentRole,Master
PortIndex,0
PortsComPort, 
PortDescription,Reuters_MLIP2
PortHost,127.0.0.1
PortHost1,127.0.0.1
PortHost2,127.0.0.1
PortHost3,127.0.0.1
PortHost4, 
PortHost5, 
PortHost6, 
PortHostPort,10300
PortLastInst, 
PortMaxDelayinSecs,0
PortNoinDelayQueue,0
PortNoofCharperSec,0
PortNoofBadMessages,0
PortNoofMessages,0
PortNoofNAKs,0
PortNoofOutChar,0
PortProtocol,MarketLinkIP
PortQueueSize,0
PortService,0
PortTimeinQueue,0
