LWP,PID,COMMAND,S,%CPU,%MEM
16959,16959,rttpd,S,0.0,1.3
16961,16959,rttpd,S,0.0,1.3
16962,16959,rttpd,S,0.0,1.3
16963,16959,rttpd,S,0.0,1.3
16964,16959,rttpd,S,0.0,1.3
16965,16959,rttpd,S,0.0,1.3
16966,16959,rttpd,S,0.0,1.3
16967,16959,rttpd,S,0.0,1.3
16968,16959,rttpd,S,0.0,1.3
16969,16959,rttpd,S,0.0,1.3
16970,16959,rttpd,S,0.0,1.3
16972,16959,rttpd,S,0.0,1.3
16973,16959,rttpd,S,0.0,1.3
16974,16959,rttpd,S,0.0,1.3
16976,16959,rttpd,S,0.0,1.3
16977,16959,rttpd,S,0.0,1.3
16978,16959,rttpd,S,0.0,1.3
16979,16959,rttpd,S,0.0,1.3
16980,16959,rttpd,S,0.0,1.3
16983,16959,rttpd-peer-1,S,0.0,1.3
16984,16959,rttpd-peer-0,S,0.0,1.3
16987,16959,rttpd-session-0,S,0.0,1.3
16989,16959,rttpd,S,0.0,1.3
16990,16959,rttpd,S,0.0,1.3
16991,16959,rttpd,S,0.0,1.3
16992,16959,rttpd,S,0.0,1.3
17003,16959,rttpd,S,0.0,1.3
17004,16959,rttpd,S,0.0,1.3
17357,16959,rttpd,S,0.0,1.3
17368,16959,rttpd,S,0.0,1.3
17373,16959,rttpd,S,0.0,1.3
17374,16959,rttpd,S,0.0,1.3
17456,16959,rttpd,S,0.0,1.3
17496,16959,rttpd,S,0.0,1.3
23170,16959,rttpd,S,0.0,1.3
10152,16959,rttpd,S,0.0,1.3
20018,16959,rttpd,S,0.1,1.3
23493,16959,rttpd,S,0.0,1.3
