Item,Value
Memory Usage,194592 kB
Bound Host Name,-- undefined --
Bound Local Port,-1
Page updates,0
Record updates,1018534
Updates received,0
Updates sent,0
Transformer build date,Tue May 21 17:59:50 BST 2013
Transformer build number,260550
Transformer version,6.0.3
Average Recent CPU%,0.022495978
Process Uptime,up 2 days; 22:27
Process Start Time,Fri Jun 13 09:09:12 EDT 2014
PID,17152
Http server port,65535
Port the registry is running on,11002
Client session max latency,null
Client session avg latency,null
