ProcessID,SessionID,UserName,ProcessName,Creating Process ID,% Processor Time,% User Time,% Privileged Time,Page Faults/sec,Working Set
0,0, , ,0,100.00,0.00,100.00,0.00,16384
8,0, ,System,0,0.00,0.00,0.00,0.00,229376
360,0, ,smss.exe,8,0.00,0.00,0.00,0.00,385024
388,0, ,csrss.exe,360,0.00,0.00,0.00,0.00,2555904
384,0, ,WINLOGON.EXE,360,0.00,0.00,0.00,0.00,18001920
440,0, ,services.exe,384,0.00,0.00,0.00,0.00,59641856
452,0, ,LSASS.EXE,384,0.00,0.00,0.00,0.00,10334208
560,0, ,termsrv.exe,440,0.08,0.08,0.00,7.51,21143552
664,0, ,svchost.exe,440,0.00,0.00,0.00,0.00,5754880
696,0, ,spoolsv.exe,440,0.00,0.00,0.00,0.00,13398016
768,0, ,msdtc.exe,440,0.00,0.00,0.00,0.00,6344704
940,0, ,vcagent.exe,440,0.00,0.00,0.00,0.00,14131200
976,0, ,DefWatch.exe,440,0.00,0.00,0.00,0.00,2879488
1000,0, ,domtimec.exe,440,0.00,0.00,0.00,0.00,380928
1032,0, ,DWRCS.EXE,440,0.00,0.00,0.00,0.00,4116480
1076,0, ,esmagent.exe,440,0.00,0.00,0.00,0.00,3215360
1092,0, ,svchost.exe,440,0.00,0.00,0.00,0.00,6840320
1132,0, ,lcfd.exe,440,0.00,0.00,0.00,0.00,4321280
1204,0, ,NTwrapper.exe,440,0.00,0.00,0.00,0.00,962560
1280,0, ,Rtvscan.exe,440,0.00,0.00,0.00,0.00,25366528
1304,0, ,regsvc.exe,440,0.00,0.00,0.00,0.00,1146880
1316,0, ,mstask.exe,440,0.00,0.00,0.00,0.00,5541888
1340,0, ,snmp.exe,440,0.00,0.00,0.00,0.00,5767168
1400,0, ,smhstart.exe,440,0.00,0.00,0.00,0.00,4239360
1444,0, ,TF Update.exe,440,0.00,0.00,0.00,0.00,5361664
1460,0, ,uphclean.exe,440,0.00,0.00,0.00,0.00,2191360
1480,0, ,winmgmt.exe,440,0.00,0.00,0.00,1.85,1155072
1496,0, ,hpsmhd.exe,1400,0.00,0.00,0.00,0.00,10817536
1500,0, ,beremote.exe,440,0.00,0.00,0.00,0.00,7057408
1552,0, ,CdfSvc.exe,440,0.00,0.00,0.00,0.00,3407872
1584,0, ,cdmsvc.exe,440,0.00,0.00,0.00,0.00,3305472
1604,0, ,cpqnimgt.exe,440,0.00,0.00,0.00,0.00,4681728
1636,0, ,CpqRcmc.exe,440,0.00,0.00,0.00,0.00,1105920
1676,0, ,cqmgserv.exe,440,0.00,0.00,0.00,0.00,2584576
1692,0, ,cqmgstor.exe,440,0.00,0.00,0.00,0.00,4173824
1716,0, ,ctxxmlss.exe,440,0.00,0.00,0.00,0.00,1896448
1756,0, ,encsvc.exe,440,0.00,0.00,0.00,0.00,2940928
1780,0, ,ImaSrv.exe,440,0.55,0.39,0.16,9.91,107757568
1820,0, ,mfcom.exe,440,0.00,0.00,0.00,0.00,6365184
1864,0, ,sysdown.exe,440,0.00,0.00,0.00,0.00,2830336
1980,0, ,AgentSVC.exe,440,0.00,0.00,0.00,0.00,1781760
1404,0, ,sAginst.exe,1980,0.00,0.00,0.00,0.00,5267456
2024,0, ,cqmghost.exe,440,0.00,0.00,0.00,0.00,3059712
2132,0, ,hpsmhd.exe,1496,0.00,0.00,0.00,0.00,22188032
3800,0, ,XTE.exe,440,0.00,0.00,0.00,0.00,8728576
3808,0, ,XTE.exe,3800,0.00,0.00,0.00,0.00,8355840
4524,0, ,ssmarque.scr,384,0.00,0.00,0.00,0.00,1748992
3556,0, ,svchost.exe,440,0.00,0.00,0.00,0.00,21139456
6156,1, ,csrss.exe,360,0.00,0.00,0.00,0.00,946176
6240,1, ,WINLOGON.EXE,360,0.00,0.00,0.00,0.00,1990656
7160,6, ,csrss.exe,360,0.00,0.00,0.00,0.00,946176
5784,6, ,WINLOGON.EXE,360,0.00,0.00,0.00,0.00,1990656
5628,2, ,csrss.exe,360,0.00,0.00,0.00,0.00,946176
6864,2, ,WINLOGON.EXE,360,0.00,0.00,0.00,0.00,1990656
336,3, ,csrss.exe,360,0.00,0.00,0.00,0.00,946176
5500,3, ,WINLOGON.EXE,360,0.00,0.00,0.00,0.001990656
6744,4, ,csrss.exe,360,0.00,0.00,0.00,0.00,946176
7428,4, ,WINLOGON.EXE,360,0.00,0.00,0.00,0.00,1990656
6784,0, ,netprobent.exe,1204,0.39,0.08,0.31,39.13,1861320
3496,0, ,smlogsvc.exe,440,0.00,0.00,0.00,0.00,5406720
