Node,ComputedNodeStatus,Role,MemberName,Host,MaxMemory,AvailableMemory,MemoryUsage,PublisherSuccessRate,
31,,cacheserver,PS-CACHE-3-10,gbwxvcerap05/169.243.200.161,1012  MB,904  MB,10.67  %,99.99  %,
16,,cacheserver,PS-CACHE-2-5,gbwxvcerap04/169.243.200.108,1012  MB,884  MB,12.65  %,99.98  %,
53,,soap,PS-SOAP-1,gbwxvcerap02/169.243.200.106,986  MB,902  MB,8.52  %,99.97  %,
20,,cacheserver,PS-CACHE-2-9,gbwxvcerap04/169.243.200.108,1012  MB,930  MB,8.1  %,99.98  %,
4,,cacheserver,PS-CACHE-1-3,gbwxvcerap03/169.243.200.107,1012  MB,910  MB,10.08  %,99.96  %,
35,,cacheserver,PS-CACHE-4-4,gbwxvcerap06/169.243.200.162,1012  MB,857  MB,15.32  %,99.97  %,
52,,wan-validator,PS-WAN-VALIDATOR,gbwxvcerap02/169.243.200.106,986  MB,976  MB,1.01  %,100  %,
43,,proxy,PS-PROXY-2,gbwxvcerap02/169.243.200.106,1021  MB,830  MB,18.71  %,100  %,
12,,cacheserver,PS-CACHE-2-1,gbwxvcerap04/169.243.200.108,1012  MB,929  MB,8.2  %,99.98  %,
24,,cacheserver,PS-CACHE-3-3,gbwxvcerap05/169.243.200.161,1012  MB,908  MB,10.28  %,99.99  %,
25,,cacheserver,PS-CACHE-3-4,gbwxvcerap05/169.243.200.161,1012  MB,885  MB,12.55  %,99.98  %,
46,,proxy,PS-PROXY-5,gbwxvcerap02/169.243.200.106,1021  MB,698  MB,31.64  %,100  %,
38,,cacheserver,PS-CACHE-4-7,gbwxvcerap06/169.243.200.162,1012  MB,915  MB,9.58  %,99.98  %,
13,,cacheserver,PS-CACHE-2-2,gbwxvcerap04/169.243.200.108,1012  MB,873  MB,13.74  %,99.98  %,
37,,cacheserver,PS-CACHE-4-6,gbwxvcerap06/169.243.200.162,1012  MB,902  MB,10.87  %,99.96  %,
48,,proxy,PS-WANPROXY-2,gbwxvcerap02/169.243.200.106,1008  MB,942  MB,6.55  %,100  %,
15,,cacheserver,PS-CACHE-2-4,gbwxvcerap04/169.243.200.108,1012  MB,892  MB,11.86  %,99.97  %,
22,,cacheserver,PS-CACHE-3-1,gbwxvcerap05/169.243.200.161,1012  MB,936  MB,7.51  %,99.97  %,
8,,cacheserver,PS-CACHE-1-7,gbwxvcerap03/169.243.200.107,1012  MB,866  MB,14.43  %,99.98  %,
6,,cacheserver,PS-CACHE-1-5,gbwxvcerap03/169.243.200.107,1012  MB,881  MB,12.94  %,99.98  %,
3,,cacheserver,PS-CACHE-1-2,gbwxvcerap03/169.243.200.107,1012  MB,866  MB,14.43  %,99.97  %,
1,,jmxrmi,PS-JMX-BOSS,gbwxvcerap02/169.243.200.106,1023  MB,910  MB,11.05  %,100  %,
39,,cacheserver,PS-CACHE-4-8,gbwxvcerap06/169.243.200.162,1012  MB,935  MB,7.61  %,100  %,
9,,cacheserver,PS-CACHE-1-8,gbwxvcerap03/169.243.200.107,1012  MB,896  MB,11.46  %,99.97  %,
10,,cacheserver,PS-CACHE-1-9,gbwxvcerap03/169.243.200.107,1012  MB,849  MB,16.11  %,99.99  %,
27,,cacheserver,PS-CACHE-3-6,gbwxvcerap05/169.243.200.161,1012  MB,926  MB,8.5  %,99.97  %,
18,,cacheserver,PS-CACHE-2-7,gbwxvcerap04/169.243.200.108,1012  MB,906  MB,10.47  %,99.97  %,
30,,cacheserver,PS-CACHE-3-9,gbwxvcerap05/169.243.200.161,1012  MB,867  MB,14.33  %,99.97  %,
40,,cacheserver,PS-CACHE-4-9,gbwxvcerap06/169.243.200.162,1012  MB,883  MB,12.75  %,99.98  %,
47,,proxy,PS-WANPROXY-1,gbwxvcerap02/169.243.200.106,1008  MB,926  MB,8.13  %,100  %,
51,,proxy,PS-WANPROXY-5,gbwxvcerap02/169.243.200.106,1020  MB,859  MB,15.78  %,100  %,
5,,cacheserver,PS-CACHE-1-4,gbwxvcerap03/169.243.200.107,1012  MB,877  MB,13.34  %,99.97  %,
11,,cacheserver,PS-CACHE-1-10,gbwxvcerap03/169.243.200.107,1012  MB,927  MB,8.4  %,99.97  %,
7,,cacheserver,PS-CACHE-1-6,gbwxvcerap03/169.243.200.107,1012  MB,873  MB,13.74  %,99.95  %,
50,,proxy,PS-WANPROXY-4,gbwxvcerap02/169.243.200.106,1008  MB,946  MB,6.15  %,100  %,
2,,cacheserver,PS-CACHE-1-1,gbwxvcerap03/169.243.200.107,1012  MB,858  MB,15.22  %,99.98  %,
17,,cacheserver,PS-CACHE-2-6,gbwxvcerap04/169.243.200.108,1012  MB,931  MB,8  %,99.98  %,
42,,proxy,PS-PROXY-1,gbwxvcerap02/169.243.200.106,1022  MB,584  MB,42.86  %,100  %,
