Node,MbytesSentRate,MbytesReceivedRate,Count,TotalMbytesSent,TotalMbytesReceived,
TcpProxyService-without-pof/50,0.00000 Mb/sec,0.00000 Mb/sec,0,0,0,
gzip-TcpProxyService/44,0.00000 Mb/sec,0.00000 Mb/sec,0,0,0,
TcpProxyService-without-pof/45,0.01400 Mb/sec,0.00000 Mb/sec,4,9591.62,253.35,
TcpProxyService-without-pof/46,0.02750 Mb/sec,0.00000 Mb/sec,4,11369.09,214.2,
gzip-TcpProxyService/50,0.00000 Mb/sec,0.00000 Mb/sec,2,0,0,
gzip-TcpProxyService/45,0.00000 Mb/sec,0.00000 Mb/sec,0,0,0,
TcpProxyService-without-pof/43,0.02800 Mb/sec,0.00000 Mb/sec,5,12622.28,277.87,
gzip-TcpProxyService/48,0.00000 Mb/sec,0.00000 Mb/sec,1,0,0,
TcpProxyService-without-pof/47,0.00000 Mb/sec,0.00000 Mb/sec,0,0,0,
gzip-TcpProxyService/42,0.00000 Mb/sec,0.00000 Mb/sec,0,0,0,
gzip-TcpProxyService/49,0.00000 Mb/sec,0.00000 Mb/sec,2,0,0.12,
TcpProxyService-without-pof/48,0.00000 Mb/sec,0.00000 Mb/sec,0,0,0,
TcpProxyService-without-pof/42,0.01400 Mb/sec,0.00000 Mb/sec,4,9542.11,704.45,
gzip-TcpProxyService/47,0.00000 Mb/sec,0.00000 Mb/sec,1,0,0,
TcpProxyService-without-pof/51,0.00000 Mb/sec,0.00000 Mb/sec,0,0,0,
TcpProxyService-without-pof/44,0.04150 Mb/sec,0.00000 Mb/sec,5,13437.56,924.91,
gzip-TcpProxyService/43,0.00000 Mb/sec,0.00000 Mb/sec,0,0,0,
gzip-TcpProxyService/51,0.00000 Mb/sec,0.00200 Mb/sec,1,3.87,903.82,
TcpProxyService-without-pof/49,0.00000 Mb/sec,0.00000 Mb/sec,0,0,0,
gzip-TcpProxyService/46,0.00000 Mb/sec,0.00000 Mb/sec,0,0,0,
