ID,Node,Units,Size,Role,MemberName,Host,
cache-bitemporal.RAM#29,29,8711504,5416,cacheserver,PS-CACHE-3-8,gbwxvcerap05/169.243.200.161,
cache-bitemporal.RAM#8,8,9014512,5448,cacheserver,PS-CACHE-1-7,gbwxvcerap03/169.243.200.107,
cache-bitemporal.RAM#20,20,9044368,5476,cacheserver,PS-CACHE-2-9,gbwxvcerap04/169.243.200.108,
cache-bitemporal.RAM#15,15,9139128,5511,cacheserver,PS-CACHE-2-4,gbwxvcerap04/169.243.200.108,
cache-bitemporal.RAM#41,41,4597976,2962,cacheserver,PS-CACHE-4-10,gbwxvcerap06/169.243.200.162,
cache-bitemporal.RAM#5,5,8986568,5380,cacheserver,PS-CACHE-1-4,gbwxvcerap03/169.243.200.107,
cache-bitemporal.RAM#31,31,9391312,5565,cacheserver,PS-CACHE-3-10,gbwxvcerap05/169.243.200.161,
cache-bitemporal.RAM#35,35,9222496,5577,cacheserver,PS-CACHE-4-4,gbwxvcerap06/169.243.200.162,
cache-bitemporal.RAM#27,27,9988128,5632,cacheserver,PS-CACHE-3-6,gbwxvcerap05/169.243.200.161,
cache-bitemporal.RAM#37,37,8974568,5440,cacheserver,PS-CACHE-4-6,gbwxvcerap06/169.243.200.162,
cache-bitemporal.RAM#40,40,6512848,3715,cacheserver,PS-CACHE-4-9,gbwxvcerap06/169.243.200.162,
cache-bitemporal.RAM#33,33,9046432,5389,cacheserver,PS-CACHE-4-2,gbwxvcerap06/169.243.200.162,
cache-bitemporal.RAM#36,36,9060872,5514,cacheserver,PS-CACHE-4-5,gbwxvcerap06/169.243.200.162,
cache-bitemporal.RAM#3,3,9260736,5458,cacheserver,PS-CACHE-1-2,gbwxvcerap03/169.243.200.107,
cache-bitemporal.RAM#11,11,10605200,5516,cacheserver,PS-CACHE-1-10,gbwxvcerap03/169.243.200.107,
cache-bitemporal.RAM#23,23,8553664,5369,cacheserver,PS-CACHE-3-2,gbwxvcerap05/169.243.200.161,
cache-bitemporal.RAM#21,21,8637016,5521,cacheserver,PS-CACHE-2-10,gbwxvcerap04/169.243.200.108,
cache-bitemporal.RAM#9,9,9575848,5492,cacheserver,PS-CACHE-1-8,gbwxvcerap03/169.243.200.107,
cache-bitemporal.RAM#18,18,9425384,5431,cacheserver,PS-CACHE-2-7,gbwxvcerap04/169.243.200.108,
cache-bitemporal.RAM#12,12,8492216,5492,cacheserver,PS-CACHE-2-1,gbwxvcerap04/169.243.200.108,
cache-bitemporal.RAM#39,39,6709544,4353,cacheserver,PS-CACHE-4-8,gbwxvcerap06/169.243.200.162,
cache-bitemporal.RAM#32,32,9200944,5411,cacheserver,PS-CACHE-4-1,gbwxvcerap06/169.243.200.162,
cache-bitemporal.RAM#13,13,9370656,5383,cacheserver,PS-CACHE-2-2,gbwxvcerap04/169.243.200.108,
cache-bitemporal.RAM#7,7,9930024,5454,cacheserver,PS-CACHE-1-6,gbwxvcerap03/169.243.200.107,
cache-bitemporal.RAM#26,26,8514152,5352,cacheserver,PS-CACHE-3-5,gbwxvcerap05/169.243.200.161,
cache-bitemporal.RAM#38,38,9181528,5480,cacheserver,PS-CACHE-4-7,gbwxvcerap06/169.243.200.162,
cache-bitemporal.RAM#24,24,9871072,5443,cacheserver,PS-CACHE-3-3,gbwxvcerap05/169.243.200.161,
cache-bitemporal.RAM#17,17,8377400,5437,cacheserver,PS-CACHE-2-6,gbwxvcerap04/169.243.200.108,
cache-bitemporal.RAM#4,4,9207976,5357,cacheserver,PS-CACHE-1-3,gbwxvcerap03/169.243.200.107,
cache-bitemporal.RAM#6,6,9178992,5486,cacheserver,PS-CACHE-1-5,gbwxvcerap03/169.243.200.107,
cache-bitemporal.RAM#10,10,9542280,5416,cacheserver,PS-CACHE-1-9,gbwxvcerap03/169.243.200.107,
cache-bitemporal.RAM#19,19,9121280,5375,cacheserver,PS-CACHE-2-8,gbwxvcerap04/169.243.200.108,
cache-bitemporal.RAM#25,25,8568832,5392,cacheserver,PS-CACHE-3-4,gbwxvcerap05/169.243.200.161,
cache-bitemporal.RAM#22,22,9575424,5392,cacheserver,PS-CACHE-3-1,gbwxvcerap05/169.243.200.161,
cache-bitemporal.RAM#2,2,8960224,5474,cacheserver,PS-CACHE-1-1,gbwxvcerap03/169.243.200.107,
cache-bitemporal.RAM#16,16,9370584,5488,cacheserver,PS-CACHE-2-5,gbwxvcerap04/169.243.200.108,
cache-bitemporal.RAM#34,34,9181888,5575,cacheserver,PS-CACHE-4-3,gbwxvcerap06/169.243.200.162,
cache-bitemporal.RAM#30,30,9456632,5446,cacheserver,PS-CACHE-3-9,gbwxvcerap05/169.243.200.161,
cache-bitemporal.RAM#14,14,9429648,5336,cacheserver,PS-CACHE-2-3,gbwxvcerap04/169.243.200.108,
cache-bitemporal.RAM#28,28,9345008,5425,cacheserver,PS-CACHE-3-7,gbwxvcerap05/169.243.200.161,
