partitionName,freeSpace,percentageUsed,
/,1919 MB,50 %,
/proc,0 MB,100 %,
/sys,0 MB,100 %,
/dev/pts,0 MB,100 %,
/proc/bus/usb,0 MB,100 %,
/dev/vx,0 MB,100 %,
/boot,73 MB,16 %,
/dev/shm,16061 MB,0 %,
/mlextras,6389 MB,17 %,
/var,14854 MB,3 %,
/itrs,894 MB,3 %,
/mqmsw,686 MB,26 %,
/mktdata,8253 MB,10 %,
/tools,2920 MB,37 %,
/usr/home/eraprod,884 MB,2 %,
/ora01,3273 MB,27 %,
/apps/tibco/ems,835 MB,8 %,
/apps/tibco/hawk,772 MB,15 %,
/proc/sys/fs/binfmt_misc,0 MB,100 %,
/var/lib/nfs/rpc_pipefs,0 MB,100 %,
/gbwaaperap02/apps,179357 MB,4 %,
/gbwaaperap02/apps/hawk,1903 MB,1 %,
/gbwaaperap02/apps/ems,7662 MB,1 %,
