processName,/group,instanceCount,percentCPU,residentSetSize,processId,numThreads,percentMemory,virtualMemory,startTime,args,user,
PS-JMX-BOSS,,1,0.41 %,246436 Kb,25947,57,0.75 %,1243024 Kb,Sun May 17 09:58:12 2009,/efs/dist/ ... ort=20003 com.ml.star.core.control.impl.TPRunSystemController,eraprod,
PS-SOAP-1,,1,0.03 %,831084 Kb,11137,39,2.53 %,1867148 Kb,Sun May 17 16:42:46 2009,/efs/dist/ ... ocal-only com.ml.star.core.control.impl.TPRunSystemController,eraprod,
PS-PROXY,,5,0.25 %,3138660 Kb,,285,9.54 %,2010216 Kb,,,eraprod,
PS-WANPROXY,,5,0.17 %,3041720 Kb,,280,9.25 %,2087824 Kb,,,eraprod,
PS-PROXY#001,,,0.04 %,630960 Kb,396,57,1.92 %,1241108 Kb,Sun May 17 10:15:17 2009,/efs/dist/ ... onfig.xml com.ml.star.core.control.impl.TPRunSystemController,eraprod,
PS-PROXY#002,,,0.07 %,627768 Kb,495,57,1.91 %,1237596 Kb,Sun May 17 10:15:23 2009,/efs/dist/ ... onfig.xml com.ml.star.core.control.impl.TPRunSystemController,eraprod,
PS-PROXY#003,,,0.03 %,622580 Kb,637,57,1.89 %,1241204 Kb,Sun May 17 10:15:28 2009,/efs/dist/ ... onfig.xml com.ml.star.core.control.impl.TPRunSystemController,eraprod,
PS-PROXY#004,,,0.05 %,629160 Kb,741,57,1.91 %,1240828 Kb,Sun May 17 10:15:33 2009,/efs/dist/ ... onfig.xml com.ml.star.core.control.impl.TPRunSystemController,eraprod,
PS-WANPROXY#001,,,0.03 %,567792 Kb,946,56,1.73 %,1227224 Kb,Sun May 17 10:16:11 2009,/efs/dist/ ... onfig.xml com.ml.star.core.control.impl.TPRunSystemController,eraprod,
PS-WANPROXY#002,,,0.04 %,569136 Kb,1044,56,1.73 %,1229756 Kb,Sun May 17 10:16:17 2009,/efs/dist/ ... onfig.xml com.ml.star.core.control.impl.TPRunSystemController,eraprod,
PS-WANPROXY#003,,,0.04 %,572936 Kb,1144,56,1.74 %,1231036 Kb,Sun May 17 10:16:22 2009,/efs/dist/ ... onfig.xml com.ml.star.core.control.impl.TPRunSystemController,eraprod,
PS-WANPROXY#004,,,0.02 %,569068 Kb,1247,56,1.73 %,1229888 Kb,Sun May 17 10:16:27 2009,/efs/dist/ ... onfig.xml com.ml.star.core.control.impl.TPRunSystemController,eraprod,
PS-WANPROXY#005,,,0.04 %,762788 Kb,1384,56,2.32 %,1364224 Kb,Sun May 17 10:16:33 2009,/efs/dist/ ... onfig.xml com.ml.star.core.control.impl.TPRunSystemController,eraprod,
PS-PROXY#005,,,0.06 %,628192 Kb,32766,57,1.91 %,1243784 Kb,Sun May 17 10:15:12 2009,/efs/dist/ ... onfig.xml com.ml.star.core.control.impl.TPRunSystemController,eraprod,
