ID,Name,NodeId,CollectionTimeTotal,CollectionCount,
<!>Cluter,PS,
<!>Connection,192.168.10.20:5003,
PS Scavenge:1,PS Scavenge,1,0.71 secs,621,
PS Scavenge:8,PS Scavenge,8,0.62 secs,564,
PS MarkSweep:5,PS MarkSweep,5,0 secs,0,
PS Scavenge:6,PS Scavenge,6,11.81 secs,9040,
PS MarkSweep:1,PS MarkSweep,1,0 secs,0,
PS Scavenge:4,PS Scavenge,4,0.7 secs,565,
PS MarkSweep:3,PS MarkSweep,3,0 secs,0,
PS MarkSweep:8,PS MarkSweep,8,0 secs,0,
PS MarkSweep:2,PS MarkSweep,2,0 secs,0,
PS Scavenge:3,PS Scavenge,3,1.16 secs,892,
PS MarkSweep:6,PS MarkSweep,6,0.07 secs,1,
PS MarkSweep:4,PS MarkSweep,4,0 secs,0,
PS MarkSweep:7,PS MarkSweep,7,0 secs,0,
PS Scavenge:2,PS Scavenge,2,0.69 secs,565,
PS Scavenge:5,PS Scavenge,5,0.7 secs,554,
PS Scavenge:7,PS Scavenge,7,0.66 secs,566,
