Node,UsageCommitted,UsageInit,UsageMax,UsageUsed,PercentageUsed,Role,MemberName,Host,
<!>Cluter,PS,
<!>Connection,192.168.10.20:5003,
6,61.5 Mb,61.8 Mb,953.38 Mb,46.57 Mb,4.88 %,JMXNode,n/a,/192.168.10.20,
1,127.88 Mb,128 Mb,127.88 Mb,16.58 Mb,12.96 %,CacheServer,n/a,/192.168.10.20,
4,127.88 Mb,128 Mb,127.88 Mb,9.12 Mb,7.13 %,CacheServer,n/a,/192.168.10.20,
3,61.69 Mb,61.8 Mb,953.38 Mb,14.38 Mb,1.51 %,ProxyServer,n/a,/192.168.10.20,
5,127.88 Mb,128 Mb,127.88 Mb,11.11 Mb,8.69 %,CacheServer,n/a,/192.168.10.20,
8,127.88 Mb,128 Mb,127.88 Mb,17.4 Mb,13.61 %,CacheServer,n/a,/192.168.10.20,
2,127.88 Mb,128 Mb,127.88 Mb,12.22 Mb,9.56 %,CacheServer,n/a,/192.168.10.20,
7,127.88 Mb,128 Mb,127.88 Mb,10.38 Mb,8.12 %,CacheServer,n/a,/192.168.10.20,
