measurementPoint,informationalAlerts,warningAlerts,minorAlerts,majorAlerts,severeAlerts,e2eLatencyError,e2eLatencyFactor,e2eLatencyUnit,e2eLatencyMin,e2eLatencyMean,e2eLatencyMax,e2eLatencyCount,e2eLatencyPercentile,e2eDelayTargetError,e2eDelayTargetFactor,e2eDelayTargetUnit,e2eDelayTargetValue,remoteRoundtripTimeFactor,remoteRoundtripTimeUnit,remoteRoundtripTimeMin,remoteRoundtripTimeMean,remoteRoundtripTimeMax,remoteRoundtripTimeCount,localRoundtripTimeFactor,localRoundtripTimeUnit,localRoundtripTimeMin,localRoundtripTimeMean,localRoundtripTimeMax,localRoundtripTimeCount,roundtripTimeEventThresholdFactor,roundtripTimeEventThresholdUnit,roundtripTimeEventThresholdValue,e2eLatency95.0%
<!>cfgFile,/home/jpc/rnd/corvil/trunk/test/demo_get_live_stats_clients.cfg
<!>updateIntervalSeconds,60
<!>updateInterval,1 minute
<!>timestamp,1367288220
<!>time,Tue Apr 30 03:17:00 2013
<!>lagOffsetMs,138690
<!>noDataValues,unchanged
rt-class/CUST_AlgoSpeed//London_CNE/CustomerGateway//class-default,,,,,,,1000000,ms,6089000,7309986,10825000,67,9323518,,1000000,ms,1000000000,1000,ms,2200,2878,3036,8,1000,ms,15775,15842,16078,60,1000,ms,200000,9323518
rt-class/CUST_AlphaChase/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,1415,1415,1415,1,1000,ms,38677,38718,38758,2,1000,ms,200000,-1
rt-class/CUST_Arco/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_Bergman//London_CNE/CustomerGateway//class-default,,,,,,,1000000,ms,18344000,179753698,687690001,278,529733704,,1000000,ms,500000000,1000,ms,2661,4085,8147,83,1000,ms,43856,43897,43945,12,1000,ms,200000,393021575
