measurementPoint,e2eLatencyMax-Min,e2eLatencyMax-Mean,e2eLatencyMax-Max,e2eLatencyMean-Min,e2eLatencyMean-Mean,e2eLatencyMean-Max,e2eLatencyMin-Min,e2eLatencyMin-Mean,e2eLatencyMin-Max,e2eLatency99.9%-Min,e2eLatency99.9%-Mean,e2eLatency99.9%-Max,e2eLatency95%-Min,e2eLatency95%-Mean,e2eLatency95%-Max,e2eLatencyUnit,e2eLatencyFactor,e2eLatencyAvailability,e2eLatencyConfigChanges,e2eDelayTargetMin,e2eDelayTargetMean,e2eDelayTargetMax,e2eDelayTargetTotal,e2eDelayTargetUnit,e2eDelayTargetFactor,e2eDelayTargetAvailability,e2eDelayTargetConfigChanges,localRoundtripTimeMax-Min,localRoundtripTimeMax-Mean,localRoundtripTimeMax-Max,localRoundtripTimeMean-Min,localRoundtripTimeMean-Mean,localRoundtripTimeMean-Max,localRoundtripTimeMin-Min,localRoundtripTimeMin-Mean,localRoundtripTimeMin-Max,localRoundtripTimeUnit,localRoundtripTimeFactor,localRoundtripTimeAvailability,localRoundtripTimeConfigChanges,remoteRoundtripTimeMax-Min,remoteRoundtripTimeMax-Mean,remoteRoundtripTimeMax-Max,remoteRoundtripTimeMean-Min,remoteRoundtripTimeMean-Mean,remoteRoundtripTimeMean-Max,remoteRoundtripTimeMin-Min,remoteRoundtripTimeMin-Mean,remoteRoundtripTimeMin-Max,remoteRoundtripTimeUnit,remoteRoundtripTimeFactor,remoteRoundtripTimeAvailability,remoteRoundtripTimeConfigChanges,applicationResponseTimeThresholdMin,applicationResponseTimeThresholdMean,applicationResponseTimeThresholdMax,applicationResponseTimeThresholdTotal,applicationResponseTimeThresholdUnit,applicationResponseTimeThresholdFactor,applicationResponseTimeThresholdAvailability,applicationResponseTimeThresholdConfigChanges,roundtripTimeEventThresholdMin,roundtripTimeEventThresholdMean,roundtripTimeEventThresholdMax,roundtripTimeEventThresholdTotal,roundtripTimeEventThresholdUnit,roundtripTimeEventThresholdFactor,roundtripTimeEventThresholdAvailability,roundtripTimeEventThresholdConfigChanges,e2eLatency99%-Min,e2eLatency99%-Mean,e2eLatency99%-Max
<!>cfgFile,/home/jpc/rnd/corvil/trunk/test/demo_get_stats_venues_1hour.cfg
<!>updateIntervalSeconds,300
<!>updateInterval,5 minutes
<!>startTimestampMs,1367284500000
<!>startTime,Tue Apr 30 02:15:00 2013
<!>endTimestampMs,1367288100000
<!>endTime,Tue Apr 30 03:15:00 2013
<!>noDataValues,previous
rt-class/AlgoEngine/London_CNE//VENUE_Chicago/AlgoLatency/class-default,21184000,21184000,21184000,10941177,10941177,10941177,1102999,1102999,1103000,21184000,21184000,21184000,21184000,21184000,21184000,ms,1000000,100,,30000000,30000000,30000000,360000000,ms,1000000,100,,,,,,,,,,,ms,1000,0,,,,,,,,,,,ms,1000,0,,60000,60000,60000,720000,ms,1000,100,,60000,60000,60000,720000,ms,1000,100,,,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago//class-default,87896000,331680100,1406954000,9871529,16693071,26834885,5405000,5978200,7792000,,,,20874261,44153815,88350767,ms,1000000,83,,1000000000,1000000000,1000000000,12000000000,ms,1000000,100,,16123,16213,16357,16098,16104,16116,16037,16049,16076,ms,1000,100,,2799,4159,6019,2649,2674,2692,1921,2035,2178,ms,1000,83,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago/Session-1/class-default,87896000,196009900,288318000,9348526,17087765,31502768,5542000,6301100,7792000,,,,14735437,43327816,92857544,ms,1000000,83,,1000000000,1000000000,1000000000,12000000000,ms,1000000,100,,16108,16179,16264,16095,16103,16115,16039,16052,16082,ms,1000,92,,2797,3648,4882,2636,2680,2814,1933,2156,2382,ms,1000,83,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
