name,Usage,Usage in MHz,Reserved capacity,System,Wait,Ready,Idle,Used,CPU Capacity Provisioned,CPU Capacity Entitlement,CPU Capacity Usage,CPU Capacity Demand,CPU Capacity Contention,CPU Core Count Provisioned,CPU Core Count Usage,CPU Core Count Contention,Worst case allocation,Total,Swap wait,Utilization,Core Utilization,Total capacity,Latency,Entitlement,Demand,Co-stop,Max limited,Overlap,Run,Demand-to-entitlement ratio
fcaweb-srv01-d,229,49,,0,19614,7,19492,871,,,,,,,,,,,0,,,,4,4897,76,0,0,2,380,100
WJSSPSPAPP01,217,65,,0,19486,12,19715,762,,,,,,,,,,,0,,,,6,4667,105,0,0,4,506,200
EGSSDWDS02,160,35,,0,19723,8,19692,276,,,,,,,,,,,0,,,,3,3260,188,0,0,2,276,500
USVLWJAACWMDB04,523,150,,0,18822,25,18931,2046,,,,,,,,,,,0,,,,15,6520,280,0,0,15,1164,400
USVLWJAACWMDB02,370,87,,0,19304,25,19248,675,,,,,,,,,,,0,,,,15,3260,89,0,0,3,674,200
USVWEQABNRPSQL01,79,27,,0,19781,15,19933,264,,,,,,,,,,,0,,,,6,5744,33,0,0,2,216,0
EGSSU-DB01,347,71,,0,19344,20,19109,2694,,,,,,,,,,,0,,,,21,13039,370,0,0,31,586,200
USSWEQABNOHUSQL01,242,35,,0,19519,13,19519,1858,,,,,,,,,,,0,,,,15,11489,259,0,0,29,274,200
FCACL-EKM01,112,8,,0,19707,15,19690,868,,,,,,,,,,,0,,,,8,9335,104,0,0,9,68,100
FCACOM-LCS05,985,262,,0,17925,72,17947,3876,,,,,,,,,,,0,,,,34,4667,507,0,0,23,2021,1000
EGSSP-SWNMP01,93,24,,0,19810,4,19743,1031,,,,,,,,,,,0,,,,3,14691,354,0,0,9,180,200
USVEQABNGPSQL01,1672,497,,0,16134,17,17047,6605,,,,,,,,,,,0,,,,8,5744,1075,0,0,20,3844,1800
EGSSD-SP01,459,88,,0,19095,2,18832,5419,,,,,,,,,,,0,,,,42,22978,734,0,0,39,904,300
FCACOM-LCS01,258,40,,0,19357,10,19340,2003,,,,,,,,,,,0,,,,12,9335,354,0,0,13,317,300
WJSSPSPWB01,2988,468,,0,15378,21,15214,23818,,,,,,,,,,,0,,,,29,9794,3188,0,0,52,3655,3200
USVLEQAACWMGNP1,820,195,,0,17899,562,17695,1508,,,,,,,,,,,0,,,,299,584,260,0,0,55,1536,4400
EGSSP-SQLDB04,52,16,,0,19874,2,19914,173,,,,,,,,,,,0,,,,1,6520,28,0,0,2,130,0
WJCLUPRAP01,2551,430,,0,9082,3,9080,20348,,,,,,,,,,,0,,,,2,15647,2681,0,0,20,3321,1700
USVLEQAACWMGNP2,758,180,,0,18171,373,17990,1395,,,,,,,,,,,0,,,,219,584,183,0,0,90,1454,3100
WJSSPTFS02,1978,506,,0,16090,2,16072,3903,,,,,,,,,,,0,,,,11,2450,567,0,0,3,3905,2300
EQSSDSQLAPP,1446,479,,0,16030,162,17745,5652,,,,,,,,,,,0,,,,117,4897,762,0,0,24,3699,1500
EQCLPDRAG01,831,225,,0,18250,12,18323,3235,,,,,,,,,,,0,,,,14,5744,424,0,0,17,1739,700
EQSSP-SCR02,186,44,,0,19640,15,19637,346,,,,,,,,,,,0,,,,28,2872,63,0,0,0,345,200
USVLEQAACWMDB03,856,218,,0,18261,20,18134,3354,,,,,,,,,,,0,,,,22,4897,505,0,0,15,1686,1000
FCAMF-EPO01,325,71,,0,19334,0,19307,2535,,,,,,,,,,,0,,,,2,11489,238,2,0,9,553,200
UCS Platform Emulator,4426,822,,0,10916,12,10891,8819,,,,,,,,,,,0,,,,159,1919,755,0,0,7,9097,3900
EQCLP-MQ01,3560,874,,0,13214,21,13475,13113,,,,,,,,,,,0,,,,18,5744,1754,0,0,63,6760,3000
EGSSP-SQLDB02,60,16,,0,19858,9,19937,173,,,,,,,,,,,0,,,,5,7824,28,0,0,2,124,0
EQSSPSLRWNCMDB,2474,584,,0,15497,5,15138,9177,,,,,,,,,,,0,,,,4,4897,1325,0,0,30,4499,2700
EQSSP-ACS01,220,57,,0,19546,13,19624,798,,,,,,,,,,,0,,,,9,5744,122,0,0,5,439,200
USVLEQAACWMBRP3,354,83,,0,19318,43,19204,641,,,,,,,,,,,0,,,,22,584,89,0,0,0,638,1500
USVLEQAACWMBRP4,362,88,,0,19147,176,19040,679,,,,,,,,,,,0,,,,90,584,92,0,0,2,674,1500
USVLEQAACWMBRP1,378,91,,0,19266,28,19147,707,,,,,,,,,,,0,,,,16,584,92,0,0,1,704,1500
EGSSDSCOM01,115,24,,0,19795,11,19796,192,,,,,,,,,,,0,,,,8,3912,30,0,0,1,192,0
USVLEQAACWMBRP2,332,74,,0,19355,76,19248,570,,,,,,,,,,,0,,,,40,584,79,0,0,1,567,1300
FCARSA-SRV02,128,18,,0,19693,24,19689,898,,,,,,,,,,,0,,,,14,9794,169,0,0,7,147,100
EGSSDSCCM01,1039,262,,0,17949,25,17769,4083,,,,,,,,,,,0,,,,19,7824,321,0,0,23,2021,400
USSWWJABNINET02,532,82,,0,18703,7,18594,8376,,,,,,,,,,,0,,,,47,19588,1123,33,0,103,741,500
WJCLDTC01,136,29,,0,19759,19,19748,230,,,,,,,,,,,0,,,,13,3260,33,0,0,1,228,100
EQSSP-ECLXAPP01,81,16,,0,19862,6,19863,128,,,,,,,,,,,0,,,,4,2448,20,0,0,0,127,0
WJCLDTC02,70,16,,0,19866,10,19855,131,,,,,,,,,,,0,,,,6,3260,24,0,0,2,131,0
WJSSPRNTSRV02,61,11,,0,19906,7,19902,89,,,,,,,,,,,0,,,,6,3830,15,0,0,0,88,0
EGCLU-TCDB01,507,140,,0,18921,4,18749,1964,,,,,,,,,,,0,,,,10,6520,260,0,0,10,1071,300
EGCLP-MQ02,156,40,,0,19683,3,19707,591,,,,,,,,,,,0,,,,3,7659,31,0,0,3,316,0
WJSSPJIRA01,383,50,,0,19000,20,18992,3022,,,,,,,,,,,0,,,,11,9794,346,0,0,12,394,300
USVLWJAACWMBRU3,271,59,,0,19541,2,19453,456,,,,,,,,,,,0,,,,1,711,67,0,0,0,452,900
USVLWJAACWMBRU4,300,70,,0,19405,52,19312,544,,,,,,,,,,,0,,,,28,712,82,0,0,1,540,1100
EQCLP-SLAP01,235,53,,0,19577,14,19584,412,,,,,,,,,,,0,,,,15,2334,41,0,0,3,413,100
EQSSP-DB01,830,218,,0,18307,0,18369,3268,,,,,,,,,,,0,,,,2,5744,438,0,0,7,1684,700
EGMAD-AMG01-C1,682,204,,0,18308,202,18620,2636,,,,,,,,,,,0,,,,80,6520,359,0,0,29,1576,500
EGSSPCVCELL02,8380,2154,,0,3369,1,3351,16614,,,,,,,,,,,0,,,,1,3831,1180,0,0,10,16629,3000
USVLEQAACWMISP4,320,75,,0,19290,129,19188,586,,,,,,,,,,,0,,,,66,584,89,0,0,1,580,1500
EQSSPEXMBX01,1111,264,,0,17520,91,17500,17399,,,,,,,,,,,0,,,,63,19588,2895,448,0,85,2764,1400
USVLEQAACWMISP3,353,82,,0,19275,102,19193,633,,,,,,,,,,,0,,,,54,584,177,0,0,2,626,3000
USVLEQAACWMISP2,379,71,,0,19273,134,19227,2629,,,,,,,,,,,0,,,,79,2334,596,0,0,153,585,2500
EQSSPEXMBX02,1120,320,,0,15976,809,15912,17188,,,,,,,,,,,0,,,,628,19588,1885,4758,0,235,2681,900
USVLEQAACWMISP1,261,51,,0,19518,45,19460,1912,,,,,,,,,,,0,,,,28,2334,519,0,0,32,407,2200
WJCLPIDHDB02,6958,1799,,0,6074,10,6059,13877,,,,,,,,,,,0,,,,37,3912,668,0,0,8,13910,1700
egssd-pocsan01,9979,1856,,0,0,3,0,39854,,,,,,,,,,,0,,,,42,3838,3735,0,0,19,19979,9700
WJCLPIDHDB01,797,131,,0,18510,39,18422,6235,,,,,,,,,,,0,,,,30,9335,1005,0,0,47,1036,1000
USSVABNDEPMC01,94,19,,0,19852,5,19866,150,,,,,,,,,,,0,,,,4,2334,28,0,0,1,150,100
USSVABNDEPMC05,705,174,,0,18649,5,18651,1344,,,,,,,,,,,0,,,,6,2335,166,0,0,3,1347,700
EQSSU-DB01,1653,177,,0,12735,108,12695,13138,,,,,,,,,,,0,,,,68,9794,1110,0,0,55,1367,1100
EQCLP-IDSH01,43,7,,0,19943,6,19940,610,,,,,,,,,,,0,,,,7,19588,113,0,0,9,49,0
