name,type,uncommitted,url,accessible,capacity,Free Space,Maintenance Mode
SATA_SP1_RYAN_TEST_20140416,VMFS,,ds:///vmfs/volumes/534e9d02-06e48f55-8790-ac162dbd77be/,true,9395240960,8810135552,normal
SAS_SP1_VMWARE_VMFS5_SharedServices_01,VMFS,3988028824122,ds:///vmfs/volumes/50e5b38c-f889d5a9-dab0-ac162dbd77be/,true,4397778075648,2611142983680,normal
SAS_SP1_VMWARE_VMFS5_SharedServices_02,VMFS,1553513620917,ds:///vmfs/volumes/50ca0311-fc1f899a-9ea1-e83935a8a949/,true,1099243192320,306260738048,normal
SAS_SP1_VMWARE_VMFS5_SharedServices_03,VMFS,2191970955956,ds:///vmfs/volumes/528f9176-6f4880d4-6380-e83935a8a94a/,true,2858569170944,310463430656,normal
SAS_SP2_VMWARE_SWAP_SharedServices_01,VMFS,,ds:///vmfs/volumes/50e5b779-c7d26d19-6bcd-ac162dbd77be/,true,429496729600,424856780800,normal
datastore1 (2),VMFS,,ds:///vmfs/volumes/4f725af5-c78594d4-6834-e83935c08885/,true,141465485312,140447318016,normal
SATA_SP1_VMWARE_VMFS3_WJCLDTCDB01,VMFS,37060870144,ds:///vmfs/volumes/53079263-8240c666-fc3c-1cc1deeeff7d/,true,1099243192320,61945675776,normal
SAS_SP1_VMWARE_VMFS3_SharedServices_01,VMFS,410621313024,ds:///vmfs/volumes/501197b8-fcc5c690-58be-1cc1deeeff7d/,true,1099243192320,506724352000,normal
SAS_SP2_VMWARE_VMFS3_SharedServices_02,VMFS,288053264384,ds:///vmfs/volumes/503e3ca1-1eceb656-80f4-1cc1deeeff7d/,true,1099243192320,160096583680,normal
SAS_SP1_VMWARE_WJCLDTC03_SQL_LOG,VMFS,,ds:///vmfs/volumes/50217ef3-92530184-9f0b-1cc1deeeff7d/,true,85630910464,85042659328,normal
SATA_SP2_VMWARE_VMFS3_WJCLDTCDB01,VMFS,351344263168,ds:///vmfs/volumes/530792c9-b394a8a0-6404-1cc1deeeff7d/,true,1099243192320,376229068800,normal
