name,Average read requests per second,Average write requests per second,Read rate,Write rate,Read latency,Write latency,Highest latency,Storage I/O Control aggregated IOPS,Storage I/O Control normalized latency,usage,contention,busResets,commandsAborted,Storage DRS datastore bytes read,Storage DRS datastore bytes written,Storage DRS datastore read I/O rate,Storage DRS datastore write I/O rate,Storage DRS datastore outstanding read requests,Storage DRS datastore outstanding write requests,Storage DRS datastore normalized read latency,Storage DRS datastore normalized write latency,Storage DRS datastore read workload metric,Storage DRS datastore write workload metric,Storage I/O Control datastore maximum queue depth,Storage I/O Control active time percentage,Datastore latency observed by VMs
fcaweb-srv01-d,,,,,,,173,,,,,,,,,,,,,,,,,,,
WJSSPSPAPP01,,,,,,,356,,,,,,,,,,,,,,,,,,,
EGSSDWDS02,,,,,,,1,,,,,,,,,,,,,,,,,,,
USVLWJAACWMDB04,,,,,,,2,,,,,,,,,,,,,,,,,,,
USVLWJAACWMDB02,,,,,,,2,,,,,,,,,,,,,,,,,,,
USVWEQABNRPSQL01,,,,,,,878,,,,,,,,,,,,,,,,,,,
EGSSU-DB01,,,,,,,2,,,,,,,,,,,,,,,,,,,
USSWEQABNOHUSQL01,,,,,,,556,,,,,,,,,,,,,,,,,,,
FCACL-EKM01,,,,,,,69,,,,,,,,,,,,,,,,,,,
FCACOM-LCS05,,,,,,,255,,,,,,,,,,,,,,,,,,,
EGSSP-SWNMP01,,,,,,,512,,,,,,,,,,,,,,,,,,,
USVEQABNGPSQL01,,,,,,,76,,,,,,,,,,,,,,,,,,,
EGSSD-SP01,,,,,,,1,,,,,,,,,,,,,,,,,,,
FCACOM-LCS01,,,,,,,64,,,,,,,,,,,,,,,,,,,
WJSSPSPWB01,,,,,,,23,,,,,,,,,,,,,,,,,,,
USVLEQAACWMGNP1,,,,,,,8,,,,,,,,,,,,,,,,,,,
EGSSP-SQLDB04,,,,,,,1,,,,,,,,,,,,,,,,,,,
WJCLUPRAP01,,,,,,,1,,,,,,,,,,,,,,,,,,,
USVLEQAACWMGNP2,,,,,,,190,,,,,,,,,,,,,,,,,,,
WJSSPTFS02,,,,,,,1,,,,,,,,,,,,,,,,,,,
EQSSDSQLAPP,,,,,,,285,,,,,,,,,,,,,,,,,,,
EQCLPDRAG01,,,,,,,320,,,,,,,,,,,,,,,,,,,
EQSSP-SCR02,,,,,,,149,,,,,,,,,,,,,,,,,,,
USVLEQAACWMDB03,,,,,,,238,,,,,,,,,,,,,,,,,,,
FCAMF-EPO01,,,,,,,22,,,,,,,,,,,,,,,,,,,
UCS Platform Emulator,0,19,0,210,0,0,0,,,,,,,,,,,,,,,,,,,
EQCLP-MQ01,,,,,,,409,,,,,,,,,,,,,,,,,,,
EGSSP-SQLDB02,,,,,,,1,,,,,,,,,,,,,,,,,,,
EQSSPSLRWNCMDB,,,,,,,3,,,,,,,,,,,,,,,,,,,
EQSSP-ACS01,,,,,,,33,,,,,,,,,,,,,,,,,,,
USVLEQAACWMBRP3,,,,,,,1,,,,,,,,,,,,,,,,,,,
USVLEQAACWMBRP4,,,,,,,1,,,,,,,,,,,,,,,,,,,
USVLEQAACWMBRP1,,,,,,,629,,,,,,,,,,,,,,,,,,,
EGSSDSCOM01,,,,,,,2,,,,,,,,,,,,,,,,,,,
USVLEQAACWMBRP2,,,,,,,1505,,,,,,,,,,,,,,,,,,,
FCARSA-SRV02,,,,,,,241,,,,,,,,,,,,,,,,,,,
EGSSDSCCM01,,,,,,,2,,,,,,,,,,,,,,,,,,,
USSWWJABNINET02,,,,,,,128,,,,,,,,,,,,,,,,,,,
WJCLDTC01,,,,,,,0,,,,,,,,,,,,,,,,,,,
EQSSP-ECLXAPP01,,,,,,,0,,,,,,,,,,,,,,,,,,,
WJCLDTC02,,,,,,,0,,,,,,,,,,,,,,,,,,,
WJSSPRNTSRV02,,,,,,,2,,,,,,,,,,,,,,,,,,,
EGCLU-TCDB01,,,,,,,5,,,,,,,,,,,,,,,,,,,
EGCLP-MQ02,,,,,,,1,,,,,,,,,,,,,,,,,,,
WJSSPJIRA01,,,,,,,62,,,,,,,,,,,,,,,,,,,
USVLWJAACWMBRU3,,,,,,,2,,,,,,,,,,,,,,,,,,,
USVLWJAACWMBRU4,,,,,,,1,,,,,,,,,,,,,,,,,,,
EQCLP-SLAP01,,,,,,,1,,,,,,,,,,,,,,,,,,,
EQSSP-DB01,,,,,,,0,,,,,,,,,,,,,,,,,,,
