name,Usage,Reserved capacity,Granted,Active,Shared,Zero,Unreserved,Swap used,Swap unreserved,Shared common,Heap,Heap free,State,Swapped,Swap target,swapIn,swapOut,Swap in rate,Swap out rate,Balloon,Balloon target,Consumed,Overhead,Compressed,Compression rate,Decompression rate,Memory Capacity Provisioned,Memory Capacity Entitlement,Memory Capacity Usable,Memory Capacity Usage,Memory Capacity Contention,vm,vmOvrhd,vmkOvrhd,userworld,vmOvhd,Memory Reserved Capacity %,Memory Consumed by VMs,Memory Consumed by userworlds,Worst case allocation,Total,Swap in,Swap out,Used by VMkernel,Active write,Reserved overhead,Total capacity,Zipped memory,Memory saved by zipping,Latency,Entitlement,Low free threshold,Host cache used for swapping,Swap in rate from host cache,Swap out rate to host cache,Overhead touched,Swap in from host cache,Swap out to host cache
fcaweb-srv01-d,199,,4194304,83884,56008,6496,,,,,,,,0,0,,,0,0,0,0,4138304,42176,0,0,0,,,,,,,,,,,,,,,,0,0,,83884,46316,,0,0,0,4182140,,0,0,0,42176,,
WJSSPSPAPP01,199,,8196096,167772,4485844,3884628,,,,,,,,0,0,,,0,0,0,0,3993764,78736,0,0,0,,,,,,,,,,,,,,,,0,0,,83884,76240,,0,0,0,4267352,,0,0,0,78736,,
EGSSDWDS02,399,,4194304,167772,1908,1008,,,,,,,,0,0,,,0,0,0,0,4192724,44064,0,0,0,,,,,,,,,,,,,,,,0,0,,125828,47368,,0,0,0,4238992,,0,0,0,44064,,
USVLWJAACWMDB04,399,,4194304,167772,1624,812,,,,,,,,0,0,,,0,0,0,0,4193060,47656,0,0,0,,,,,,,,,,,,,,,,0,0,,167772,50944,,0,0,0,4243020,,0,0,0,47656,,
USVLWJAACWMDB02,499,,4194304,209712,3232,2264,,,,,,,,0,0,,,0,0,0,0,4191232,44900,0,0,0,,,,,,,,,,,,,,,,0,0,,167772,47368,,0,0,0,4238404,,0,0,0,44900,,
USVWEQABNRPSQL01,399,,4194304,167772,916,500,,,,,,,,0,0,,,0,0,0,0,4193476,47648,0,0,0,,,,,,,,,,,,,,,,0,0,,167772,50432,,0,0,0,4243400,,0,0,0,47648,,
EGSSU-DB01,499,,8388608,419428,1428,596,,,,,,,,0,0,,,0,0,0,0,8387576,67788,0,0,0,,,,,,,,,,,,,,,,0,0,,419428,83328,,0,0,0,8457508,,0,0,0,67788,,
USSWEQABNOHUSQL01,499,,4194296,209712,100992,6356,,,,,,,,0,0,,,0,0,0,0,4093624,47828,0,0,0,,,,,,,,,,,,,,,,0,0,,209712,53532,,0,0,0,4143276,,0,0,0,47828,,
FCACL-EKM01,699,,2097152,146800,112556,1444,,,,,,,,0,0,,,0,0,0,0,1984828,40492,0,0,0,,,,,,,,,,,,,,,,0,0,,146800,40916,,0,0,0,2027256,,0,0,0,40492,,
FCACOM-LCS05,699,,4194304,293600,95480,14912,,,,,,,,0,0,,,0,0,0,0,4099032,42424,0,0,0,,,,,,,,,,,,,,,,0,0,,293600,46380,,0,0,0,4143236,,0,0,0,42424,,
EGSSP-SWNMP01,1199,,6291456,754972,36472,28824,,,,,,,,0,0,,,0,0,0,0,6258668,64524,0,0,0,,,,,,,,,,,,,,,,0,0,,692060,77928,,0,0,0,6325340,,0,0,0,64524,,
USVEQABNGPSQL01,1899,,4192256,796916,2688,2424,,,,,,,,0,0,,,0,0,0,0,4189668,42096,0,0,0,,,,,,,,,,,,,,,,0,0,,754972,46316,,0,0,0,4235572,,0,0,0,42096,,
EGSSD-SP01,899,,12582912,1132460,856,668,,,,,,,,0,0,,,0,0,0,0,12582084,89828,0,0,0,,,,,,,,,,,,,,,,0,0,,880800,115204,,0,0,0,12674144,,0,0,0,89828,,
FCACOM-LCS01,599,,4194304,251656,1142396,784004,,,,,,,,0,0,,,0,0,0,0,3201800,55812,0,0,0,,,,,,,,,,,,,,,,0,0,,83884,53468,,0,0,0,3259596,,0,0,0,55812,,
WJSSPSPWB01,1199,,8388608,1006632,15760,14932,,,,,,,,0,0,,,0,0,0,0,8373156,95716,0,0,0,,,,,,,,,,,,,,,,0,0,,922744,108068,,0,0,0,8473816,,0,0,0,95716,,
USVLEQAACWMGNP1,1099,,4851712,692060,307932,39732,,,,,,,,0,0,,,0,0,0,0,4644012,42840,0,0,0,,,,,,,,,,,,,,,,0,0,,629144,59984,,0,0,0,5152564,,0,0,0,42840,,
EGSSP-SQLDB04,0,,16336896,0,12945408,12945408,,,,,,,,0,0,,,0,0,0,0,3391488,90852,0,0,0,,,,,,,,,,,,,,,,0,0,,0,122532,,0,0,0,3823376,,0,0,0,90852,,
WJCLUPRAP01,299,,16320512,503316,1776,780,,,,,,,,0,0,,,0,0,0,0,16319112,102360,0,0,0,,,,,,,,,,,,,,,,0,0,,503316,133796,,0,0,0,16880532,,0,0,0,102360,,
USVLEQAACWMGNP2,999,,4925440,629144,355756,45740,,,,,,,,0,0,,,0,0,0,0,4649532,43088,0,0,0,,,,,,,,,,,,,,,,0,0,,566228,59984,,0,0,0,5158864,,0,0,0,43088,,
WJSSPTFS02,1999,,4194304,838860,2912,1672,,,,,,,,0,0,,,0,0,0,0,4191748,42296,0,0,0,,,,,,,,,,,,,,,,0,0,,796916,46920,,0,0,0,4236076,,0,0,0,42296,,
EQSSDSQLAPP,799,,4194304,335544,1716,812,,,,,,,,0,0,,,0,0,0,0,4192844,48328,0,0,0,,,,,,,,,,,,,,,,0,0,,293600,50944,,0,0,0,4243552,,0,0,0,48328,,
EQCLPDRAG01,999,,8388608,838860,2156,1200,,,,,,,,0,0,,,0,0,0,0,8386872,64096,0,0,0,,,,,,,,,,,,,,,,0,0,,754972,75664,,0,0,0,8453244,,0,0,0,64096,,
EQSSP-SCR02,599,,4194304,251656,952,724,,,,,,,,0,0,,,0,0,0,0,4193436,43456,0,0,0,,,,,,,,,,,,,,,,0,0,,251656,47368,,0,0,0,4239028,,0,0,0,43456,,
USVLEQAACWMDB03,399,,12582912,503316,1888,960,,,,,,,,0,0,,,0,0,0,0,12581436,81216,0,0,0,,,,,,,,,,,,,,,,0,0,,503316,100900,,0,0,0,12664996,,0,0,0,81216,,
FCAMF-EPO01,499,,3669856,183500,61364,6796,,,,,,,,0,0,,,0,0,0,0,3608772,47116,0,0,0,,,,,,,,,,,,,,,,0,0,,183500,50320,,0,0,0,3658012,,0,0,0,47116,,
UCS Platform Emulator,1199,,2097152,251656,0,0,,,,,,,,0,0,,,0,0,0,0,2097152,26504,0,0,0,,,,,,,,,,,,,,,,0,0,,251656,31804,,0,0,0,2124876,,0,0,0,26504,,
EQCLP-MQ01,299,,8214528,251656,1480,920,,,,,,,,0,0,,,0,0,0,0,8213300,62072,0,0,0,,,,,,,,,,,,,,,,0,0,,251656,75664,,0,0,0,8451556,,0,0,0,62072,,
EGSSP-SQLDB02,99,,16777216,167772,0,0,,,,,,,,0,0,,,0,0,0,0,16777216,92860,0,0,0,,,,,,,,,,,,,,,,0,0,,0,122532,,0,0,0,16871988,,0,0,0,92860,,
EQSSPSLRWNCMDB,1099,,8388608,922744,1740,1016,,,,,,,,0,0,,,0,0,0,0,8387020,64276,0,0,0,,,,,,,,,,,,,,,,0,0,,838860,75664,,0,0,0,8453604,,0,0,0,64276,,
EQSSP-ACS01,999,,4018176,419428,0,0,,,,,,,,0,0,,,0,0,0,0,4018176,38420,0,0,0,,,,,,,,,,,,,,,,0,0,,419428,46832,,0,0,0,4234140,,0,0,0,38420,,
USVLEQAACWMBRP3,199,,1667104,83884,289508,180952,,,,,,,,0,0,,,0,0,0,0,1425636,29804,0,0,0,,,,,,,,,,,,,,,,0,0,,83884,47368,,0,0,0,1599312,,0,0,0,29804,,
USVLEQAACWMBRP4,99,,3102720,41940,1013972,828604,,,,,,,,0,0,,,0,0,0,0,2192424,34648,0,0,0,,,,,,,,,,,,,,,,0,0,,41940,47368,,0,0,0,2447580,,0,0,0,34648,,
USVLEQAACWMBRP1,0,,2430976,0,534792,466980,,,,,,,,0,0,,,0,0,0,0,1933316,32300,0,0,0,,,,,,,,,,,,,,,,0,0,,0,47368,,0,0,0,2160260,,0,0,0,32300,,
EGSSDSCOM01,399,,4112384,167772,1188,540,,,,,,,,0,0,,,0,0,0,0,4111464,44468,0,0,0,,,,,,,,,,,,,,,,0,0,,125828,47368,,0,0,0,4240052,,0,0,0,44468,,
USVLEQAACWMBRP2,199,,2996224,83884,486460,46148,,,,,,,,0,0,,,0,0,0,0,2738728,33964,0,0,0,,,,,,,,,,,,,,,,0,0,,83884,47368,,0,0,0,3047852,,0,0,0,33964,,
FCARSA-SRV02,499,,3669880,183500,107800,7160,,,,,,,,0,0,,,0,0,0,0,3562336,46164,0,0,0,,,,,,,,,,,,,,,,0,0,,183500,50384,,0,0,0,3610484,,0,0,0,46164,,
EGSSDSCCM01,599,,8388608,503316,1656,960,,,,,,,,0,0,,,0,0,0,0,8387324,63280,0,0,0,,,,,,,,,,,,,,,,0,0,,503316,76176,,0,0,0,8452808,,0,0,0,63280,,
