name,Usage,Packets received,Packets transmitted,Data receive rate,Data transmit rate,pNic Throughput Provisioned,pNic Throughput Usable,vNic Throughput Usage,vNic Throughput Contention,pNic Packets Received and Transmitted per Second,pNic Throughput Usage for VMs,pNic Throughput Usage for NFS,pNic Throughput Usage for vMotion,pNic Throughput Usage for FT,pNic Throughput Usage for iSCSI,pNic Throughput Usage for HBR,Receive packets dropped,Transmit packets dropped,Broadcast receives,Broadcast transmits,Multicast receives,Multicast transmits,Packet receive errors,Packet transmit errors,Unknown protocol frames,VDS transmitted packets throughput,VDS transmitted multicast packets throughput,VDS transmitted broadcast packets throughput,VDS received packets throughput,VDS received multicast packets throughput,VDS received broadcast packets throughput,VDS dropped transmitted packets throughput,VDS dropped received packets throughput,VDS port transmitted packets throughput,VDS port transmitted multicast packets throughput,VDS port transmitted broadcast packets throughput ,VDS port received packets throughput,VDS port received multicast packets throughput,VDS port received broadcast packets throughput,VDS port dropped transmitted packets throughput,VDS port dropped received packets throughput,LAG transmitted packets throughput,LAG transmitted multicast packets throughput,LAG transmitted broadcast packets throughput,LAG received packets throughput,LAG received multicast packets throughput,LAG received broadcast packets throughput,LAG dropped transmitted packets throughput,LAG dropped received packets throughput,VXLAN network transmitted packets throughput,VXLAN network transmitted non-unicast packets throughput,VXLAN network transmitted cross-router packets throughput,VXLAN network dropped transmitted packets throughput,VXLAN network received packets throughput,VXLAN network dropped received packets due to destination IP error throughput,VXLAN network dropped received packets throughput,VXLAN network failed to match mapping entry for a unicast MAC throughput,VXLAN network failed to allocate a new mapping entry during translation phase,VXLAN network failed to allocate a new mapping entry during learning phase,VXLAN network matching ARP entry throughput,VXLAN network matching ARP entry marked as unknown throughput,VXLAN network failed to allocate ARP entry during translation phase throughput,VXLAN network ARP requests already sent into queue throughput,VXLAN network expired ARP queries throughput
fcaweb-srv01-d,0,0,19,0,0,,,,,,,,,,,,0,0,30,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJSSPSPAPP01,4,0,116,2,1,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSDWDS02,0,0,0,0,0,,,,,,,,,,,,0,0,107,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMDB04,2,0,39,1,1,,,,,,,,,,,,0,0,106,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMDB02,0,0,0,0,0,,,,,,,,,,,,0,0,107,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVWEQABNRPSQL01,0,0,4,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSU-DB01,9,0,189,7,1,,,,,,,,,,,,0,0,107,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSWEQABNOHUSQL01,0,0,27,0,0,,,,,,,,,,,,0,0,81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCACL-EKM01,0,0,2,0,0,,,,,,,,,,,,0,0,81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCACOM-LCS05,12,0,183,3,9,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSP-SWNMP01,5,0,173,1,3,,,,,,,,,,,,0,0,31,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVEQABNGPSQL01,14,0,207,4,10,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSD-SP01,0,0,0,0,0,,,,,,,,,,,,0,0,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCACOM-LCS01,25,0,410,4,21,,,,,,,,,,,,0,0,26,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJSSPSPWB01,166,0,1459,140,25,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLEQAACWMGNP1,20,0,772,12,7,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSP-SQLDB04,0,0,0,0,0,,,,,,,,,,,,0,0,107,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJCLUPRAP01,0,0,11,0,0,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLEQAACWMGNP2,19,0,645,10,8,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJSSPTFS02,3,0,104,1,2,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSDSQLAPP,40,0,1584,24,15,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCLPDRAG01,237,0,1569,215,22,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSP-SCR02,0,0,3,0,0,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLEQAACWMDB03,23,0,388,12,10,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCAMF-EPO01,14,0,487,8,6,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
