name,Boot Time,Power State,toolsInstallerMounted,Clean Power Off,Connection State,Consolidation Needed,dasVmProtection,faultToleranceState,numMksConnections,offlineFeatureRequirement,onlineStandby,question,recordReplayState,suspendInterval,suspendTime,Guest Heartbeat Status,Host,Guest Memory Usage,Host Memory Usage,Overall Cpu Demand,Overall Cpu Usage,Memory Overhead
egssd-pocvcs01,Wed May 07 12:54:52 CDT 2014,POWERED_ON,false,,CONNECTED,,,NOT_CONFIGURED,0,,false,,INACTIVE,0,,GREEN,egssd-esx01.fortisclearingus.com,491,8236,74,74,77398016
EGSSU-SQLISDB04,Sun May 04 15:48:55 CDT 2014,POWERED_ON,false,,CONNECTED,,com.vmware.vim25.VirtualMachineRuntimeInfoDasProtectionState@356ee942,NOT_CONFIGURED,0,,false,,INACTIVE,0,,GREEN,egssd-esx01.fortisclearingus.com,0,8048,25,25,78004224
UCS Platform Emulator,Wed May 14 10:50:21 CDT 2014,POWERED_ON,false,,CONNECTED,,,NOT_CONFIGURED,0,,false,,INACTIVE,0,,GRAY,egssd-esx01.fortisclearingus.com,245,2073,708,689,32567296
EGSSP-SQLDB04,Mon May 12 18:03:14 CDT 2014,POWERED_ON,false,,CONNECTED,,com.vmware.vim25.VirtualMachineRuntimeInfoDasProtectionState@2b010d2b,NOT_CONFIGURED,0,,false,,INACTIVE,0,,GREEN,egssd-esx01.fortisclearingus.com,0,3400,25,25,125472768
EGSSP-TFS02,Tue May 06 14:47:35 CDT 2014,POWERED_ON,false,,CONNECTED,,com.vmware.vim25.VirtualMachineRuntimeInfoDasProtectionState@b2a3bc0,NOT_CONFIGURED,0,,false,,INACTIVE,0,,GREEN,egssd-esx01.fortisclearingus.com,81,5640,25,25,73793536
EGCLU-DRAG04,Sun May 04 15:50:13 CDT 2014,POWERED_ON,false,,CONNECTED,,com.vmware.vim25.VirtualMachineRuntimeInfoDasProtectionState@a556313,NOT_CONFIGURED,0,,false,,INACTIVE,0,,GREEN,egssd-esx01.fortisclearingus.com,163,8252,25,25,78004224
EGSSP-SQLDB02,Tue May 13 09:42:11 CDT 2014,POWERED_ON,false,,CONNECTED,,com.vmware.vim25.VirtualMachineRuntimeInfoDasProtectionState@4a36d3fc,NOT_CONFIGURED,0,,false,,INACTIVE,0,,GREEN,egssd-esx01.fortisclearingus.com,163,16474,25,25,125472768
eqssd-pocsrm01,Wed May 07 13:00:06 CDT 2014,POWERED_ON,false,,CONNECTED,,,NOT_CONFIGURED,0,,false,,INACTIVE,0,,GREEN,egssd-esx01.fortisclearingus.com,81,8062,55,55,88866816
EGSSP-NETVSC01,Sun May 04 15:50:04 CDT 2014,POWERED_ON,false,,CONNECTED,,com.vmware.vim25.VirtualMachineRuntimeInfoDasProtectionState@682f4451,NOT_CONFIGURED,0,,false,,INACTIVE,0,,GREEN,egssd-esx01.fortisclearingus.com,327,8044,77,77,74342400
egssd-pocsan01,Wed May 07 12:47:27 CDT 2014,POWERED_ON,false,,CONNECTED,,,NOT_CONFIGURED,0,,false,,INACTIVE,0,,GREEN,egssd-esx01.fortisclearingus.com,204,4130,3728,3709,50053120
