dbSpace,totalPages,pagesUsed,pagesFree,percentUtilisation,percentFreeSpace
rootdbs#chunk_1,11293009,6305935,4987074,55.84%,44.16%
rootdbs,11293009,6305935,4987074,55.84%,44.16%
tempdbs#chunk_2,2048000,22403,2025597,1.09%,98.91%
tempdbs,2048000,22403,2025597,1.09%,98.91%
datadbs#chunk_3,3200000,3200000,0,100.00%,0.00%
datadbs#chunk_5,3200000,444204,2755796,13.88%,43.06%
datadbs,6400000,3644204,2755796,56.94%,43.06%
datadbs2#chunk_6,3200000,3,3199997,0.00%,100.00%
datadbs2#chunk_4,3200000,1422901,1777099,44.47%,27.77%
datadbs2,6400000,1422904,4977096,22.23%,77.77%
