address,number,flags,uniqid,begin,size,used,%used
55ba8cf8,1,U------,61,1:1049873,524288,524288,100.00
55ba8d40,2,U------,62,1:1574161,524288,524288,100.00
55ba8d88,3,U------,63,1:2098449,524288,524288,100.00
55ba8dd0,4,U---C-L,64,1:2622737,524288,517120,98.63
55ba8e18,5,U-B----,55,1:3147025,524288,524288,100.00
55ba8e60,6,U-B----,56,1:3671313,524288,524288,100.00
55ba8ea8,7,U-B----,57,1:4195601,524288,524288,100.00
55ba8ef0,8,U-B----,58,1:4719889,524288,524288,100.00
55ba8f38,9,U-B----,59,1:5244177,524288,524288,100.00
55ba8f80,10,U------,60,1:5768465,524288,524288,100.00
