Name,Value
dskreads,9742228
pagreads,91305210
bufreads,170931691
%cached_reads,94.32
dskwrits,193622
pagwrits,1781547
bufwrits,3089707
%cached_writes,94.47
isamtot,247924424
open,2153362
start,2222974
read,97500506
write,985759
rewrite,183118
delete,34943
commit,207299
rollbk,19180
gp_read,0
gp_write,0
gp_rewrt,0
gp_del,0
gp_alloc,0
gp_free,0
gp_curs,0
ovlock,0
ovuserthread,0
ovbuff,0
usercpu,2376.60
syscpu,362.52
numckpts,834
flushes,1668
bufwaits,133469
lokwaits,1
lockreqs,1019461452
deadlks,0
dltouts,0
ckpwaits,3
compress,90458
seqscans,152560
ixda-RA,0
idx-RA,9693531
da-RA,8597276
logrec-RA,0
RA-pgsused,8908218
lchwaits,60072
