row,object_name,counter_name,instance_name,cntr_value,cntr_type
<!>queryStatus,idle
<!>queryDuration,0 sec
<!>rowsReturned,21
SQLServer:Buffer Manager Buffer cache hit ratio,SQLServer:Buffer Manager                                                                                                        ,Buffer cache hit ratio                                                                                                          ,                                                                                                                                ,1766,537003264
SQLServer:Buffer Manager Buffer cache hit ratio base,SQLServer:Buffer Manager                                                                                                        ,Buffer cache hit ratio base                                                                                                     ,                                                                                                                                ,1768,1073939712
SQLServer:Buffer Manager Page lookups/sec,SQLServer:Buffer Manager                                                                                                        ,Page lookups/sec                                                                                                                ,                                                                                                                                ,599473768,272696576
SQLServer:Buffer Manager Free list stalls/sec,SQLServer:Buffer Manager                                                                                                        ,Free list stalls/sec                                                                                                            ,                                                                                                                                ,0,272696576
SQLServer:Buffer Manager Free pages,SQLServer:Buffer Manager                                                                                                        ,Free pages                                                                                                                      ,                                                                                                                                ,136,65792
SQLServer:Buffer Manager Total pages,SQLServer:Buffer Manager                                                                                                        ,Total pages                                                                                                                     ,                                                                                                                                ,4096,65792
SQLServer:Buffer Manager Target pages,SQLServer:Buffer Manager                                                                                                        ,Target pages                                                                                                                    ,                                                                                                                                ,202880,65792
SQLServer:Buffer Manager Database pages,SQLServer:Buffer Manager                                                                                                        ,Database pages                                                                                                                  ,                                                                                                                                ,1554,65792
SQLServer:Buffer Manager Reserved pages,SQLServer:Buffer Manager                                                                                                        ,Reserved pages                                                                                                                  ,                                                                                                                                ,0,65792
SQLServer:Buffer Manager Stolen pages,SQLServer:Buffer Manager                                                                                                        ,Stolen pages                                                                                                                    ,                                                                                                                                ,2406,65792
SQLServer:Buffer Manager Lazy writes/sec,SQLServer:Buffer Manager                                                                                                        ,Lazy writes/sec                                                                                                                 ,                                                                                                                                ,0,272696576
SQLServer:Buffer Manager Readahead pages/sec,SQLServer:Buffer Manager                                                                                                        ,Readahead pages/sec                                                                                                             ,                                                                                                                                ,22,272696576
SQLServer:Buffer Manager Page reads/sec,SQLServer:Buffer Manager                                                                                                        ,Page reads/sec                                                                                                                  ,                                                                                                                                ,730,272696576
SQLServer:Buffer Manager Page writes/sec,SQLServer:Buffer Manager                                                                                                        ,Page writes/sec                                                                                                                 ,                                                                                                                                ,15465,272696576
SQLServer:Buffer Manager Checkpoint pages/sec,SQLServer:Buffer Manager                                                                                                        ,Checkpoint pages/sec                                                                                                            ,                                                                                                                                ,47,272696576
SQLServer:Buffer Manager AWE lookup maps/sec,SQLServer:Buffer Manager                                                                                                        ,AWE lookup maps/sec                                                                                                             ,                                                                                                                                ,0,272696576
SQLServer:Buffer Manager AWE stolen maps/sec,SQLServer:Buffer Manager                                                                                                        ,AWE stolen maps/sec                                                                                                             ,                                                                                                                                ,0,272696576
SQLServer:Buffer Manager AWE write maps/sec,SQLServer:Buffer Manager                                                                                                        ,AWE write maps/sec                                                                                                              ,                                                                                                                                ,0,272696576
SQLServer:Buffer Manager AWE unmap calls/sec,SQLServer:Buffer Manager                                                                                                        ,AWE unmap calls/sec                                                                                                             ,                                                                                                                                ,0,272696576
SQLServer:Buffer Manager AWE unmap pages/sec,SQLServer:Buffer Manager                                                                                                        ,AWE unmap pages/sec                                                                                                             ,                                                                                                                                ,0,272696576
SQLServer:Buffer Manager Page life expectancy,SQLServer:Buffer Manager                                                                                                        ,Page life expectancy                                                                                                            ,                                                                                                                                ,522212,65792
