SID,PROCESS,OSUSER,MACHINE,STATUS,SCHEMANAME,PROGRAM,
<!>queryStatus,idle
<!>queryDuration,0 sec
<!>rowsReturned,35
125,4565,ckrimmel,nysupsvr06,ACTIVE,SLAPP,netprobe.sun@nysupsvr06 (TNS V1-V3),
130,29643,klee,nysupsvr02,INACTIVE,CALEXANDER,netprobe.linux@nysupsvr02 (TNS V1-V3),
132,22613,jlim,nysupsvr06,INACTIVE,ITRS,netprobe.sun@nysupsvr06 (TNS V1-V3),
133,18476,oracle,nysupsvr06,ACTIVE,DBSNMP,emagent@nysupsvr06 (TNS V1-V3),
135,18476,oracle,nysupsvr06,INACTIVE,DBSNMP,emagent@nysupsvr06 (TNS V1-V3),
137,17821,oracle,nysupsvr06,INACTIVE,SLAPP,netprobe.sun@nysupsvr06 (TNS V1-V3),
138,1234,,nysupsvr06.ny.us.itrs,INACTIVE,SYSMAN,OMS,
139,1234,,nysupsvr06.ny.us.itrs,ACTIVE,SYSMAN,OMS,
142,28972,klee,nysupsvr10,INACTIVE,ITRS,netprobe.linux@nysupsvr10 (TNS V1-V3),
143,21210,calexander,nysupsvr06,INACTIVE,CALEXANDER,netprobe.sun@nysupsvr06 (TNS V1-V3),
146,10439,itrsprod,nysupsvr06,INACTIVE,ITRS,netprobe.sun@nysupsvr06 (TNS V1-V3),
148,17821,oracle,nysupsvr06,INACTIVE,ITRS,netprobe.sun@nysupsvr06 (TNS V1-V3),
149,14102,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (q000),
152,13815,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (QMNC),
154,1234,,nysupsvr06.ny.us.itrs,INACTIVE,SYSMAN,OMS,
157,28972,klee,nysupsvr10,INACTIVE,SLAPP,netprobe.linux@nysupsvr10 (TNS V1-V3),
158,13443,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (MMNL),
159,13441,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (MMON),
160,13439,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (CJQ0),
161,13437,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (RECO),
162,13435,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (SMON),
163,13433,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (CKPT),
164,13428,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (LGWR),
165,13420,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (DBW2),
166,13417,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (DBW1),
167,13415,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (DBW0),
168,13413,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (MMAN),
169,13411,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (PSP0),
170,13403,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (PMON),
147,4565,ckrimmel,nysupsvr06,INACTIVE,CKRIMMEL,netprobe.sun@nysupsvr06 (TNS V1-V3),
121,2444:2572,SYSTEM,LDN\TPAD24,INACTIVE,CALEXANDER,NetprobeNT-120301-51111.exe,
123,4088:9124,SYSTEM,LDN\TPAD24,INACTIVE,CALEXANDER,NetprobeNT-111005-51110.exe,
134,2444:4800,SYSTEM,LDN\TPAD24,INACTIVE,CALEXANDER,NetprobeNT-120301-51111.exe,
124,18462,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (q002),
145,25274,oracle,nysupsvr06,ACTIVE,SYS,oracle@nysupsvr06 (J000),
