ID,sessionID,username,blocked,waiting,lockID1,lockID2,lockMode,lockDuration,
<!>connectionStatus,UP
<!>timeThreshold,10 sec
<!>totalDatabaseLocks,15
163:00000003CA2FF198,163,,NO,NO,4,0,Null,1733207 sec,
163:00000003CA2FF230,163,,NO,NO,0,0,Row-SELECT (SS),1733202 sec,
163:00000003CA2FF360,163,,NO,NO,25,1,Row-SELECT (SS),1733199 sec,
164:00000003CA2FF490,164,,NO,NO,1,0,Exclusive,1733199 sec,
167:00000003CA2FF528,167,,NO,NO,1,0,Row-X (SX),1733197 sec,
162:00000003CA2FF5C0,162,,NO,NO,3,1,Row-X (SX),1733195 sec,
167:00000003CA2FF6F0,167,,NO,NO,1,0,Share,1733199 sec,
167:00000003CA2FF788,167,,NO,NO,2,0,Share,1733199 sec,
167:00000003CA2FF820,167,,NO,NO,3,0,Share,1733199 sec,
167:00000003CA2FF8B8,167,,NO,NO,4,0,Share,1733199 sec,
167:00000003CA2FF950,167,,NO,NO,5,0,Share,1733199 sec,
167:00000003CA2FF9E8,167,,NO,NO,6,0,Share,1733199 sec,
167:00000003CA2FFA80,167,,NO,NO,7,0,Share,1733199 sec,
167:00000003CA2FFB30,167,,NO,NO,8,0,Share,1733199 sec,
167:00000003CA2FFBC8,167,,NO,NO,201,0,Share,1733199 sec,
