ADDR,KADDR,SID,TYPE,ID1,ID2,LMODE,REQUEST,CTIME,BLOCK,
<!>queryStatus,idle
<!>queryDuration,0 sec
<!>rowsReturned,15
_duplicate1,,163,XR,4,0,1,0,1733261,0,
_duplicate2,,163,CF,0,0,2,0,1733256,0,
_duplicate3,,163,RS,25,1,2,0,1733253,0,
_duplicate4,,164,RT,1,0,6,0,1733253,0,
_duplicate5,,167,PW,1,0,3,0,1733251,0,
_duplicate6,,162,TS,3,1,3,0,1733249,0,
_duplicate7,,167,MR,1,0,4,0,1733253,0,
_duplicate8,,167,MR,2,0,4,0,1733253,0,
_duplicate9,,167,MR,3,0,4,0,1733253,0,
_duplicate10,,167,MR,4,0,4,0,1733253,0,
_duplicate11,,167,MR,5,0,4,0,1733253,0,
_duplicate12,,167,MR,6,0,4,0,1733253,0,
_duplicate13,,167,MR,7,0,4,0,1733253,0,
_duplicate14,,167,MR,8,0,4,0,1733253,0,
_duplicate15,,167,MR,201,0,4,0,1733253,0,
