ID,Node,Units,Size,PersistenceType,Service,Role,MemberName,Host
<!>samplingStatus,OK
<!>Cluster,itrsgroup.prod.america
<!>Connection,nysupsvr-899.itrsgroup.com:4444
DailyAdjustmentPassThru_10,10,0,0,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
MgrSegmentation_3,3,339,339,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductionByRegionMgr_1,1,89085,89085,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ParameterDimension_3,3,366,366,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
EqtCompanyProduction_14,14,29249,29249,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductionByAssociate_3,3,335,335,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductionByAssociate_6,6,339,339,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductionByIndustry_13,13,2390,2390,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductionByProductsMktr_12,12,13698,13698,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductionByRegionMgr_5,5,84939,84939,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
CompanyProductionMgr_15,15,84966,84966,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
CacheStateManagerCache_4,4,0,0,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
DailyAdjustment_10,10,32389,32389,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductionByProductsMgr_6,6,2103,2103,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductDimension_15,15,34,34,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
TradeDetails_6,6,0,0,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
CompanyGlobalProduction_15,15,0,0,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductDimension_10,10,52,52,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductionByAssociate_15,15,343,343,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
PersonProductionMgr_5,5,1437,1437,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductionByProductsMgr_13,13,2115,2115,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductionByProductsMktr_10,10,13595,13595,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
EqtCompanyProduction_2,2,27876,27876,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
EqtCompanyProduction_1,1,29238,29238,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductionByRegionMgr_11,11,89717,89717,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
CacheStateManagerCache_2,2,0,0,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
DailyAdjustment_2,2,32548,32548,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductionByQualityMgr_12,12,1230,1230,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductDimension_13,13,49,49,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
DailyAdjustment_3,3,32071,32071,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
DailyAdjustmentPassThru_13,13,0,0,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
DailyAdjustment_13,13,33880,33880,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
DailyAdjustment_14,14,33876,33876,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
EqtCompanyProduction_6,6,29130,29130,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductionByIndustry_12,12,2256,2256,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
EqtCompanyProduction_13,13,29211,29211,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ParameterDimension_14,14,339,339,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductionByAssociate_2,2,365,365,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
CompanyPersonProductionMktr_6,6,32407,32407,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
CompanyProductionMgr_1,1,89085,89085,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
CompanyProductionByProductsMgr_5,5,75142,75142,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
DailyAdjustmentPassThru_4,4,0,0,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
MgrSegmentation_14,14,351,351,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
CompanyPersonProductionMktr_15,15,30884,30884,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductionByQualityMktr_5,5,10452,10452,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
DailyAdjustmentPassThru_11,11,0,0,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductDimension_4,4,54,54,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductionByProductsMktr_11,11,14342,14342,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
CacheStateManagerCache_3,3,1,1,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductionByIndustry_15,15,2209,2209,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
TradeDetails_14,14,0,0,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
DailyAdjustment_4,4,32381,32381,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductDimension_1,1,42,42,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
DailyAdjustment_15,15,32420,32420,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.201
CompanyProductionMgr_11,11,89718,89718,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
CompanyProductionByProductsMgr_4,4,75774,75774,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
CompanyGlobalProduction_3,3,0,0,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
CompanyProductionByQualityMgr_14,14,71933,71933,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
EqtCompanyProduction_10,10,27846,27846,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
CompanyProductionByQualityMgr_15,15,69087,69087,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductionByQualityMktr_3,3,10428,10428,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
ProductionByIndustry_4,4,2232,2232,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
CompanyProductionByProductsMgr_3,3,76398,76398,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
DailyAdjustment_11,11,34033,34033,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
PersonProductionMgr_2,2,1473,1473,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-899/192.168.2.201
CompanyProductionMgr_12,12,85323,85323,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
ProductionByIndustry_11,11,2366,2366,NONE,DCSDistributedCacheSchemeStorageEnabledService,cache,n/a,nysupsvr-900/192.168.2.207
