threadName,threadId,threadState,suspended,blockedCount,blockedTime,lockOwnerId,lockOwnerName,lockName,waitedCount,waitedTime,inNative,threadCpuTime,threadUserTime
<!>samplingStatus,OK
<!>DaemonThreadCount,40
<!>PeakThreadCount,170
<!>ThreadCount,43
<!>TotalStartedThreadCount,19004
<!>ThreadContentionMonitoringEnabled,false
<!>ThreadContentionMonitoringSupported,true
<!>ThreadCpuTimeEnabled,true
<!>ThreadCpuTimeSupported,true
JMX server connection timeout 18825,18825,TIMED_WAITING,false,45509,-1,-1,null,[I@5287a198,45509,-1,false,430000000,300000000
JMX server connection timeout 18679,18679,TIMED_WAITING,false,158516,-1,-1,null,[I@3c84384f,158513,-1,false,1580000000,1190000000
JMX server connection timeout 18678,18678,TIMED_WAITING,false,546,-1,-1,null,[I@c8ce993,547,-1,false,0,0
JMX server connection timeout 18677,18677,TIMED_WAITING,false,546,-1,-1,null,[I@773ab854,547,-1,false,0,0
JMX server connection timeout 18676,18676,TIMED_WAITING,false,546,-1,-1,null,[I@301bcff3,547,-1,false,10000000,10000000
JMX server connection timeout 18675,18675,TIMED_WAITING,false,546,-1,-1,null,[I@71f17331,547,-1,false,0,0
JMX server connection timeout 18674,18674,TIMED_WAITING,false,546,-1,-1,null,[I@22c1d068,547,-1,false,0,0
JMX server connection timeout 18673,18673,TIMED_WAITING,false,546,-1,-1,null,[I@62596dab,547,-1,false,0,0
JMX server connection timeout 18672,18672,TIMED_WAITING,false,546,-1,-1,null,[I@5d2f27fe,547,-1,false,0,0
JMX server connection timeout 18504,18504,TIMED_WAITING,false,104927,-1,-1,null,[I@7f0d4b78,104928,-1,false,1030000000,750000000
JMX server connection timeout 18502,18502,TIMED_WAITING,false,167995,-1,-1,null,[I@41d5f472,167993,-1,false,1650000000,1190000000
HttpAdapter:port=1244,33,RUNNABLE,false,0,-1,-1,null,null,0,-1,true,0,0
RMI RenewClean-[170.242.12.201:3010],31,TIMED_WAITING,false,0,-1,-1,null,java.lang.ref.ReferenceQueue$Lock@2f8a0814,5363,-1,false,50000000,50000000
RMI Scheduler(0),30,TIMED_WAITING,false,0,-1,-1,null,java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject@3da3d36f,16543,-1,false,60000000,50000000
GC Daemon,28,TIMED_WAITING,false,0,-1,-1,null,sun.misc.GC$LatencyLock@565d9e83,484,-1,false,0,0
RMI Reaper,27,WAITING,false,0,-1,-1,null,java.lang.ref.ReferenceQueue$Lock@4a0a18c3,1,-1,false,0,0
RMI TCP Accept-3010,26,RUNNABLE,false,0,-1,-1,null,null,0,-1,true,0,0
RMI TCP Accept-9010,25,RUNNABLE,false,0,-1,-1,null,null,0,-1,true,0,0
Invocation:Management,24,TIMED_WAITING,false,4350291,-1,-1,null,com.tangosol.coherence.component.util.queue.concurrentQueue.DualQueue@b40aab2,5907441,-1,false,7294840000000,7276210000000
Invocation:Management:EventDispatcher,23,TIMED_WAITING,false,924,-1,-1,null,com.tangosol.coherence.component.util.daemon.queueProcessor.Service$EventDispatcher$Queue@5d0be11c,1605989,-1,false,1320000000,1310000000
TcpRingListener,21,RUNNABLE,false,24,-1,-1,null,null,0,-1,true,360000000,360000000
PacketListenerN,19,RUNNABLE,false,87,-1,-1,null,null,0,-1,true,17590000000,11970000000
