name,description,activeConsumers,activeDurables,numDurables,queuedMsgs,percentFull,bytesIncoming,bytesOutgoing,msgsIncoming,msgsOutgoing,currentPendingBytes,maxPendingBytes,isGlobal,isExported,isImported,isTemporary,subscribers,
<!>totalTopics,40
CC.CCA.ABXACT.>, ,0,0,0,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,0,
CC.CCA.ABXACT.ABXACT, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.AMCEN.>, ,0,0,0,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,0,
CC.CCA.AMCEN.AMCEN, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.ATRUS.>, ,0,0,0,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,0,
CC.CCA.ATRUS.GSAMI, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.ATRUSPT.>, ,0,0,0,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,0,
CC.CCA.ATRUSPT.BARBSTAT, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BEN.>, ,0,0,0,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,0,
CC.CCA.BEN.BEN, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.>, ,0,0,0,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,0,
CC.CCA.BLP.AMRODMA, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.BANKGESEL, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.BARCSU, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.BGDSA, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.CARNEGIE, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.CORONATE, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.CRNGLOB, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.DENDANBK, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.DEUKAP, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.DRSDNRBK, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.FCDSA, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.GSTI, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.HERMDSA, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.HSBCALT, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.INGADSA, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.INGIM, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.LSVDSA, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.MORLEY, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.NAEEM, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.NORDEAB, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.OPTIMIXC, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.PIVOTMGT, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.PRINML, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.PRUDSA, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.SFBV, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.STDLIFE, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.SUDWESTBK, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.TAPA, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.TESTXFM1, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
CC.CCA.BLP.THEOR, ,1,1,1,0,0.00 %,0 bytes/sec,0 bytes/sec,0 msgs/sec,0 msgs/sec,0,unlimited,no,no,no,no,1,
