Name,Conn,Est'd,Started,Logical,Connect Time
SOR_BETA_2,UP,UP,UP,UP,2009/06/15 06:31:50.874
SOR_PASS_1,UP,UP,UP,UP,2009/06/15 06:42:12.904
SOR_GBP_1,UP,UP,UP,UP,2009/06/15 06:57:16.426
OM.QSAMLXN.1,UP,UP,UP,UP,2009/06/15 06:03:43.732
SOR_BETA_MULTI,UP,UP,UP,UP,2009/06/15 06:46:17.034
SOR_ETT_3,UP,UP,UP,UP,2009/06/15 06:37:50.862
SOR_CHF_1,UP,UP,UP,UP,2009/06/15 06:51:16.242
SOR_NOK_1,UP,UP,UP,UP,2009/06/15 06:46:40.045
SOR_GBP_3,UP,UP,UP,UP,2009/06/15 06:52:27.321
OM.MLXNDMA.2,UP,UP,UP,UP,2009/06/15 06:12:31.484
SOR_ETT_BETA_EUR,UP,UP,UP,UP,2009/06/15 06:32:01.481
SOR_SEK_1,UP,UP,UP,UP,2009/06/15 06:42:16.439
OM.MLXNDMA.1,UP,UP,UP,UP,2009/06/15 06:12:15.524
SOR_EUR_1,UP,UP,UP,UP,2009/06/15 06:46:53.533
PUBHUB,UP,UP,UP,UP,2009/06/15 06:03:56.100
SOR_MULTI_3,UP,UP,UP,UP,2009/06/15 06:56:23.542
SOR_BETA_1,UP,UP,UP,UP,2009/06/15 06:31:46.940
SOR_DKK_1,UP,UP,UP,UP,2009/06/15 06:46:40.627
SOR_MULTI_1,UP,UP,UP,UP,2009/06/15 06:46:55.139
SOR_PASS_3,UP,UP,UP,UP,2009/06/15 06:51:15.220
SOR_EUR_3,UP,UP,UP,UP,2009/06/15 06:56:10.553
