GENEOS Status Report,
Tuesday 24 May 2011 14:58:36,
samplingStatus,SampleTime,
OK,Mon Jun 15 16:24:43 BST 2009,
Name,Conn,Est'd,Started,Logical,Connect Time,
SORT_ETT_3,UP,UP,UP,UP,2009/06/15 05:37:49.159,
SOR_SEK_1,UP,UP,UP,UP,2009/06/15 05:42:14.877,
SOR_NOK_1,UP,UP,UP,UP,2009/06/15 05:46:38.358,
SOR_PASS_3,UP,UP,UP,UP,2009/06/15 05:51:13.911,
PUB_HUB,UP,UP,UP,UP,2009/06/15 04:44:34.639,
SORT_BETA_PASS,UP,UP,UP,UP,2009/06/15 05:31:45.182,
MKT_RTR_2,UP,UP,UP,UP,2009/06/15 04:33:55.136,
SORT_BETA_EUR,UP,UP,UP,UP,2009/06/15 05:31:59.963,
MKT_RTR_QSA,UP,UP,UP,UP,2009/06/15 05:30:14.512,
MKT_RTR,UP,UP,UP,UP,2009/06/15 04:33:55.177,
XFM_EMEA1,UP,UP,UP,UP,2009/06/15 04:47:37.892,
SOR_BETA_MULTI,UP,UP,UP,UP,2009/06/15 05:46:15.532,
OM_QSA_3,UP,UP,UP,UP,2009/06/15 05:07:09.397,
XFM_EMEA2,UP,UP,UP,UP,2009/06/15 04:46:30.692,
SOR_GBP_3,UP,UP,UP,UP,2009/06/15 05:52:25.835,
XFM_ETG,UP,UP,UP,UP,2009/06/15 04:50:01.485,
SOR_GBP_1,UP,UP,UP,UP,2009/06/15 05:57:15.156,
SOR_PASS_1,UP,UP,UP,UP,2009/06/15 05:42:11.508,
OM_AXP_1,UP,UP,UP,UP,2009/06/15 05:03:49.595,
SOR_MULTI_1,UP,UP,UP,UP,2009/06/15 05:46:53.689,
SORT_BETA_GBP,UP,UP,UP,UP,2009/06/15 05:31:49.170,
SOR_EUR_3,UP,UP,UP,UP,2009/06/15 05:56:08.822,
SOR_EUR_1,UP,UP,UP,UP,2009/06/15 05:46:52.087,
QSA,UP,UP,UP,UP,2009/06/15 05:30:14.181,
SOR_MULTI_3,UP,UP,UP,UP,2009/06/15 05:56:22.127,
SOR_DKK_1,UP,UP,UP,UP,2009/06/15 05:46:38.945,
SOR_CHF_1,UP,UP,UP,UP,2009/06/15 05:51:14.637,
