processName,/group,instanceCount,percentCPU,residentSetSize,processId,numThreads,percentMemory,virtualMemory,startTime,args,user,
bbsoscks,,242,8.7 %,2823352 Kb,,242,70.3 %,4057312 Kb,,1,sockd,
bbsoscks#001,,1,0.0 %,0.0 %,13800 Kb,24802,1,0.4 %,16752 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#002,,1,0.0 %,11264 Kb,24799,1,0.3 %,16368 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#003,,1,0.0 %,13992 Kb,24812,1,0.4 %,16752 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#004,,1,0.0 %,11928 Kb,24813,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#005,,1,0.0 %,11936 Kb,24818,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#006,,1,0.0 %,11936 Kb,24821,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#007,,1,0.0 %,11944 Kb,24810,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#008,,1,0.0 %,11872 Kb,24815,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#009,,1,0.0 %,11936 Kb,24816,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#010,,1,0.8 %,12768 Kb,24817,1,0.4 %,16752 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#011,,1,0.0 %,11936 Kb,24820,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#012,,1,0.0 %,11880 Kb,24824,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#013,,1,0.1 %,13112 Kb,24822,1,0.4 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#014,,1,0.4 %,13088 Kb,24826,1,0.4 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#015,,1,0.0 %,11936 Kb,24811,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#016,,1,0.0 %,11240 Kb,24803,1,0.3 %,16368 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#017,,1,0.9 %,13016 Kb,24825,1,0.4 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#018,,1,0.0 %,11944 Kb,24819,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#019,,1,0.0 %,11944 Kb,24814,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#020,,1,0.0 %,11944 Kb,24823,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#021,,1,0.0 %,11680 Kb,24809,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#022,,1,0.0 %,14120 Kb,24808,1,0.4 %,16752 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#023,,1,0.0 %,11944 Kb,24807,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#024,,1,0.0 %,11240 Kb,24800,1,0.3 %,16368 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#025,,1,0.0 %,11928 Kb,24806,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#026,,1,0.0 %,11240 Kb,24801,1,0.3 %,16368 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#027,,1,0.0 %,13800 Kb,24804,1,0.4 %,16752 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#028,,1,0.0 %,11944 Kb,24805,1,0.3 %,16816 Kb,Mon Dec 20 08:39:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
