Property Name,Value,
Data Dictionary Path,../config/appendix_a,
Data Rate Per Second,1208741,
Data Rate: Peak Number (per sec),1265328,
Data Rate: Peak Time,2011-05-17 08:18:44,
Listener Port,32016,
Load Factor,113,
Number of Active Streams,5963,
Number of Clients,1,
Protocol,SSL,
Service Name,BPIPE_FH,
Service State,UpAccepting,
Service State Reason,received admin.client.sdk.state ready,
Ticks Per Second,660,
Ticks: Peak Number (per sec),746,
Ticks: Peak Rate Time,2011-05-17 08:18:51,
Total Bytes,11850669,
Total Rejected Requests,6212,
Total Snapshot Requests,0,
Total Stream Requests,12175,
Total Ticks,6358,
