SeqNum,RejectID,TargetID,SenderID,FixVersion,RejectReason,BRRCode
1,937203,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
2,937215,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
3,943483,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
4,943484,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
5,958747,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
6,958748,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
7,958861,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
8,958862,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
9,958933,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
10,958934,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
11,967536,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
12,967537,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0LDDG4.,0
13,971463,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2565325.,0
14,971707,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2620105.,0
15,971819,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2713599.,0
16,971937,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0160P1.,0
17,971971,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2096416.,0
18,972351,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2142621.,0
19,972423,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2372172.,0
20,972439,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2793182.,0
21,973558,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2142621.,0
22,973606,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2372172.,0
23,973622,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2793182.,0
24,973972,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2364038.,0
25,974116,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2142621.,0
26,974164,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2372172.,0
27,974180,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2793182.,0
28,975260,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2620105.,0
29,975444,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2096416.,0
30,975660,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2142621.,0
31,975732,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2372172.,0
32,975756,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2793182.,0
33,975948,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2620105.,0
34,976132,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2096416.,0
35,977996,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2142621.,0
36,978044,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2372172.,0
37,978060,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2793182.,0
38,978794,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2620105.,0
39,978978,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2096416.,0
40,980180,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2565325.,0
41,980784,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2713599.,0
42,980822,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0160P1.,0
43,982400,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2620105.,0
44,982636,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2096416.,0
45,984324,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2620105.,0
46,984588,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2096416.,0
47,985064,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2142621.,0
48,985112,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2372172.,0
49,985128,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2793182.,0
50,985434,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2364038.,0
51,990213,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2565325.,0
52,990469,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2713599.,0
53,990547,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0160P1.,0
54,991237,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2142621.,0
55,991285,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2372172.,0
56,991301,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2793182.,0
57,994011,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2142621.,0
58,994059,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2372172.,0
59,994075,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2793182.,0
60,994343,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2565325.,0
61,994471,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2713599.,0
62,994509,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId B0160P1.,0
63,995745,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2142621.,0
64,995793,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2372172.,0
65,995809,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2793182.,0
66,996809,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2620105.,0
67,996989,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2096416.,0
68,998029,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2620105.,0
69,998209,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2096416.,0
70,999769,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2364038.,0
71,001493,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2620105.,0
72,001765,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2096416.,0
73,002381,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2620105.,0
74,002569,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2096416.,0
75,002677,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2142621.,0
76,002725,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2372172.,0
77,002741,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2793182.,0
78,003365,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2142621.,0
79,003413,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2372172.,0
80,003429,HSBCIOI,ATRIOI,FIX.4.2,No match with IdSource 2   and SecurityId 2793182.,0
