SeqNum,TargetID,SenderID,FixVersion,LogoutTime,RejectReasonCode,Text,Note
1,HIB,HIM,FIX.4.2,20050926-06:32:07, ,Could not parse the data: Unable to parse a composite field "ExecutionReport": some mandatory members are missing.<SOH>,
2,HIB,HIM,FIX.4.2,20050926-06:38:03, ,Could not parse the data: Unable to parse a composite field "ExecutionReport": some mandatory members are missing.<SOH>,
3,HIB,HIM,FIX.4.2,20050926-06:38:05, ,Could not parse the data: Unable to parse a composite field "ExecutionReport": some mandatory members are missing.<SOH>,
4,HIB,HIM,FIX.4.2,20050926-06:38:07, ,Could not parse the data: Unable to parse a composite field "ExecutionReport": some mandatory members are missing.<SOH>,
5,HIB,HIM,FIX.4.2,20050926-06:38:09, ,Could not parse the data: Unable to parse a composite field "ExecutionReport": some mandatory members are missing.<SOH>,
6,HSBC,INVHK,FIX.4.0,20050926-08:42:42, ,""Rejected - Order is now manual."",
7,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:22, ,X049B : Record not Found : The record to replace or cancel cannot be found,
8,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:22, ,X049B : Record not Found : The record to replace or cancel cannot be found,
9,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:22, ,X049B : Record not Found : The record to replace or cancel cannot be found,
10,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:22, ,X049B : Record not Found : The record to replace or cancel cannot be found,
11,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:22, ,X049B : Record not Found : The record to replace or cancel cannot be found,
12,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:22, ,X049B : Record not Found : The record to replace or cancel cannot be found,
13,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:33, ,X049B : Record not Found : The record to replace or cancel cannot be found,
14,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:33, ,X049B : Record not Found : The record to replace or cancel cannot be found,
15,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:33, ,X049B : Record not Found : The record to replace or cancel cannot be found,
16,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:34, ,X049B : Record not Found : The record to replace or cancel cannot be found,
17,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:34, ,X049B : Record not Found : The record to replace or cancel cannot be found,
18,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:34, ,X049B : Record not Found : The record to replace or cancel cannot be found,
19,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:34, ,X049B : Record not Found : The record to replace or cancel cannot be found,
20,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:34, ,X049B : Record not Found : The record to replace or cancel cannot be found,
21,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:34, ,X049B : Record not Found : The record to replace or cancel cannot be found,
22,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:44, ,X049B : Record not Found : The record to replace or cancel cannot be found,
23,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:44, ,X049B : Record not Found : The record to replace or cancel cannot be found,
24,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:44, ,X049B : Record not Found : The record to replace or cancel cannot be found,
25,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:45, ,X049B : Record not Found : The record to replace or cancel cannot be found,
26,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:45, ,X049B : Record not Found : The record to replace or cancel cannot be found,
27,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:45, ,X049B : Record not Found : The record to replace or cancel cannot be found,
28,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:45, ,X049B : Record not Found : The record to replace or cancel cannot be found,
29,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:45, ,X049B : Record not Found : The record to replace or cancel cannot be found,
30,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:48, ,X049B : Record not Found : The record to replace or cancel cannot be found,
31,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:49, ,X049B : Record not Found : The record to replace or cancel cannot be found,
32,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:49, ,X049B : Record not Found : The record to replace or cancel cannot be found,
33,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:50, ,X049B : Record not Found : The record to replace or cancel cannot be found,
34,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:50, ,X049B : Record not Found : The record to replace or cancel cannot be found,
35,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:50, ,X049B : Record not Found : The record to replace or cancel cannot be found,
36,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:51, ,X049B : Record not Found : The record to replace or cancel cannot be found,
37,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:51, ,X049B : Record not Found : The record to replace or cancel cannot be found,
38,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:51, ,X049B : Record not Found : The record to replace or cancel cannot be found,
39,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:51, ,X049B : Record not Found : The record to replace or cancel cannot be found,
40,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:56, ,X049B : Record not Found : The record to replace or cancel cannot be found,
41,JCAPGB2L,PMKIOI,FIX.4.1,20050926-15:36:56, ,X049B : Record not Found : The record to replace or cancel cannot be found,
42,TSREGPA,HSBCGPA,FIX.4.2,20050926-21:00:08, ,CODE: 1-200-34 SESSION ERROR: Expect Logon,
