Name,Conn,Est'd,Started,Connect Time,Session Info
<!>SampleTime,Mon May 15 16:24:41 BST 2011
FR_MME_1,UP,UP,06/15/09 07:00:21,Messaging[FR_MME_1.TO.SOR_PASS_1->SOR_PASS_1.TO.FR_MME_1],
SOR_AXP_11,UP,UP,06/15/09 06:42:11,Messaging[AXP11.TO.SOR_PASS_1->SOR_PASS_1.TO.AXP11], ,
SOR_AXP_13,UP,UP,06/15/09 06:42:11,Messaging[AXP13.TO.SOR_PASS_1->SOR_PASS_1.TO.AXP13], ,
SOR_AXP_21,UP,UP,06/15/09 06:42:11,Messaging[AXP21.TO.SOR_PASS_1->SOR_PASS_1.TO.AXP21], ,
SOR_AXP_22,UP,UP,06/15/09 06:42:11,Messaging[AXP22.TO.SOR_PASS_1->SOR_PASS_1.TO.AXP22], ,
SOR_AXP_23,UP,UP,06/15/09 06:42:11,Messaging[AXP23.TO.SOR_PASS_1->SOR_PASS_1.TO.AXP23], ,
SOR_AXP_41,UP,UP,06/15/09 06:42:11,Messaging[AXP41.TO.SOR_PASS_1->SOR_PASS_1.TO.AXP41], ,
SOR_AXP_52,UP,UP,06/15/09 07:13:09,Messaging[AXP52.TO.SOR_PASS_1->SOR_PASS_1.TO.AXP52], ,
SOR_AXP_53,UP,UP,06/15/09 06:42:12,Messaging[AXP53.TO.SOR_PASS_1->SOR_PASS_1.TO.AXP53], ,
SOR_DMA_2,UP,UP,06/15/09 06:42:12,Messaging[OM.DMA.2.TO.SOR.PASS.1->SOR.PASS.1.TO.OM.DMA.2], ,
SOR_DMA_5,UP,UP,06/15/09 06:42:12,Messaging[OM.DMA.5.TO.SOR.PASS.1->SOR.PASS.1.TO.OM.DMA.5], ,
SOR_EXCH_1,UP,UP,06/15/09 06:42:12,Messaging[OM.AXP.1.TO.SOR_PASS_1->SOR_PASS_1.TO.OM.AXP.1], ,
SOR_EXCH_2,UP,UP,06/15/09 06:42:12,Messaging[OM.AXP.2.TO.SOR_PASS_1->SOR_PASS_1.TO.OM.AXP.2], ,
SOR_EXCH_3,UP,UP,06/15/09 06:42:12,Messaging[OM.AXP.3.TO.SOR_PASS_1->SOR_PASS_1.TO.OM.AXP.3], ,
SOR_EXCH_4,UP,UP,06/15/09 06:42:12,Messaging[OM.AXP.4.TO.SOR_PASS_1->SOR_PASS_1.TO.OM.AXP.4], ,
SOR_FID_1,UP,UP,06/15/09 06:42:12,Messaging[OM.FIDSORT.1.TO.SOR.PASS.1->SOR.PASS.1.TO.OM.FIDSORT.1], ,
SOR_MLXN_1,UP,UP,06/15/09 06:42:12,Messaging[MLXN1.TO.SOR_PASS_1->SOR_PASS_1.TO.MLXN1], ,
SOR_MLXN_2,UP,UP,06/15/09 06:42:13,Messaging[MLXN2.TO.SOR_PASS_1->SOR_PASS_1.TO.MLXN2], ,
SOR_MLXN_3,UP,UP,06/15/09 06:42:13,Messaging[MLXN3.TO.SOR_PASS_1->SOR_PASS_1.TO.MLXN3], ,
SOR_MLXN_4,UP,UP,06/15/09 06:42:13,Messaging[MLXN4.TO.SOR_PASS_1->SOR_PASS_1.TO.MLXN4], ,
SOR_MLXN_5,UP,UP,06/15/09 08:48:37,Messaging[MLXN5.TO.SOR_PASS_1->SOR_PASS_1.TO.MLXN5], ,
SOR_PUBHUB,UP,UP,06/15/09 06:42:13,Messaging[PUBHUB_SORT.TO.SOR_PASS_1->SOR_PASS_1.TO.PUBHUB_SORT], ,
SOR_QSA_EXCH_1,UP,UP,06/15/09 06:42:13,Messaging[OM.QSASORT.1.TO.SOR_PASS_1->SOR_PASS_1.TO.OM.QSASORT.1], ,
SOR_XFM_1,UP,UP,06/15/09 06:42:13,Messaging[XFM_EMEA1.TO.SOR_PASS_1->SOR_PASS_1.TO.XFM_EMEA1], ,
SOR_XFM_2,UP,UP,06/15/09 06:42:13,Messaging[XFM_EMEA2.TO.SOR_PASS_1->SOR_PASS_1.TO.XFM_EMEA2], ,
