Seq,User,RIC,Reason,NumOfErrors
<!>Status,SampleTime,Mon May 23 16:24:32 BST 2011
<!>Description,Displays any rejected child from SORT
1,hamilcon,AUSRq.L,AUSRq.L - Minimum order size for LSE-IOB is 50,7,
2,hamilcon,KHIq.L,KHIq.L - Minimum order size for LSE-IOB is 50,28,
3,hamilcon,LKOHyq.L,LKOHyq.L - Minimum order size for LSE-IOB is 50,20,
4,hamilcon,ORTEq.L,ORTEq.L - Minimum order size for LSE-IOB is 50,37,
5,hamilcon,RGI.L,RGI.L - ORDER SIZE FIELD INVALID,36,
6,hamilcon,SED.MC,SED.MC - Order entry is not allowed in closed period,2,
7,hamilcon,ZOT_r.MC,ZOT_r.MC - Failed dynamic price validation against more than 3.0% away.  Tolerance Range: 100000.0 - 0.0,6,
8,schwibri,BRIC.MI,BRIC.MI - Minimum peak size is smaller than 40% of the NMS,1,
9,schwibri,CSGN.VX,CSGN.VX - Failed dynamic price validation against Last Traded price (49.0)  Bid/Ask price (49.0)  more than 2.5% away.  Tolerance Range: 47.775 - 50.224999999999994,1,
10,schwibri,CSGN.VX,CSGN.VX - Failed dynamic price validation against Last Traded price (49.08)  Bid/Ask price (49.04)  more than 2.5% away.  Tolerance Range: 47.814 - 50.306999999999995,1,
11,schwibri,CSGN.VX,CSGN.VX - Total order consideration less than traded currency limit,2,
12,schwibri,GAZPq.L,GAZPq.L - Minimum order size for LSE-IOB is 50,1,
13,schwibri,HOLN.VX,HOLN.VX - Iceberg orders are not supported on VTX,2,
14,schwibri,HOLN.VX,HOLN.VX - Total order consideration less than traded currency limit,84,
15,schwibri,MTCM.MI,MTCM.MI - Minimum peak size is smaller than 40% of the NMS,1,
16,schwibri,NESN.VX,NESN.VX - Failed dynamic price validation against Last Traded price (38.8)  Bid/Ask price (38.76)  more than 2.5% away.  Tolerance Range: 37.791 - 39.769999999999996,1,
17,schwibri,NESN.VX,NESN.VX - Failed dynamic price validation against Last Traded price (38.8)  Bid/Ask price (38.78)  more than 2.5% away.  Tolerance Range: 37.8105 - 39.769999999999996,1,
18,schwibri,NESN.VX,NESN.VX - Failed dynamic price validation against Last Traded price (38.82)  Bid/Ask price (38.82)  more than 2.5% away.  Tolerance Range: 37.8495 - 39.790499999999994,1,
19,schwibri,NESN.VX,NESN.VX - Failed dynamic price validation against Last Traded price (38.86)  Bid/Ask price (38.84)  more than 2.5% away.  Tolerance Range: 37.869 - 39.8315,1,
20,schwibri,NESN.VX,NESN.VX - Failed dynamic price validation against Last Traded price (38.92)  Bid/Ask price (38.9)  more than 2.5% away.  Tolerance Range: 37.927499999999995 - 39.893,1,
21,schwibri,NESN.VX,NESN.VX - Failed dynamic price validation against Last Traded price (38.96)  Bid/Ask price (38.96)  more than 2.5% away.  Tolerance Range: 37.986 - 39.934,1,
22,schwibri,NESN.VX,NESN.VX - Failed dynamic price validation against Last Traded price (39.02)  Bid/Ask price (39.02)  more than 2.5% away.  Tolerance Range: 38.0445 - 39.9955,2,
23,schwibri,NESN.VX,NESN.VX - Failed dynamic price validation against Last Traded price (39.06)  Bid/Ask price (39.06)  more than 2.5% away.  Tolerance Range: 38.0835 - 40.0365,2,
24,schwibri,NESN.VX,NESN.VX - Failed dynamic price validation against Last Traded price (39.08)  Bid/Ask price (39.06)  more than 2.5% away.  Tolerance Range: 38.0835 - 40.056999999999995,1,
25,schwibri,NESN.VX,NESN.VX - Total order consideration less than traded currency limit,11,
26,schwibri,ROG.VX,ROG.VX - Failed dynamic price validation against Last Traded price (145.0)  Bid/Ask price (144.9)  more than 2.5% away.  Tolerance Range: 141.2775 - 148.625,9,
27,schwibri,ROG.VX,ROG.VX - Failed dynamic price validation against Last Traded price (145.0)  Bid/Ask price (145.0)  more than 2.5% away.  Tolerance Range: 141.375 - 148.625,3,
28,schwibri,ROG.VX,ROG.VX - Failed dynamic price validation against Last Traded price (145.1)  Bid/Ask price (145.0)  more than 2.5% away.  Tolerance Range: 141.375 - 148.7275,2,
29,schwibri,ROG.VX,ROG.VX - Failed dynamic price validation against Last Traded price (145.2)  Bid/Ask price (145.1)  more than 2.5% away.  Tolerance Range: 141.4725 - 148.82999999999998,1,
30,schwibri,ROG.VX,ROG.VX - Total order consideration less than traded currency limit,15,
31,schwibri,RUKN.VX,RUKN.VX - Failed dynamic price validation against Last Traded price (39.1)  Bid/Ask price (39.06)  more than 2.5% away.  Tolerance Range: 38.0835 - 40.0775,1,
32,schwibri,RUKN.VX,RUKN.VX - Failed dynamic price validation against Last Traded price (39.34)  Bid/Ask price (39.32)  more than 2.5% away.  Tolerance Range: 38.336999999999996 - 40.3235,1,
33,schwibri,RUKN.VX,RUKN.VX - Failed dynamic price validation against Last Traded price (39.56)  Bid/Ask price (39.58)  more than 2.5% away.  Tolerance Range: 38.571 - 40.5695,1,
34,schwibri,RUKN.VX,RUKN.VX - Failed dynamic price validation against Last Traded price (39.58)  Bid/Ask price (39.58)  more than 2.5% away.  Tolerance Range: 38.5905 - 40.5695,1,
35,schwibri,RUKN.VX,RUKN.VX - Failed dynamic price validation against Last Traded price (39.6)  Bid/Ask price (39.6)  more than 2.5% away.  Tolerance Range: 38.61 - 40.589999999999996,1,
36,schwibri,RUKN.VX,RUKN.VX - Total order consideration less than traded currency limit,5,
37,schwibri,SYNN.VX,SYNN.VX - Failed dynamic price validation against Last Traded price (267.5)  Bid/Ask price (267.25)  more than 2.5% away.  Tolerance Range: 260.56874999999997 - 274.1875,1,
38,schwibri,SYNN.VX,SYNN.VX - Failed dynamic price validation against Last Traded price (269.75)  Bid/Ask price (269.5)  more than 2.5% away.  Tolerance Range: 262.7625 - 276.49375,3,
39,schwibri,SYNN.VX,SYNN.VX - Total order consideration less than traded currency limit,4,
40,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (171.3)  Bid/Ask price (171.4)  more than 2.5% away.  Tolerance Range: 167.0175 - 175.685,1,
41,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (171.5)  Bid/Ask price (171.3)  more than 2.5% away.  Tolerance Range: 167.0175 - 175.7875,1,
42,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (171.6)  Bid/Ask price (171.7)  more than 2.5% away.  Tolerance Range: 167.31 - 175.99249999999998,1,
43,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (171.8)  Bid/Ask price (171.7)  more than 2.5% away.  Tolerance Range: 167.4075 - 176.095,1,
44,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (171.9)  Bid/Ask price (171.9)  more than 2.5% away.  Tolerance Range: 167.6025 - 176.1975,1,
45,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (172.3)  Bid/Ask price (172.1)  more than 2.5% away.  Tolerance Range: 167.79749999999999 - 176.6075,1,
46,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (172.3)  Bid/Ask price (172.3)  more than 2.5% away.  Tolerance Range: 167.9925 - 176.6075,1,
47,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (172.4)  Bid/Ask price (172.3)  more than 2.5% away.  Tolerance Range: 167.9925 - 176.70999999999998,1,
48,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (172.5)  Bid/Ask price (172.4)  more than 2.5% away.  Tolerance Range: 168.09 - 176.81249999999997,1,
49,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (172.6)  Bid/Ask price (172.5)  more than 2.5% away.  Tolerance Range: 168.1875 - 176.915,1,
50,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (172.7)  Bid/Ask price (172.6)  more than 2.5% away.  Tolerance Range: 168.285 - 177.01749999999998,2,
51,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (173.1)  Bid/Ask price (173.1)  more than 2.5% away.  Tolerance Range: 168.77249999999998 - 177.42749999999998,1,
52,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (173.8)  Bid/Ask price (173.8)  more than 2.5% away.  Tolerance Range: 169.455 - 178.145,1,
