BUSINESS,APPTYPE,INSTANCE,nORDERS,nSHARES,nFILLS,nSHARESFILLED,NOTIONALFILLED
DMA,OM,OM.DMA.6,274,226283,293,197876,5.35466e+06,
DMA,OM,OM.DMA.7,14958,35834431,38,20658,2.99897e+06,
DMA,OM,OM.DMA.8,2733,2986674,3447,2503636,9.07133e+07,
DMA,OM,OM.DMA.10,1057,2184285,1363,1989955,1.10884e+07,
DMA,OM,OM.FFODMA.1,15,42,11,37,125900,
DMA,OM,OM.DMA.1,24,32586,5,28589,292339,
DMA,OM,OM.DMA.2,24529,80554499,29990,39104965,3.86675e+09,
DMA,OM,OM.DMA.3,13,500,0,0,0,
DMA,OM,OM.DMA.4,4228,6241493,1248,766672,8.94857e+07,
DMA,OM,OM.DMA.5,2381,10805666,2241,3660860,6.44416e+08,
DSA,OM,OM.AXP.1,62649,147705476,35321,40294770,7.01632e+09,
DSA,OM,OM.AXP.2,62472,147154192,35828,39800350,7.30076e+09,
DSA,OM,OM.AXP.3,62468,148945865,35429,40103662,7.18669e+09,
DMA,OM,OM.FIDSORT.1,997,11504461,3784,6953026,2.08529e+09,
DMA,OM,OM.DMA.9,9182,22124118,3078,4202807,2.29653e+08,
DMA,FR,FE_XET_DMA_1,1181,448675,858,352290,5.55806e+06,
DMA,FR,FE_XET_GSA_1,2640,4002538,279,460633,8.3907e+06,
DMA,OM,OM.XET.DMA.1,3821,4451213,1137,812923,1.39488e+07,
DMA,MA,XET_DMA_6,3821,4451213,1137,812923,1.39488e+07,
DMA,MA,CPH_DMA_1,1394,3497550,103,219231,1.12591e+07,
DMA,MA,HEL_DMA_1,141,427520,245,222589,1.55664e+06,
DSA,MA,CPH_AXP_1,2058,837895,1861,426738,1.16264e+08,
DMA,MA,LIFFE_DMA_1,4,19,4,18,789840,
DMA,MA,LIFFE_DMA_3,57,2510,38,1328,2.14075e+07,
DMA,MA,LIFFE_DMA_4,1,60,0,0,0,
DMA,MA,LIFFE_DMA_5,2,35,2,35,6375,
QSA,OM,OM.QSA.1,1,50000,144,50000,550140,
DMA,MA,CPH_DMA_1,1394,3497550,103,219231,1.12591e+07,
DSA,MA,HEL_AXP_1,2035,2921399,1574,1187481,9.73341e+06,
DMA,MA,OSL_DMA_1,65,166848,50,82000,2.79211e+06,
DMA,MA,STO_DMA_1,3363,10548858,563,1265537,7.46568e+07,
DMA,MA,HEL_DMA_1,141,427520,245,222589,1.55664e+06,
DMA,MA,LIFFE_DMA_1,4,19,4,18,789840,
DSA,MA,MAD_AXP_1,3122,6624244,2461,3122261,2.84781e+07,
DMA,MA,LIFFE_DMA_4,1,60,0,0,0,
DMA,MA,LIFFE_DMA_5,2,35,2,35,6375,
DMA,MA,MIL_DMA_9,9091,16403939,1355,1942613,1.14213e+07,
DMA,MA,MIL_DMA_10,7505,25682055,1318,2027355,1.24078e+07,
DMA,MA,LSE_DMA_1,1173,3272346,1090,1481108,1.14377e+09,
DMA,MA,MAD_DMA_1,4135,15605820,2431,6419942,3.36604e+07,
DMA,MA,CHIX_DMA_1,2236,1866416,1534,795043,2.974e+08,
DSA,MA,OSL_AXP_1,2821,9376881,2216,4380550,1.90269e+08,
DSA,MA,TRQ_AXP_1,36177,93038665,11941,12910638,2.64012e+09,
DSA,MA,NQX_AXP_1,2058,5757311,1036,930857,2.26219e+08,
DMA,MA,ENX_DMA_6,3,2335,1,150,13237.5,
DMA,MA,LSE_DMA_2,1585,4178589,962,1739488,7.40636e+08,
DMA,MA,STO_DMA_1,3363,10548858,563,1265537,7.46568e+07,
DMA,MA,ENX_DMA_1,18617,23171645,16652,12358932,1.97431e+08,
QSA,MA,HEL_QSA_1,8399,6124421,465,140885,1.59772e+06,
QSA,MA,OSL_QSA_1,5984,13876950,386,422000,2.51981e+07,
QSA,MA,STO_QSA_1,10544,13583815,310,254826,2.15304e+07,
QSA,MA,MAD_QSA_1,18,8618,18,5000,182180,
QSA,MA,MIL_QSA_5,399,811723,268,370198,1.30433e+06,
QSA,MA,MIL_QSA_6,404,883659,273,406878,1.2247e+06,
QSA,OM,OM.QSA.3,973,1220,126,286,983102,
QSA,OM,OM.QSAHF.3,44868,32291673,1842,601836,1.06017e+07,
QSA,OM,OM.QSASORT.1,7553,7877308,6155,3268133,1.13103e+09,
DSA,MA,MIL_AXP_4,2750,9246379,2090,4508212,1.79382e+07,
DSA,MA,NYFX_AXP_01,16615,48971675,731,1314203,3.59206e+08,
QSA,MA,LSE_QSA_1,26241,46206937,1258,1027220,6.35559e+08,
QSA,MA,NQX_QSA_1,24,23284,19,6174,1.43636e+06,
QSA,MA,LSE_QSA_2,28227,51132954,3076,2731559,1.12423e+09,
QSA,OM,OM.QSA.2,12282,13654423,8631,5395949,1.51545e+09,
QSA,OM,OM.QSAHF.2,51097,89461632,1481,1180892,2.2662e+08,
QSA,OM,OM.QSAHF.5,52523,48842448,578,240580,1.18228e+07,
QSA,MA,CHIX_QSA_1,3723,2626903,2664,1629208,4.39404e+08,
DSA,MA,STO_AXP_1,2976,5365390,2462,2931668,1.96764e+08,
DSA,MA,LSE_AXP_1,26694,80525704,21958,40533947,1.02836e+10,
QSA,MA,ENX_QSA_6,24219,17013742,2203,674079,1.082e+07,
QSA,MA,BATS_QSA_1,235,212504,163,70905,2.53537e+07,
QSA,MA,ENX_QSA_7,24255,17309539,2159,766664,1.14489e+07,
DSA,MA,MIL_AXP_3,2753,9571630,2032,4516698,1.6566e+07,
QSA,MA,LIFFE_QSA_1,941,1023,76,96,4.18638e+06,
DSA,MA,EUX_AXP_1,172,649,105,395,974415,
DSA,MA,CHIX_AXP_1,50605,121523250,27980,29121200,6.21377e+09,
QSA,MA,EUX_QSA_1,14,71,14,71,175402,
DSA,MA,ARCA_AXP_1,20,19646,2,404,10018.4,
DMA,MA,SWX_DMA_1,5114,8872050,3014,2887866,1.09045e+08,
DMA,MA,VIE_DMA_1,104,82042,72,37721,568342,
DMA,MA,XET_DMA_1,1275,1364273,759,917165,2.22489e+07,
DMA,MA,XET_DMA_2,323,2035627,1025,1216285,2.28455e+07,
DMA,MA,JSE_DMA_1,597,5328477,98,485928,6.37559e+08,
DMA,MA,MIL_DMA_1,1,10,0,0,0,
DMA,FR,FE_DMA_1,18052,51603702,2713,6125685,7.58063e+08,
DMA,FR,FE_DMA_GSA_1,9172,22139318,3078,4202807,2.29653e+08,
DSA,MA,VIE_AXP_1,1734,927059,1049,437821,6.06331e+06,
DSA,XFM,XFM_CATS,816,8859045,3990,5866017,1.04298e+09,
DSA,SORT,SOR_ETT_3,16095,14202987,51708,15171516,2.09056e+08,
DSA,SORT,SOR_BETA_2,7414,15807020,27120,19674054,7.32916e+09,
DMA,MA,EUX_DMA_1,8,20,7,19,46916,
DMA,FR,FE_DMA_INF_1,3744,5787285,936,463622,1.56447e+07,
DMA,FR,FE_DMA_IVC_1,2307,2074997,3003,1744993,1.90607e+07,
DMA,FR,FE_DMA_JANE_1,274,226283,293,197876,5.35466e+06,
DMA,FR,FE_DMA_QLB_1,2260,4764214,3031,4147697,8.42863e+07,
QSA,MA,LIFFE_QSA_2,18,126,36,119,3.89062e+06,
DSA,SORT,SOR_ETT_BETA_EURO,5319,4545919,19311,4876200,6.83859e+07,
QSA,MA,ROR_QSA_1,1,50000,144,50000,550140,
DMA,OM,HR_CHIX_DMA_1,21467,51116213,8038,4049954,5.30447e+08,
QSA,MA,CPH_QSA_1,3708,1202872,282,61217,1.36003e+07,
QSA,MA,XET_QSA_1,16082,10736750,1177,410447,8.60089e+06,
DSA,XFM,XFM_EMEA1,5269,212695525,123210,85116939,2.24382e+10,
DSA,XFM,XFM_PAIRS,80,8504349,4492,1163574,1.52665e+09,
DMA,OM,HR_OM_DMA_LSE_1,10367,56236455,1625,6070371,2.03039e+09,
DMA,MA,LSE_DMAHR_1,10368,56238755,1625,6070371,2.03039e+09,
DMA,FR,FE_DMA_HR_GSAFN_1,21880,67051664,8763,10244534,1.84237e+09,
DMA,FR,FE_DMA_HR_QLB_1,3897,7829375,5980,6597814,3.54661e+08,
