AppType,Instance,Current Volume,Last Trading Day's Volume,Percent Change from Last Trading Day,EOD Projection,Historical High,Percent Change from Historical High,Current Component Percentage,Last Trading Day's Component Percentage,ComponentThreshold
FR,FE_XET_DMA_1,1319,1209,9.10,1663,14392,-88.44,0.08,0.10,1500000,
FR,FE_XET_GSA_1,2640,7253,-63.60,4832,44219,-89.07,0.18,0.89,1500000,
FR,FE_DMA_1,35009,19915,75.79,78781,28658,174.90,2.33,2.99,1500000,
FR,FE_DMA_GSA_1,10843,3771,187.54,15331,234169,-93.45,0.72,0.36,1500000,
FR,FE_DMA_INF_1,6225,10884,-42.81,9105,34154,-73.34,0.41,1.06,1500000,
FR,FE_DMA_IVC_1,2569,2326,10.45,3307,12201,-72.90,0.16,0.20,1500000,
FR,FE_DMA_JANE_1,329,190,73.16,1819,97453,-98.13,0.02,0.07,1500000,
FR,FE_DMA_QLB_1,2677,3272,-18.18,3637,88926,-95.91,0.18,0.30,1500000,
XFM,XFM_CATS,875,1886,-53.61,1444,7404,-80.50,0.27,1.04,300000,
XFM,XFM_EMEA1,5630,7825,-28.05,6241,4298,45.21,1.88,2.89,300000,
XFM,XFM_CATS,875,1886,-53.61,1444,7404,-80.50,0.27,1.04,300000,
SORT,SOR_ETT_3,17659,22576,-21.78,21036,35853,-41.33,22.07,33.62,80000,
SORT,SOR_BETA_2,8337,815,922.94,27292,32107,-15.00,10.42,3.33,80000,
OM,OM.DMA.6,329,190,73.16,1819,92571,-98.04,0.22,0.70,150000,
OM,OM.DMA.7,19203,31024,-38.10,23702,138544,-82.89,12.80,25.53,150000,
OM,OM.DMA.8,3058,2681,14.06,3977,166045,-97.60,2.04,2.32,150000,
OM,OM.DMA.6,329,190,73.16,1819,92571,-98.04,0.22,0.70,150000,
OM,OM.DMA.7,19203,31024,-38.10,23702,138544,-82.89,12.80,25.53,150000,
OM,OM.DMA.8,3058,2681,14.06,3977,166045,-97.60,2.04,2.32,150000,
OM,OM.DMA.10,1236,2380,-48.07,1707,9020,-81.08,0.82,2.19,150000,
OM,OM.FFODMA.1,15,12,25.00,21,3515,-99.40,0.01,0.01,150000,
OM,OM.DMA.1,24,12,100.00,26,36062,-99.93,0.02,0.01,150000,
OM,OM.DMA.2,26576,53802,-50.60,32398,249307,-87.00,17.72,43.73,150000,
OM,OM.DMA.3,13,12,8.33,21,128055,-99.98,0.01,0.01,150000,
OM,OM.DMA.4,6890,11396,-39.54,11058,108369,-89.80,4.59,12.19,150000,
OM,OM.DMA.5,15665,11965,30.92,42039,95043,-55.77,10.44,21.41,150000,
OM,OM.AXP.1,71066,90736,-21.68,88841,156388,-43.19,47.38,75.62,150000,
OM,OM.AXP.2,70862,88876,-20.27,88970,175099,-49.19,47.24,74.39,150000,
OM,OM.AXP.3,70858,88920,-20.31,88285,175093,-49.58,47.24,73.86,150000,
OM,OM.FIDSORT.1,1096,1753,-37.48,1618,4457,-63.70,0.73,1.73,150000,
OM,OM.DMA.9,10892,3802,186.48,15315,221636,-93.09,7.26,3.56,150000,
OM,OM.XET.DMA.1,3962,1210,227.44,4993,47666,-89.53,2.64,1.02,150000,
OM,OM.QSA.1,1,1,0.00,4,120297,-100.00,0.00,0.00,150000,
OM,OM.QSA.3,1136,1203,-5.57,1403,2307,-39.19,0.76,0.99,150000,
MA,XET_DMA_6,3962,1210,227.44,4993,47408,-89.47,1.58,0.61,250000,
MA,CPH_AXP_1,2328,1780,30.79,2696,6416,-57.98,0.93,0.82,250000,
MA,CPH_DMA_1,1395,2916,-52.16,1509,10671,-85.86,0.56,1.26,250000,
MA,ENX_QSA_6,27453,25003,9.80,33209,184713,-82.02,10.98,12.10,250000,
MA,ENX_QSA_7,27489,25095,9.54,33129,72775,-54.48,11.00,12.10,250000,
MA,HEL_AXP_1,2356,2310,1.99,2777,11710,-76.29,0.94,1.09,250000,
MA,HEL_DMA_1,1686,4344,-61.19,3488,8988,-61.19,0.67,3.60,250000,
MA,XET_DMA_6,3847,1118,244.10,5247,47408,-88.93,1.54,0.61,250000,
MA,CPH_AXP_1,3962,1210,227.44,4993,6416,-89.47,1.58,0.82,250000,
MA,CPH_DMA_1,2328,1780,30.79,2696,10671,-57.98,0.93,1.26,250000,
MA,ENX_QSA_6,1395,2916,-52.16,1509,184713,-85.86,10.00,12.10,250000,
MA,ENX_QSA_7,27453,25003,9.80,33209,72775,-82.02,10.98,12.10,250000,
MA,HEL_AXP_1,27489,25095,9.54,33129,11710,-54.48,11.00,1.09,250000,
MA,HEL_DMA_1,2356,2310,1.99,2777,8988,-76.29,0.94,3.60,250000,
MA,LIFFE_DMA_1,1686,4344,-61.19,3488,1446,-61.19,0.67,0.00,250000,
MA,LIFFE_DMA_3,57,38,50.00,76,92,-17.39,0.02,0.02,250000,
MA,LIFFE_QSA_1,58,40,45.00,73,1731,-20.65,0.39,0.58,250000,
MA,LIFFE_QSA_2,1097,1184,-7.35,1344,425,-22.36,0.44,0.01,250000,
MA,MAD_AXP_1,3188,3063,4.08,4220,10538,-59.95,1.28,1.62,250000,
MA,NQX_AXP_1,3390,3255,4.15,4223,64711,-59.93,1.36,0.81,250000,
MA,NYFX_AXP_01,16842,18862,-10.71,22371,61351,-63.54,6.74,10.02,250000,
MA,OSL_AXP_1,18072,20341,-11.15,22260,13025,-63.72,7.23,1.64,250000,
MA,TRQ_AXP_1,3134,3518,-10.92,3644,75341,-72.02,1.25,29.60,250000,
MA,OSL_DMA_1,41563,58700,-29.19,52399,7133,-30.45,16.63,0.16,250000,
MA,ROR_QSA_1,138,164,-15.85,339,23,-95.25,0.06,0.00,250000,
MA,STO_AXP_1,3027,3524,-14.10,4131,9624,-57.08,1.21,1.92,250000,
MA,STO_DMA_1,3332,3803,-12.38,4214,18590,-56.21,1.33,3.56,250000,
MA,CPH_QSA_1,5922,3461,71.11,15230,9508,-18.07,2.37,2.02,250000,
MA,HEL_QSA_1,4238,4214,0.57,5074,29486,-46.63,1.70,4.50,250000,
MA,OSL_QSA_1,9507,9030,5.28,11855,23172,-59.79,3.80,3.40,250000,
MA,STO_QSA_1,6823,7125,-4.24,8136,34306,-64.89,2.73,5.56,250000,
MA,MIL_QSA_5,11936,11606,2.84,14296,1708,-58.33,4.77,0.50,250000,
MA,MIL_QSA_6,496,667,-25.64,935,1704,-45.26,0.20,0.48,250000,
MA,MIL_DMA_9,499,606,-17.66,984,23668,-42.25,0.20,0.87,250000,
MA,MIL_DMA_10,12327,1663,641.25,16196,23992,-31.57,4.93,1.03,250000,
MA,MIL_AXP_3,8691,2071,319.65,10789,9198,-55.03,3.48,1.26,250000,
MA,MIL_AXP_4,3101,2650,17.02,3677,9197,-60.02,1.24,1.26,250000,
MA,LSE_DMA_1,3101,2648,17.11,3679,276962,-60.00,1.24,3.47,250000,
MA,LSE_QSA_1,5898,3585,64.52,14283,158000,-94.84,2.36,14.67,250000,
MA,LSE_QSA_2,30067,29761,1.03,37047,83234,-76.55,12.03,15.13,250000,
MA,MAD_DMA_1,31913,31806,0.34,37955,26951,-54.40,12.77,2.27,250000,
MA,CHIX_DMA_1,4837,4248,13.87,6452,238852,-76.06,1.93,5.34,250000,
MA,CHIX_AXP_1,2623,9738,-73.06,3596,101101,-98.49,1.05,36.10,250000,
MA,CHIX_QSA_1,57806,73034,-20.85,71432,272575,-29.35,23.12,4.40,250000,
MA,ENX_DMA_6,5791,5817,-0.45,10954,97238,-95.98,2.32,0.00,250000,
MA,LSE_AXP_1,27314,35762,-23.62,38033,121075,-68.59,10.93,19.92,250000,
MA,LSE_DMA_2,30434,39253,-22.47,38609,144677,-68.11,12.17,3.60,250000,
MA,BATS_QSA_1,6337,3888,62.99,14686,866,-89.85,2.53,0.13,250000,
MA,ARCA_AXP_1,257,164,56.71,520,276,-39.95,0.01,0.01,250000,
OM,OM.QSAHF.3,50205,45739,9.76,58634,134627,-56.45,33.47,35.61,150000,
MA,SWX_DMA_1,22118,21268,4.00,29196,23690,-33.81,8.85,3.40,250000,
