instance,hostname,minHeapSize,maxHeapSize,javaVersion,orderThres,execThres
AXP11,gbwaapettp21.uk.ml.com,4096,4096,jre1.5.0_11,10000, ,
AXP12,elonaapstap1.uk.ml.com,2048,2048,jdk1.5.0_04,10000, ,
AXP13,gbwaapettp23.uk.ml.com,4096,4096,jre1.5.0_11,10000, ,
AXP21,gbwaapettp21.uk.ml.com,4096,4096,jre1.5.0_11,10000, ,
AXP22,gbwaapettp22.uk.ml.com,4096,4096,jre1.5.0_11,10000, ,
AXP23,gbwaapettp23.uk.ml.com,4096,4096,jre1.5.0_11,10000, ,
AXP41,gbwaapettp21.uk.ml.com,4096,4096,jre1.5.0_11,10000, ,
AXP51,elonaappairsp2.uk.ml.com,2048,2048,jre,10000, ,
AXP52,gbwaapettp25.uk.ml.com,4096,4096,jre1.5.0_11,10000, ,
AXP53,gbwaapettp25.uk.ml.com,4096,4096,jre1.5.0_11,10000, ,
BOAT_STR_1,elonaapxdp03.uk.ml.com,1024,1024,jdk1.5.0_11,250000, ,
BOAT_STR_2,elonaapxdp03.uk.ml.com,1024,1024,jdk1.5.0_11,250000, ,
CC_DROPCOPY_1,elonaapxdomp2.uk.ml.com,1024,1024,jdk1.5.0_11,500000, ,
EMEA-AXP-PUBHUB,elonaapxdutp1.uk.ml.com,3072,3072,jdk1.5.0_11, , ,
EMEA-DMA-PUBHUB,elonaapxdutp1.uk.ml.com,2048,2048,jdk1.5.0_11, , ,
EMEA-QSA-PUBHUB,elonaapxdutp1.uk.ml.com,2048,2048,jdk1.5.0_11, , ,
HOTROD,gbwxaphrodp01.uk.ml.com,0,4096,jre,150000, ,
MLXN1,gbwaapettp21.uk.ml.com,4096,4096, ,100000, ,
MLXN2,gbwaapettp22.uk.ml.com,4096,4096, ,100000, ,
MLXN3,gbwaapettp23.uk.ml.com,4096,4096, ,100000, ,
MLXN4,gbwaapettp24.uk.ml.com,4096,4096, ,100000, ,
MLXN5,gbwaapettp25.uk.ml.com,4096,4096, ,100000, ,
OM.AXP.1,elonaapxdomp3.uk.ml.com,6144,6144,jdk1.5.0_11,150000, ,
OM.AXP.2,elonaapxdomp3.uk.ml.com,6144,6144,jdk1.5.0_11,150000, ,
OM.AXP.3,elonaapxdomp3.uk.ml.com,6144,6144,jdk1.5.0_11,150000, ,
OM.DMA.1,elonaapxdomp2.uk.ml.com,8192,8192,jdk1.5.0_11,150000, ,
OM.DMA.10,elonaapxdomp1.uk.ml.com,8192,8192,jdk1.5.0_11,150000, ,
OM.DMA.2,elonaapxdomp2.uk.ml.com,8192,8192,jdk1.5.0_11,150000, ,
OM.DMA.3,elonaapxdomp2.uk.ml.com,8192,8192,jdk1.5.0_11,150000, ,
OM.DMA.4,elonaapxdomp2.uk.ml.com,8192,8192,jdk1.5.0_11,150000, ,
OM.DMA.5,elonaapxdomp2.uk.ml.com,8192,8192,jdk1.5.0_11,150000, ,
OM.DMA.6,elonaapxdomp1.uk.ml.com,8192,8192,jdk1.5.0_11,150000, ,
OM.DMA.7,elonaapxdomp1.uk.ml.com,8192,8192,jdk1.5.0_11,150000, ,
OM.DMA.8,elonaapxdomp1.uk.ml.com,8192,8192,jdk1.5.0_11,150000, ,
OM.DMA.9,elonaapxdomp3.uk.ml.com,8192,8192,jdk1.5.0_11,150000, ,
OM.DMASORT.1,elonaapxdomp3.uk.ml.com,6144,6144,jdk1.5.0_11,150000, ,
OM.FFODMA.1,elonaapxdomp1.uk.ml.com,5120,5120,jdk1.5.0_11,150000, ,
OM.FIDSORT.1,elonaapxdomp3.uk.ml.com,6144,6144,jdk1.5.0_11,150000, ,
OM.MLXNDMA.1,elonaapxdomp1.uk.ml.com,1024,3072,jdk1.5.0_11,150000, ,
OM.MLXNDMA.2,elonaapxdomp1.uk.ml.com,1024,3072,jdk1.5.0_11,150000, ,
OM.QSA.1,elonaapxdqsap1.uk.ml.com,5120,5120,jdk1.5.0_11,150000, ,
