APPNAME,PERCENT,CPU,RSS,VIRT,THREADS
SOR_BETA_1,24.3555049311998,4.8,798844,3279932,128,
SOR_BETA_2,29.7816485095148,5.6,1023276,3435928,128,
SOR_ETT_BETA_EURO,31.120419772593,13.8,1099828,3535184,128,
SOR_ETT_3,37.6866563101751,15.9,1369212,3633148,120,
SOR_SEK_1,24.9227131409555,2.7,796824,3197180,120,
SOR_PASS_1,28.2505294255434,5.6,945552,3347024,124,
SOR_DKK_1,24.9969684657937,2.6,799828,3199700,120,
SOR_EUR_1,41.4513071063242,17.9,1608256,3879868,124,
SOR_NOK_1,24.9990623476315,2.2,799840,3199480,120,
SOR_MULTI_1,29.8731085744624,4.6,1012788,3390300,124,
SOR_BETA_MULTI,24.7883595927632,3.8,804648,3246072,124,
SOR_PASS_3,28.2383649335652,5.2,942940,3339216,124,
SOR_CHF_1,25.0086236633322,2.3,800400,3200496,120,
SOR_GBP_3,44.3626533108292,8.3,1710576,3855892,124,
SOR_EUR_3,43.2449392170238,20.2,1678772,3882008,124,
SOR_MULTI_3,30.0718559195478,4.5,1018132,3385664,124,
SOR_GBP_1,44.314302695739,9.7,1708896,3856308,124,
