hopID,nodeName,nodeAddress,turnAroundTime,packetLoss
<!>targetNode,www.bbc.co.uk   [212.58.251.195]
<!>targetState,reachable
<!>totalHops,10
<!>nodeAccessTime,23.80 Ms
1,*,192.168.10.254,0.27 Ms,0.00 %
2,*,213.246.170.118,0.76 Ms,0.00 %
3,*,213.246.145.239,19.82 Ms,0.00 %
4,*,213.246.177.221,19.94 Ms,0.00 %
5,*,212.58.37.119,22.99 Ms,0.00 %
6,*,213.246.145.190,22.56 Ms,0.00 %
7,*,193.203.5.90,48.69 Ms,0.00 %
8,*,212.58.238.153,18.23 Ms,33.33 %
9,*,212.58.239.62,24.08 Ms,0.00 %
10,*,212.58.251.195,23.80 Ms,0.00 %
