name,maxRecords,usedRecords,percentageUsed
UPQ__ACTIVE_ORDERS,0,-1,0.00
SYSTEM,50,6,12.00
USER_GROUP_MAP,50,0,0.00
RIGHTS,45000,354,0.79
LIST,50,0,0.00
LIST_LIST,50,0,0.00
GENERIC_PICKLIST,1000,46,4.60
PORTFOLIO,2000,204,10.20
USER,1600,76,4.75
LAST_SOURCE_REF,100,9,9.00
PROCESS_STATUS,150,42,28.00
ACTIVE_ORDERS,120000,3509,2.92
ORDER_HISTORY,150000,7223,4.82
ORDER_EXECUTIONS,150000,7020,4.68
QUOTE_PARAMETERS,400,0,0.00
ACCESS,12000,200,1.67
ORDER_REQUEST,2000,0,0.00
USER_EXCHANGE,50,0,0.00
ORDER_TYPES,400,158,39.50
PUBLIC_ORDERS,600000,11548,1.92
ORDER_PRICE_SUMMARY,100000,7674,7.67
INSTRUMENT_PRICE,10000,3999,39.99
EXCHANGE_MSGREF,1000,1,0.10
TRADING_PERIODS,7000,2019,28.84
INSTRUMENT_LIST,50,0,0.00
ACTIVE_QUOTES,300,0,0.00
QUOTE_REQUESTS,500,0,0.00
GENERIC_MSG_TYPE,100,0,0.00
QUOTE_RULES,50,0,0.00
INSTRUMENT_DYNAMIC,1000,0,0.00
ORDERS_MAPPING,2000,109,5.45
HOUSE_SUMMARY,3000,112,3.73
HOUSE_PRICE,2000,111,5.55
ACTIVE_QUOTE_REQS,300,0,0.00
ADDRESSED_OFFERS,50,0,0.00
QUOTE_TYPES,50,5,10.00
GL_STOCKS,50,0,0.00
LIMITS,50,0,0.00
PI_MARKET_INSTRUMENT,175000,28927,16.53
OMAR_SPLIT_SUMMARY,2000,0,0.00
ORDER_PRICE_FIXED,1500,914,60.93
ORDER_PRICE_WATCH,1500,0,0.00
AUTO_RELEASE,100,7,7.00
INSTRUMENT,25000,3776,15.10
ALT_INSTRUMENT_ID,285000,19450,6.82
COUNTERPARTY,6000,244,4.07
ALT_COUNTERPARTY_ID,40000,555,1.39
CPTY_ACCOUNT,1,0,0.00
ALT_CPTY_ACCOUNT,1,0,0.00
EXCHANGE,100,16,16.00
CURRENCY,200,153,76.50
EXCHANGE_CALENDAR,1,0,0.00
ACCOUNT_PERIOD,1,0,0.00
COUNTRY,500,244,48.80
BOOK,1000,5,0.50
ALT_BOOK_ID,1000,5,0.50
TRADING_ENTITY,30,1,3.33
INDEX_CONSTITUENT,200,0,0.00
SERVICE_CALENDAR,1,0,0.00
MARKET,100,22,22.00
MARKET_SEGMENT,1500,335,22.33
MARKET_SECTOR,600,99,16.50
MARKET_ROUTE,300,38,12.67
EXCHANGE_MEMBER,2000,65,3.25
GROUP_PROFILE_MAP,600,0,0.00
MARKET_VAL_PROFILE,100,0,0.00
USER_MARKET_ROUTE,2000,29,1.45
MARKET_INSTRUMENT,25000,3776,15.10
MEMBER_INST_ACTIVITY,1,0,0.00
INDEX,50,0,0.00
ORDER_BOOK,200,34,17.00
ORDER_BOOK_MAP,50,3,6.00
SECTOR,500,50,10.00
FLAG_GROUP,300,56,18.67
FLAG,2000,235,11.75
PI_INSTRUMENT,1,0,0.00
TICK_SCALE,100,32,32.00
TICK_SCALE_BAND,400,92,23.00
LAST_REUT_REF,3000,0,0.00
REUTERS_VWAP,3000,0,0.00
