Name,Status,CPU %,Memory (Kb),Description,Config File,Start Time,PID,Availability
EMMA_MINDER,UP,0.20,920,Fidessa Minder, ,Tue Apr 18 22:30:17 SAST 2006,8677,present
EMMA_WEBSERVER,UP,0.00,8,Web server, ,Tue Apr 18 22:30:17 SAST 2006,8674,
FID_LMO,UP,0.00,6,Lock Monitor,Lmo.cfg,Wed Apr 19 05:30:19 SAST 2006,652,
EMMA_AUTO_RELEASE,UP,0.00,918,Automated Release of Held Auction Orders,AutoRelease.cfg,Wed Apr 19 05:30:10 SAST 2006,91,
EMMA_BDASVR,UP,0.00,925,BDA Update Server, ,Wed Apr 19 05:30:11 SAST 2006,157,
EMMA_CALCSVR,UP,0.10,928,What If/Size Depth Calculations,CalcSvr.cfg,Wed Apr 19 05:30:16 SAST 2006,472,
EMMA_DAQFIND,UP,0.10,1370,fidessa Finder Query Server,EmmaDaqFind.cfg,Wed Apr 19 05:30:09 SAST 2006,10,
EMMA_DBWEBSERVER,UP,0.00,926,Web server (database connected), ,Wed Apr 19 05:30:19 SAST 2006,683,
EMMA_ELMTH,UP,0.00,925,List Management Transaction Handler,Elmth.cfg,Wed Apr 19 05:30:19 SAST 2006,646,
EMMA_EQUITYSUITE,UP,0.10,923,EquitySuite Query Server,EquitySuiteQuery.cfg,Wed Apr 19 05:30:10 SAST 2006,100,
EMMA_FDEPTH_BUY,UP,0.10,1007,Full Depth Buy Query Server,PubOrd.fdb.cfg,Wed Apr 19 05:30:13 SAST 2006,325,
EMMA_FDEPTH_SELL,UP,0.10,1007,Full Depth Sell Query Server,PubOrd.fds.cfg,Wed Apr 19 05:30:23 SAST 2006,783,
EMMA_FIXORDDEPTH,UP,0.10,921,Maintains Fixed Level of Order Depth,FixedOrderDepth.cfg,Wed Apr 19 05:30:14 SAST 2006,365,
EMMA_FTSSVR,UP,0.00,925,EMMA to FTS Stream Server,FtsSvr.auto.cfg,Wed Apr 19 05:30:22 SAST 2006,775,
EMMA_HOP,UP,0.00,925,Hidden Order Processing,Hop.cfg,Wed Apr 19 05:30:22 SAST 2006,769,
EMMA_HOUSE2,UP,0.20,1229,House Order Query Server (SA config  port 27104),HouseQuery2.cfg,Wed Apr 19 05:30:16 SAST 2006,464,
EMMA_HSEKPR,UP,0.00,925,Order Expiry Processing,HseKpr.cfg,Wed Apr 19 05:30:13 SAST 2006,329,
EMMA_JNBEIS,UP,0.10,926,Johannesburg Exchange Interface,JnbEis.cfg,Wed Apr 19 05:30:12 SAST 2006,228,
EMMA_JNBPSR,UP,0.10,945,Johannesburg Price Server,JnbPsr.cfg,Wed Apr 19 08:30:02 SAST 2006,6501,
EMMA_NEWS,UP,0.00,926,News Query Server,NewsQuery.cfg,Wed Apr 19 05:30:13 SAST 2006,312,
EMMA_OASWITCH,UP,0.10,10,OpenAccess Switch,OaSwitch.cfg,Wed Apr 19 05:30:13 SAST 2006,279,
