Owner,Gets,Puts,EventQueueSize,
pdg_locator3,0,0,0,
pdg_peer6,0,0,0,
pdg_gatewayout2,0,0,0,
pdg_peer1,0,0,0,
pdg_gatewayout1,69349751,14776492,0,
pdg_server1,8608732,1968990,0,
pdg_snapshot1,4680,782428,0,
pdg_peer4,0,0,0,
pdg_locator1,0,0,0,
pdg_locator2,0,0,0,
pdg_peer8,0,0,0,
pdg_server4,1276178,837993,0,
pdg_server3,1670663,1079476,0,
pdg_peer3,0,0,0,
pdg_gatewayin1,585485338,490428832,0,
pdg_peer2,0,0,0,
pdg_peer5,0,0,0,
pdg_locator4,0,0,0,
pdg_server2,4071129,1269546,0,
pdg_peer7,0,0,0,
pdg_gatewayin2,0,5250,0,
