Owner,TotalMemeory,CPUTime,FreeMemory,fdsOpen,
pdg_server1,2125725696,43421120000000,1711002888,173,
pdg_peer1,2125725696,16924700000000,807454272,163,
pdg_gatewayout2,2125725696,11055910000000,2077216752,220,
pdg_peer2,2125725696,19173680000000,801562824,162,
pdg_snapshot1,1328807936,4815080000000,713460744,214,
pdg_server4,2134114304,28829970000000,1852981376,167,
pdg_peer8,2134114304,15866820000000,1222830576,160,
pdg_locator2,2125725696,3489010000000,1972122408,135,
pdg_locator1,2134114304,3537770000000,2097063000,135,
pdg_gatewayin2,2134114304,35694420000000,762115304,403,
pdg_server3,2134114304,32103720000000,707582080,169,
pdg_gatewayin1,2134114304,89830850000000,715593472,451,
pdg_gatewayout1,2125725696,10911960000000,1540889128,223,
pdg_peer4,2125725696,24537860000000,1238117344,160,
pdg_peer5,2134114304,13267090000000,1179672688,162,
pdg_peer6,2134114304,13236390000000,1385837336,162,
pdg_peer7,2134114304,15433890000000,594752664,160,
pdg_locator3,2134114304,3564280000000,2041354816,134,
pdg_locator4,2125725696,4930390000000,2024345280,133,
pdg_peer3,2125725696,23908340000000,352753320,160,
pdg_server2,2125725696,68020230000000,1170604056,171,
