Key,routerName,serverName,Connection,Status,upTime,downTime,routerId,serverId
18301:,Paris Trading Prices,P3,local,Up,06:00:00,22:15:00,18301
18301:15404,18301,15404,direct,Up,06:06:30,22:15:00,18301,15404
18301:15405,18301,15405,direct,Up,06:05:49,22:15:00,18301,15405
18301:15401,Paris Trading,SLE,direct,Up,06:06:30,22:15:00,18301,15401
18301:15402,18301,15402,direct,Up,06:06:30,22:15:00,18301,15402
18301:4001,Paris Trading Prices,SLC,direct,Up,06:10:12,22:15:00,18301,4001
9351:,9351, ,via GLNet,Up,06:10:25,22:15:00,9351,
9351:9351,9351,9351,via GLNet,Up,06:10:25,22:15:00,9351,9351
23917:,23917, ,via GLNet,Up,07:10:51,22:15:00,23917,
23917:23917,23917,23917,via GLNet,Up,07:10:51,22:15:00,23917,23917
48059:,48059, ,via GLNet,Up,07:45:19,22:15:00,48059,
48059:48059,48059,48059,via GLNet,Up,07:45:19,22:15:00,48059,48059
