key,name,number,user,type,status,activeJobStatus,statusInQueue,jobStartDate,jobStartTime,jobEndDate,jobEndTime,subsystem,priority,endReason,timeElapsed
<!>samplingStatus,OK
<!>system,V149221
<!>totalJobs,1220
<!>totalActiveJobs,194
<!>maxJobs,163520
<!>totalBatchJobs,72
<!>jobsMatchingFilter,1219
<!>jobsMaxRows,20
QZRCSRVS/011161,QZRCSRVS,011161,QUSER,BATCH,ACTIVE,PSRW,,2015-02-23,09:37:07 GMT,,,QUSRWRK,20 ,Job not ending.,00:00:47:58
QZRCSRVS/011162,QZRCSRVS,011162,QUSER,BATCH,ACTIVE,TIMW,,2015-02-23,09:37:07 GMT,,,QUSRWRK,20 ,Job not ending.,00:00:47:58
QZRCSRVS/011160,QZRCSRVS,011160,QUSER,BATCH,ACTIVE,RUN,,2015-02-23,09:35:09 GMT,,,QUSRWRK,20 ,Job not ending.,00:00:49:56
CRTPFRDTA/011119,CRTPFRDTA,011119,QSYS,BATCH,ACTIVE,DEQW,RLS,2015-02-23,00:00:02 GMT,,,QSYSWRK,50 ,Job not ending.,00:10:25:03
QHTTP/011120,QHTTP,011120,QTMHHTTP,BATCH,ACTIVE,SELW,RLS,2015-02-23,00:00:02 GMT,,,QSYSWRK,10 ,Job not ending.,00:10:25:03
QZRCSRVS/011109,QZRCSRVS,011109,QUSER,BATCH,ACTIVE,TIMW,,2015-02-22,22:10:18 GMT,,,QUSRWRK,20 ,Job not ending.,00:12:14:47
QZRCSRVS/011110,QZRCSRVS,011110,QUSER,BATCH,ACTIVE,TIMW,,2015-02-22,22:10:18 GMT,,,QUSRWRK,20 ,Job not ending.,00:12:14:47
QZRCSRVS/011107,QZRCSRVS,011107,QUSER,BATCH,ACTIVE,TIMW,,2015-02-22,22:09:24 GMT,,,QUSRWRK,20 ,Job not ending.,00:12:15:41
QZRCSRVS/011108,QZRCSRVS,011108,QUSER,BATCH,ACTIVE,TIMW,,2015-02-22,22:09:24 GMT,,,QUSRWRK,20 ,Job not ending.,00:12:15:41
QZRCSRVS/011059,QZRCSRVS,011059,QUSER,BATCH,ACTIVE,TIMA,,2015-02-18,03:05:04 GMT,,,QUSRWRK,20 ,Job not ending.,05:07:20:01
QPADEV000B/011012,QPADEV000B,011012,WLIM,INTERACTIVE,OUTQ,,,2015-02-17,01:56:59 GMT,2015-02-17,20:58:13 GMT,,0 ,Job ended due to a device error.,00:19:01:14
QPWFSERVSO/011008,QPWFSERVSO,011008,QUSER,BATCH,ACTIVE,PSRW,,2015-02-17,01:08:35 GMT,,,QSERVER,20 ,Job not ending.,06:09:16:30
QPADEV000B/010994,QPADEV000B,010994,WLIM,INTERACTIVE,OUTQ,,,2015-02-16,00:41:36 GMT,2015-02-16,05:35:50 GMT,,0 ,Job ended due to a device error.,00:04:54:14
QSCWCHMS/010981,QSCWCHMS,010981,QUSER,BATCH,ACTIVE,DEQW,RLS,2015-02-15,17:40:20 GMT,,,QUSRWRK,25 ,Job not ending.,07:16:44:45
QSCLICEV/010982,QSCLICEV,010982,QUSER,BATCH,ACTIVE,DEQW,RLS,2015-02-15,17:40:20 GMT,,,QUSRWRK,25 ,Job not ending.,07:16:44:45
QSRVMON/010979,QSRVMON,010979,QSYS,BATCH,ACTIVE,,,2015-02-15,17:40:13 GMT,,,QSYSWRK,50 ,Job not ending.,07:16:44:52
QZHQSSRV/010978,QZHQSSRV,010978,QUSER,BATCH,ACTIVE,PSRW,,2015-02-15,17:40:13 GMT,,,QUSRWRK,20 ,Job not ending.,07:16:44:52
QZHQSSRV/010977,QZHQSSRV,010977,QUSER,BATCH,ACTIVE,PSRW,,2015-02-15,17:40:13 GMT,,,QUSRWRK,20 ,Job not ending.,07:16:44:52
QDFTJOBD/010963,QDFTJOBD,010963,U0013911,BATCH,OUTQ,,RLS,2015-02-15,17:40:03 GMT,2015-02-15,17:40:04 GMT,,0 ,Job ended due to the message severity level being exceeded.,00:00:00:01
QPWFSERVSO/010955,QPWFSERVSO,010955,QUSER,BATCH,ACTIVE,PSRW,,2015-02-15,17:39:43 GMT,,,QSERVER,20 ,Job not ending.,07:16:45:22
