key,id,severity,type,date,time,senderJobName,senderJobUser,senderJobNumber,text
<!>samplingStatus,OK
<!>system,V149221
<!>queuePath,/QSYS.LIB/QSYSOPR.MSGQ
<!>totalMessages,323
<!>messageMaxRows,20
58384 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,09:20:08 GMT,QZRCSRVS,QUSER,011149,Job message queue for 011149/QUSER/QZRCSRVS has been wrapped.
58208 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,09:10:17 GMT,QZRCSRVS,QUSER,011149,Job message queue for 011149/QUSER/QZRCSRVS has been wrapped.
58016 2015-02-23,CPI096E,99 ,INFORMATIONAL,2015-02-23,09:02:56 GMT,QSYSARB5,QSYS,010564,Disk unit connection is missing.
57840 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,09:00:43 GMT,QZRCSRVS,QUSER,011149,Job message queue for 011149/QUSER/QZRCSRVS has been wrapped.
57664 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,08:55:55 GMT,QZRCSRVS,QUSER,011059,Job message queue for 011059/QUSER/QZRCSRVS has been wrapped.
57488 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,08:50:47 GMT,QZRCSRVS,QUSER,011149,Job message queue for 011149/QUSER/QZRCSRVS has been wrapped.
57312 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,08:41:08 GMT,QZRCSRVS,QUSER,011149,Job message queue for 011149/QUSER/QZRCSRVS has been wrapped.
57136 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,08:31:29 GMT,QZRCSRVS,QUSER,011149,Job message queue for 011149/QUSER/QZRCSRVS has been wrapped.
56960 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,08:28:14 GMT,QZRCSRVS,QUSER,011110,Job message queue for 011110/QUSER/QZRCSRVS has been wrapped.
56800 2015-02-23,CPF2456,0 ,INFORMATIONAL,2015-02-23,08:21:09 GMT,SCPF,QSYS,000000,Log version QHST15046B in QSYS closed and should be saved.
56624 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,08:17:31 GMT,QZRCSRVS,QUSER,011147,Job message queue for 011147/QUSER/QZRCSRVS has been wrapped.
56448 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,08:08:19 GMT,QZRCSRVS,QUSER,011147,Job message queue for 011147/QUSER/QZRCSRVS has been wrapped.
58560 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,09:44:21 GMT,QZRCSRVS,QUSER,011110,Job message queue for 011110/QUSER/QZRCSRVS has been wrapped.
58736 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,09:46:10 GMT,QZRCSRVS,QUSER,011059,Job message queue for 011059/QUSER/QZRCSRVS has been wrapped.
58912 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,09:47:15 GMT,QZRCSRVS,QUSER,011160,Job message queue for 011160/QUSER/QZRCSRVS has been wrapped.
59088 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,09:54:06 GMT,QZRCSRVS,QUSER,011108,Job message queue for 011108/QUSER/QZRCSRVS has been wrapped.
59264 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,09:57:12 GMT,QZRCSRVS,QUSER,011160,Job message queue for 011160/QUSER/QZRCSRVS has been wrapped.
59440 2015-02-23,CPI096E,99 ,INFORMATIONAL,2015-02-23,10:03:02 GMT,QSYSARB5,QSYS,010564,Disk unit connection is missing.
59632 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,10:07:05 GMT,QZRCSRVS,QUSER,011160,Job message queue for 011160/QUSER/QZRCSRVS has been wrapped.
59808 2015-02-23,CPI2417,40 ,INFORMATIONAL,2015-02-23,10:16:48 GMT,QZRCSRVS,QUSER,011160,Job message queue for 011160/QUSER/QZRCSRVS has been wrapped.
