name,path,totalMessages,severity
<!>samplingStatus,OK
<!>system,V149221
<!>totalQueues,79
QSRVMON,/QSYS.LIB/QSERVICE.LIB/QSRVMON.MSGQ,0 ,0
DSP01,/QSYS.LIB/DSP01.MSGQ,2 ,0
QCFGMSGQ,/QSYS.LIB/QCFGMSGQ.MSGQ,0 ,0
QCONSOLE,/QSYS.LIB/QCONSOLE.MSGQ,0 ,0
QHST,/QSYS.LIB/QHST.MSGQ,0 ,0
QPADEV000B,/QSYS.LIB/QPADEV000B.MSGQ,0 ,0
QPADEV000C,/QSYS.LIB/QPADEV000C.MSGQ,0 ,0
QPADEV0001,/QSYS.LIB/QPADEV0001.MSGQ,0 ,0
QPADEV0002,/QSYS.LIB/QPADEV0002.MSGQ,0 ,0
QPADEV0003,/QSYS.LIB/QPADEV0003.MSGQ,0 ,0
QPADEV0004,/QSYS.LIB/QPADEV0004.MSGQ,0 ,0
QPADEV0005,/QSYS.LIB/QPADEV0005.MSGQ,0 ,0
QPADEV0006,/QSYS.LIB/QPADEV0006.MSGQ,0 ,0
QPADEV0007,/QSYS.LIB/QPADEV0007.MSGQ,0 ,0
QPADEV0008,/QSYS.LIB/QPADEV0008.MSGQ,0 ,0
QPADEV0009,/QSYS.LIB/QPADEV0009.MSGQ,0 ,0
QSERVICE,/QSYS.LIB/QSERVICE.MSGQ,0 ,0
QSWMSGRPY,/QSYS.LIB/QSWMSGRPY.MSGQ,0 ,0
QSWMSGR01,/QSYS.LIB/QSWMSGR01.MSGQ,0 ,0
QSWMSGR02,/QSYS.LIB/QSWMSGR02.MSGQ,0 ,0
QSWMSGR03,/QSYS.LIB/QSWMSGR03.MSGQ,0 ,0
QSWMSGR04,/QSYS.LIB/QSWMSGR04.MSGQ,0 ,0
QSWMSGR05,/QSYS.LIB/QSWMSGR05.MSGQ,0 ,0
QSWMSGR06,/QSYS.LIB/QSWMSGR06.MSGQ,0 ,0
QSWMSGR07,/QSYS.LIB/QSWMSGR07.MSGQ,0 ,0
QSWMSGR08,/QSYS.LIB/QSWMSGR08.MSGQ,0 ,0
QSWMSGR09,/QSYS.LIB/QSWMSGR09.MSGQ,0 ,0
QSWMSGR10,/QSYS.LIB/QSWMSGR10.MSGQ,0 ,0
QSWMSGR11,/QSYS.LIB/QSWMSGR11.MSGQ,0 ,0
QSWMSGR12,/QSYS.LIB/QSWMSGR12.MSGQ,0 ,0
QSWMSGR13,/QSYS.LIB/QSWMSGR13.MSGQ,0 ,0
QSWMSGR14,/QSYS.LIB/QSWMSGR14.MSGQ,0 ,0
QSWMSGR15,/QSYS.LIB/QSWMSGR15.MSGQ,0 ,0
QSWMSGR16,/QSYS.LIB/QSWMSGR16.MSGQ,0 ,0
QSYSOPR,/QSYS.LIB/QSYSOPR.MSGQ,323 ,0
QTMPLPD,/QSYS.LIB/QTCP.LIB/QTMPLPD.MSGQ,0 ,0
BPINGOL,/QSYS.LIB/QUSRSYS.LIB/BPINGOL.MSGQ,0 ,0
DB2XML,/QSYS.LIB/QUSRSYS.LIB/DB2XML.MSGQ,0 ,0
DRADMIN,/QSYS.LIB/QUSRSYS.LIB/DRADMIN.MSGQ,0 ,0
LOKE,/QSYS.LIB/QUSRSYS.LIB/LOKE.MSGQ,0 ,0
MDUNTITLED,/QSYS.LIB/QUSRSYS.LIB/MDUNTITLED.MSGQ,0 ,0
MRADMIN,/QSYS.LIB/QUSRSYS.LIB/MRADMIN.MSGQ,0 ,0
MRSCHEDULE,/QSYS.LIB/QUSRSYS.LIB/MRSCHEDULE.MSGQ,0 ,0
NOGROUP,/QSYS.LIB/QUSRSYS.LIB/NOGROUP.MSGQ,0 ,0
PSALES,/QSYS.LIB/QUSRSYS.LIB/PSALES.MSGQ,0 ,0
QDESADM,/QSYS.LIB/QUSRSYS.LIB/QDESADM.MSGQ,0 ,0
QDESUSR,/QSYS.LIB/QUSRSYS.LIB/QDESUSR.MSGQ,0 ,0
QDFTOWN,/QSYS.LIB/QUSRSYS.LIB/QDFTOWN.MSGQ,0 ,0
QEJB,/QSYS.LIB/QUSRSYS.LIB/QEJB.MSGQ,0 ,0
QEJBSVR,/QSYS.LIB/QUSRSYS.LIB/QEJBSVR.MSGQ,0 ,0
QHAUSRPRF,/QSYS.LIB/QUSRSYS.LIB/QHAUSRPRF.MSGQ,0 ,0
QIBMHELP,/QSYS.LIB/QUSRSYS.LIB/QIBMHELP.MSGQ,0 ,0
QIJS,/QSYS.LIB/QUSRSYS.LIB/QIJS.MSGQ,0 ,0
QIPP,/QSYS.LIB/QUSRSYS.LIB/QIPP.MSGQ,0 ,0
QLWISVR,/QSYS.LIB/QUSRSYS.LIB/QLWISVR.MSGQ,0 ,0
QMGTC,/QSYS.LIB/QUSRSYS.LIB/QMGTC.MSGQ,0 ,0
QNETSPLF,/QSYS.LIB/QUSRSYS.LIB/QNETSPLF.MSGQ,0 ,0
QPGMR,/QSYS.LIB/QUSRSYS.LIB/QPGMR.MSGQ,0 ,0
QPM400,/QSYS.LIB/QUSRSYS.LIB/QPM400.MSGQ,0 ,0
QSECOFR,/QSYS.LIB/QUSRSYS.LIB/QSECOFR.MSGQ,5 ,0
QSRV,/QSYS.LIB/QUSRSYS.LIB/QSRV.MSGQ,0 ,0
QSRVAGT,/QSYS.LIB/QUSRSYS.LIB/QSRVAGT.MSGQ,0 ,0
QSRVBAS,/QSYS.LIB/QUSRSYS.LIB/QSRVBAS.MSGQ,0 ,0
QTCP,/QSYS.LIB/QUSRSYS.LIB/QTCP.MSGQ,796 ,0
QTFTP,/QSYS.LIB/QUSRSYS.LIB/QTFTP.MSGQ,0 ,0
QTMHHTTP,/QSYS.LIB/QUSRSYS.LIB/QTMHHTTP.MSGQ,22 ,0
QTSTRQS,/QSYS.LIB/QUSRSYS.LIB/QTSTRQS.MSGQ,0 ,0
QUSER,/QSYS.LIB/QUSRSYS.LIB/QUSER.MSGQ,0 ,0
QWEBADMIN,/QSYS.LIB/QUSRSYS.LIB/QWEBADMIN.MSGQ,0 ,0
QWEBQRYADM,/QSYS.LIB/QUSRSYS.LIB/QWEBQRYADM.MSGQ,0 ,0
QWSERVICE,/QSYS.LIB/QUSRSYS.LIB/QWSERVICE.MSGQ,0 ,0
U0000595,/QSYS.LIB/QUSRSYS.LIB/U0000595.MSGQ,0 ,0
U0013911,/QSYS.LIB/QUSRSYS.LIB/U0013911.MSGQ,0 ,0
VLPADMIN,/QSYS.LIB/QUSRSYS.LIB/VLPADMIN.MSGQ,2 ,0 
WLIM,/QSYS.LIB/QUSRSYS.LIB/WLIM.MSGQ,0 ,0
