key,name,library,activeJobs,maxActiveJobs,pools,status
<!>samplingStatus,OK
<!>system,V149221
<!>subsystems,54
QZSNDPR/QDP4,QZSNDPR,QDP4,0 ,NOMAX,1 ,INACTIVE
QDSNX/QGPL,QDSNX,QGPL,0 ,NOMAX,1 ,INACTIVE
QFNC/QGPL,QFNC,QGPL,0 ,NOMAX,1 ,INACTIVE
QHTTPSVR/QHTTPSVR,QHTTPSVR,QHTTPSVR,7 ,NOMAX,1 ,ACTIVE
QBASE/QINMEDIA,QBASE,QINMEDIA,0 ,NOMAX,2 ,INACTIVE
QBATCH/QINMEDIA,QBATCH,QINMEDIA,0 ,NOMAX,1 ,INACTIVE
QCMN/QINMEDIA,QCMN,QINMEDIA,0 ,NOMAX,1 ,INACTIVE
QCTL/QINMEDIA,QCTL,QINMEDIA,0 ,NOMAX,1 ,INACTIVE
QINTER/QINMEDIA,QINTER,QINMEDIA,0 ,NOMAX,2 ,INACTIVE
QLPINSTALL/QINMEDIA,QLPINSTALL,QINMEDIA,0 ,NOMAX,1 ,INACTIVE
QPGMR/QINMEDIA,QPGMR,QINMEDIA,0 ,NOMAX,2 ,INACTIVE
QSNADS/QINMEDIA,QSNADS,QINMEDIA,0 ,NOMAX,1 ,INACTIVE
QSPL/QINMEDIA,QSPL,QINMEDIA,0 ,NOMAX,2 ,INACTIVE
QSYSSBSD/QINMEDIA,QSYSSBSD,QINMEDIA,0 ,NOMAX,1 ,INACTIVE
QSYSWRK/QINMEDIA,QSYSWRK,QINMEDIA,0 ,NOMAX,1 ,INACTIVE
QUSRWRK/QINMEDIA,QUSRWRK,QINMEDIA,0 ,NOMAX,1 ,INACTIVE
QBASE/QINPRIOR,QBASE,QINPRIOR,0 ,NOMAX,2 ,INACTIVE
QBATCH/QINPRIOR,QBATCH,QINPRIOR,0 ,NOMAX,1 ,INACTIVE
QCMN/QINPRIOR,QCMN,QINPRIOR,0 ,NOMAX,1 ,INACTIVE
QCTL/QINPRIOR,QCTL,QINPRIOR,0 ,NOMAX,1 ,INACTIVE
QINTER/QINPRIOR,QINTER,QINPRIOR,0 ,NOMAX,2 ,INACTIVE
QLPINSTALL/QINPRIOR,QLPINSTALL,QINPRIOR,0 ,NOMAX,1 ,INACTIVE
QPGMR/QINPRIOR,QPGMR,QINPRIOR,0 ,NOMAX,2 ,INACTIVE
QSNADS/QINPRIOR,QSNADS,QINPRIOR,0 ,NOMAX,1 ,INACTIVE
QSPL/QINPRIOR,QSPL,QINPRIOR,0 ,NOMAX,2 ,INACTIVE
QSYSSBSD/QINPRIOR,QSYSSBSD,QINPRIOR,0 ,NOMAX,1 ,INACTIVE
QSYSWRK/QINPRIOR,QSYSWRK,QINPRIOR,0 ,NOMAX,1 ,INACTIVE
QUSRWRK/QINPRIOR,QUSRWRK,QINPRIOR,0 ,NOMAX,1 ,INACTIVE
QBASE/QINSYS,QBASE,QINSYS,0 ,NOMAX,2 ,INACTIVE
QBATCH/QINSYS,QBATCH,QINSYS,0 ,NOMAX,1 ,INACTIVE
QCMN/QINSYS,QCMN,QINSYS,0 ,NOMAX,1 ,INACTIVE
QCTL/QINSYS,QCTL,QINSYS,0 ,NOMAX,1 ,INACTIVE
QINTER/QINSYS,QINTER,QINSYS,0 ,NOMAX,2 ,INACTIVE
QLPINSTALL/QINSYS,QLPINSTALL,QINSYS,0 ,NOMAX,1 ,INACTIVE
QPGMR/QINSYS,QPGMR,QINSYS,0 ,NOMAX,2 ,INACTIVE
QSNADS/QINSYS,QSNADS,QINSYS,0 ,NOMAX,1 ,INACTIVE
QSPL/QINSYS,QSPL,QINSYS,0 ,NOMAX,2 ,INACTIVE
QSYSSBSD/QINSYS,QSYSSBSD,QINSYS,0 ,NOMAX,1 ,INACTIVE
QSYSWRK/QINSYS,QSYSWRK,QINSYS,0 ,NOMAX,1 ,INACTIVE
QUSRWRK/QINSYS,QUSRWRK,QINSYS,0 ,NOMAX,1 ,INACTIVE
QBASE/QSYS,QBASE,QSYS,0 ,NOMAX,2 ,INACTIVE
QBATCH/QSYS,QBATCH,QSYS,0 ,NOMAX,1 ,ACTIVE
QCMN/QSYS,QCMN,QSYS,7 ,NOMAX,1 ,ACTIVE
QCTL/QSYS,QCTL,QSYS,0 ,NOMAX,1 ,ACTIVE
QINTER/QSYS,QINTER,QSYS,0 ,NOMAX,2 ,ACTIVE
QLPINSTALL/QSYS,QLPINSTALL,QSYS,0 ,NOMAX,1 ,INACTIVE
QPGMR/QSYS,QPGMR,QSYS,0 ,NOMAX,2 ,INACTIVE
QSERVER/QSYS,QSERVER,QSYS,16 ,NOMAX,1 ,ACTIVE
QSNADS/QSYS,QSNADS,QSYS,0 ,NOMAX,1 ,INACTIVE
QSPL/QSYS,QSPL,QSYS,0 ,NOMAX,2 ,ACTIVE
QSYSSBSD/QSYS,QSYSSBSD,QSYS,0 ,NOMAX,1 ,INACTIVE
QSYSWRK/QSYS,QSYSWRK,QSYS,87 ,NOMAX,1 ,ACTIVE
QUSRWRK/QSYS,QUSRWRK,QSYS,28 ,NOMAX,1 ,ACTIVE
ZENDSVR/ZENDSVR,ZENDSVR,ZENDSVR,0 ,NOMAX,1 ,INACTIVE
