SeqNum,TargetID,SenderID,FixVersion,IOIid,TransType,Symbol,Side,Shares,Text
1,CRMC,HSBC,FIX.4.0,0001932432LOA1,N,8382.T,1,S, 
2,BLP,HSBL,FIX.4.1,0001932430LOA1,N,8382.T,1,S, 
3,JPMAMS,HSBC,FIX.4.0,0001932434LOA1,N,8382.T,1,S, 
4,ATRAIOI,HIBAIOI,FIX.4.2,932428,N,8382.T,1,S, 
5,BEN,HSBC,FIX.4.0,1932436,N,8382,1,S, 
6,CAPG,HSBC,FIX.4.0,0001932431LOA1,N,8382.T,1,S, 
7,CFAM,HSBCF,FIX.4.2,0001932435LOA1,N,8382.T,1,S, 
8,FMRCO,HSBC,FIX.4.0,0001932433LOA1,N,8382.T,1,S, 
9,CRMC,HSBC,FIX.4.0,0001932442LOA1,N,4507.T,1,S, 
10,BLP,HSBL,FIX.4.1,0001932440LOA1,N,4507.T,1,S, 
11,JPMAMS,HSBC,FIX.4.0,0001932444LOA1,N,4507.T,1,S, 
12,ATRAIOI,HIBAIOI,FIX.4.2,932438,N,4507.T,1,S, 
13,BEN,HSBC,FIX.4.0,1932446,N,4507,1,S, 
14,CAPG,HSBC,FIX.4.0,0001932441LOA1,N,4507.T,1,S, 
15,CFAM,HSBCF,FIX.4.2,0001932445LOA1,N,4507.T,1,S, 
16,FMRCO,HSBC,FIX.4.0,0001932443LOA1,N,4507.T,1,S, 
17,CRMC,HSBC,FIX.4.0,0001932452LOA1,N,8248.OS,1,S, 
18,BLP,HSBL,FIX.4.1,0001932450LOA1,N,8248.OS,1,S, 
19,JPMAMS,HSBC,FIX.4.0,0001932454LOA1,N,8248.OS,1,S, 
20,ATRAIOI,HIBAIOI,FIX.4.2,932448,N,8248.OS,1,S, 
21,BEN,HSBC,FIX.4.0,1932456,N,8248,1,S, 
22,CAPG,HSBC,FIX.4.0,0001932451LOA1,N,8248.OS,1,S, 
23,CFAM,HSBCF,FIX.4.2,0001932455LOA1,N,8248.OS,1,S, 
24,FMRCO,HSBC,FIX.4.0,0001932453LOA1,N,8248.OS,1,S, 
25,CRMC,HSBC,FIX.4.0,0001932460LOA1,N,5214.T,2,S, 
26,BLP,HSBL,FIX.4.1,0001932458LOA1,N,5214.T,2,S, 
27,BEN,HSBC,FIX.4.0,1932463,N,5214,2,S, 
28,CAPG,HSBC,FIX.4.0,0001932459LOA1,N,5214.T,2,S, 
29,CFAM,HSBCF,FIX.4.2,0001932462LOA1,N,5214.T,2,S, 
30,FMRCO,HSBC,FIX.4.0,0001932461LOA1,N,5214.T,2,S, 
31,CRMC,HSBC,FIX.4.0,0001932467LOA1,N,6471.T,2,S, 
32,BLP,HSBL,FIX.4.1,0001932465LOA1,N,6471.T,2,S, 
33,BEN,HSBC,FIX.4.0,1932470,N,6471,2,S, 
34,CAPG,HSBC,FIX.4.0,0001932466LOA1,N,6471.T,2,S, 
35,CFAM,HSBCF,FIX.4.2,0001932469LOA1,N,6471.T,2,S, 
36,FMRCO,HSBC,FIX.4.0,0001932468LOA1,N,6471.T,2,S, 
