MsgIndicator,MsgType,Totals
<!>Total_FIX_Messages,2141
A,Logon,0
5,Logout,0
0,Heartbeat,1855
1,TestRequest,18
2,ResendRequest,42
3,Reject,42
4,SequenceReset,0
6,IndicationOfInterest,36
7,Advertisement,0
8,ExecutionReport,51
9,OrderCancelReject,1
B,News,0
C,Email,0
D,Order-Single,10
E,Order-List,0
F,OrderCancelRequest,4
G,OrderCancel/ReplaceRequest,0
H,OrderStatusRequest,0
J,Allocation,0
K,ListCancelRequest,0
L,ListExecute,0
M,ListStatusRequest,0
N,ListStatus,0
P,AllocationACK,0
Q,DontKnowTrade,2
R,QuoteRequest,0
S,Quote,0
T,SettlementInstructions,0
V,MarketDataRequest,0
W,MarketData-Snapshot/FullRefresh,0
X,MarketData-IncrementalRefresh,0
Y,MarketDataRequestReject,0
Z,QuoteCancel,0
a,QuoteStatusRequest,0
b,QuoteAcknowledgement,0
c,SecurityDefinitionRequest,0
d,SecurityDefinition,0
e,SecurityStatusRequest,0
f,SecurityStatus,0
g,TradingSessionStatusRequest,0
h,TradingSessionStatus,0
i,MassQuote,0
j,BusinessMessageReject,80
k,BidRequest,0
l,BidResponse,0
m,ListStrikePrice,0
