SeqNum,TargetID,SenderID,FixVersion,BeginSeqNo,EndSeqNo,LastSendTime,Text
1,PBRS,HSBC,FIX.4.2,1,1,20050926-05:00:31, 
2,CCFSEC,HSBC,FIX.4.2,1,120,20050926-06:00:05, 
3,HSBC,ROYB,FIX.4.2,1,126,20050926-06:53:58.351, 
4,NYFIX3,HSBC40,FIX.4.0,1,1,20050926-12:00:05, 
5,HSBC,ALPHA,FIX.4.2,1220,0,20050926-18:18:03, 
6,HSBCAS,JPMAS,FIX.4.0,2102,999999,20050926-15:44:22, 
7,HSBCF,CFAM,FIX.4.2,5557,0,20050926-15:45:32, 
8,HSBCB,JPMAMS,FIX.4.0,2095,999999,20050926-15:45:34, 
9,HSBCAS,JPMAS,FIX.4.0,2102,999999,20050926-15:47:25, 
10,HSBC,JPMAMS,FIX.4.0,7350,999999,20050926-15:48:27, 
11,HSBCF,CFAM,FIX.4.2,5557,0,20050926-15:49:48, 
12,HSBCB,JPMAMS,FIX.4.0,2095,999999,20050926-15:49:49, 
13,HSBCAS,JPMAS,FIX.4.0,2102,999999,20050926-15:50:18, 
14,HSBC,JPMAMS,FIX.4.0,7350,999999,20050926-15:50:21, 
15,HSBCB,JPMAMS,FIX.4.0,2095,999999,20050926-15:51:15, 
16,HSBCAS,JPMAS,FIX.4.0,2102,999999,20050926-15:51:35, 
17,HSBC,JPMAMS,FIX.4.0,7350,999999,20050926-15:51:36, 
18,HSBCF,CFAM,FIX.4.2,5557,0,20050926-15:52:04, 
19,HSBCAS,JPMAS,FIX.4.0,2102,999999,20050926-15:55:31, 
20,HSBC,JPMAMS,FIX.4.0,7350,999999,20050926-15:55:32, 
21,HSBCF,CFAM,FIX.4.2,5557,0,20050926-15:56:05, 
22,HSBCB,JPMAMS,FIX.4.0,2095,999999,20050926-15:56:06, 
23,CFAM,HSBCF,FIX.4.2,1058,1058,20050926-15:57:32, 
24,HSBCF,CFAM,FIX.4.2,5557,0,20050926-15:57:20, 
25,HSBCAS,JPMAS,FIX.4.0,2102,999999,20050926-15:57:21, 
26,JPMAMS,HSBC,FIX.4.0,1032,1032,20050926-15:57:42, 
27,HSBC,JPMAMS,FIX.4.0,7350,999999,20050926-15:57:22, 
28,HSBCB,JPMAMS,FIX.4.0,2095,999999,20050926-15:57:54, 
29,CFAM,HSBCF,FIX.4.2,1058,1060,20050926-15:58:37, 
30,HSBCB,JPMAMS,FIX.4.0,2095,999999,20050926-15:58:02, 
31,CFAM,HSBCF,FIX.4.2,1058,1060,20050926-15:59:09, 
32,CFAM,HSBCF,FIX.4.2,1058,1067,20050926-16:03:12, 
33,JPMAMS,HSBCB,FIX.4.0,2002,2002,20050926-16:03:12, 
34,HSBCB,JPMAMS,FIX.4.0,2095,999999,20050926-16:03:09, 
35,JPMAMS,HSBCB,FIX.4.0,2002,2002,20050926-16:03:52, 
36,JPMAMS,HSBC,FIX.4.0,1032,1032,20050926-16:03:52, 
37,CFAM,HSBCF,FIX.4.2,1058,1068,20050926-16:04:32, 
38,JPMAMS,HSBCB,FIX.4.0,2002,2002,20050926-16:04:32, 
39,JPMAMS,HSBCB,FIX.4.0,2002,2010,20050926-16:10:13, 
40,JPMAMS,HSBCB,FIX.4.0,2002,2010,20050926-16:10:44, 
41,JPMAMS,HSBC,FIX.4.0,1032,1042,20050926-16:17:34, 
42,HSBC,JPMAMS,FIX.4.0,7351,999999,20050926-16:17:27, 
