Report Key,Report Group,Report Name,Report Type,Report Arguments,Report Launch Date,Report Duration In Seconds,Execution Status,Report Status,Nb Errors,Nb Warnings,Report Duration
<!>Data Availability,OK
<!>Nb Jobs Executed,207
<!>Nb Jobs No Results,64
<!>Nb Jobs Failed,1
<!>Nb Jobs Succeeded,270
<!>Nb Errors,1
<!>Nb Warnings,908
<!>Total Duration in Seconds,26403
<!>Total Duration,07:20:03
CPTY_B2B - jeu. 8 aoû13 - 00:45:25,OTHER,CPTY_B2B,REPORT,VAR,jeu. 8 aoû13 - 00:45:25,342,EXECUTED,SUCCEED,0,0,00:05:42
CPTY_B2B - jeu. 8 aoû13 - 00:52:10,OTHER,CPTY_B2B,REPORT,BRA,jeu. 8 aoû13 - 00:52:10,20,EXECUTED,SUCCEED,0,0,00:00:20
CPTY_B2B - jeu. 8 aoû13 - 00:53:33,OTHER,CPTY_B2B,REPORT,PRA,jeu. 8 aoû13 - 00:53:33,238,EXECUTED,SUCCEED,0,0,00:03:58
CPTY_B2B - jeu. 8 aoû13 - 00:58:35,OTHER,CPTY_B2B,REPORT,RUS,jeu. 8 aoû13 - 00:58:35,1,NO_RESULT,SUCCEED,0,0,00:00:01
CPTY_B2B - jeu. 8 aoû13 - 00:59:41,OTHER,CPTY_B2B,REPORT,EMP,jeu. 8 aoû13 - 00:59:41,134,EXECUTED,SUCCEED,0,0,00:02:14
CACC_FLTVB - jeu. 8 aoû13 - 02:00:56,OTHER,CACC_FLTVB,REPORT,PARISCASA; NULL; NULL; PCSTR_PGIN; NULL; NULL; NULL; 31/05/2012; 08/06/2012; T; Y; N; NULL,jeu. 8 aoû13 - 02:00:56,3,EXECUTED,SUCCEED,0,0,00:00:03
CACC_FLTVB - jeu. 8 aoû13 - 02:01:26,OTHER,CACC_FLTVB,REPORT,PARISCASA; NULL; NULL; PCSTR_PGIN; NULL; NULL; NULL; 31/05/2012; 08/06/2012; M; Y; N; NULL,jeu. 8 aoû13 - 02:01:26,12,EXECUTED,SUCCEED,0,0,00:00:12
CAL_CPTYAD - jeu. 8 aoû13 - 03:23:03,OTHER,CAL_CPTYAD,REPORT,07/06/2012,jeu. 8 aoû13 - 03:23:03,356,NO_RESULT,SUCCEED,0,0,00:05:56
FUTURE_POS - jeu. 8 aoû13 - 04:06:46,OTHER,FUTURE_POS,REPORT,WARSAW; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:06:46,5,EXECUTED,SUCCEED,0,0,00:00:05
BACKVD - jeu. 8 aoû13 - 04:06:44,OTHER,BACKVD,REPORT,07/06/2012; BACKVALUE; NULL,jeu. 8 aoû13 - 04:06:44,66,EXECUTED,SUCCEED,0,0,00:01:06
