instr_feed,BidPrice,BidSize,SourceTime
AAPL_abm_otc_a,249.7,100,0
AAPL_mamacache,249.7,100,0
ACGY_abm_otc_a,14.65,200,0
ACGY_mamacache,14.65,200,0
AIXG_abm_otc_a,25.05,26,0
AIXG_mamacache,25.05,26,0
AMZN_abm_otc_a,122.61,100,0
AMZN_mamacache,122.61,100,0
ARMH_abm_otc_a,12.29,3000,0
ARMH_mamacache,12.29,3000,0
ASMI_abm_otc_a,21.47,2400,0
ASMI_mamacache,21.47,2400,0
ASML_abm_otc_a,28.99,400,0
ASML_mamacache,28.99,400,0
BCOM_abm_otc_a,24.76,100,0
BCOM_mamacache,24.76,100,0
BIDU_abm_otc_a,72.25,300,0
BIDU_mamacache,72.25,300,0
BUCY_abm_otc_a,51.24,100,0
BUCY_mamacache,51.24,100,0
CDXS_abm_otc_a,9.71,100,0
CDXS_mamacache,9.71,100,0
CENT_abm_otc_a,9.65,100,0
CENT_mamacache,9.65,100,0
CIEN_abm_otc_a,14.06,700,0
CIEN_mamacache,14.06,700,0
CINF_abm_otc_a,27.49,500,0
CINF_mamacache,27.49,500,0
CKXE_abm_otc_a,5.25,300,0
CKXE_mamacache,5.25,300,0
CPHD_abm_otc_a,17.3,100,0
CPHD_mamacache,17.3,100,0
CREE_abm_otc_a,62.26,200,0
CREE_mamacache,62.26,200,0
CRNT_abm_otc_a,7.15,100,0
CRNT_mamacache,7.15,100,0
CRXL_abm_otc_a,17.55,100,0
CRXL_mamacache,17.55,100,0
CSCO_abm_otc_a,22.66,20300,0
CSCO_mamacache,22.66,20300,0
CTCM_abm_otc_a,14.57,100,0
CTCM_mamacache,14.57,100,0
CTIC_abm_otc_a,0.355,400,0
CTIC_mamacache,0.355,400,0
