instrument,bid,ask,srcTime,latency,lastUpdate,secSinceLastUpdate,ticksPerSample
<!>Feed,bloomberg
<!>Now,18/06/15 15:28:59
<!>TotalTicks,1155115
<!>offset,0
<!>samples,8593
AUD,0.7802,0.7803,19:28:58.000,-0.843,15:28:58.157044,0.924,23
CAD,0.8178,0.8179,19:28:48.000,-0.062,15:28:48.938281,10.143,0
CHF,1.0854,1.0855,19:28:55.000,-3.89,15:28:55.110157,3.971,4
EUR,1.1378,1.1379,19:28:58.000,-0.647,15:28:58.353315,0.728,13
GBP,1.5884,1.5885,19:28:58.000,-0.403,15:28:58.597464,0.484,19
HKD,0.12899,0.12899,19:28:53.000,-5.097,15:28:53.902552,5.178,2
JPY,0.008137,0.008137,19:28:58.000,-0.34,15:28:58.659597,0.421,3
SGD,,,,0,Never,0,0
XAG,16.1841,16.209,19:28:55.000,-3.694,15:28:55.305875,3.775,4
XAU,1201.92,1202.21,19:28:57.000,-1.776,15:28:57.224317,1.857,12
