instrument,bid,ask,srcTime,latency,lastUpdate,secSinceLastUpdate,ticksPerSample
<!>Feed,bloomberg
<!>Now,18/06/15 15:29:09
AUD Negative,0.775,0.7752,21:16:35.000,-3.649,17:16:35.351256,3.684,7
AUD Positive,0.7821,0.7821,11:05:09.000,0.099,07:05:09.098865,0.004,17
CAD Negative,0.8225,0.8225,13:46:18.000,-9.811,09:46:19.188969,9.849,2
CAD Positive,0.824,0.8241,12:31:48.000,0.043,08:31:49.042591,0.05,4
CHF Negative,1.0846,1.0848,23:03:58.000,-9.976,19:03:59.023786,10.07,1
CHF Positive,1.0842,1.0844,23:40:58.000,0.033,19:40:59.032931,0.026,5
EUR Negative,1.1339,1.134,21:01:44.000,-4.041,17:01:44.959453,4.075,18
EUR Positive,1.1333,1.1334,22:46:09.000,0.101,18:46:09.100801,0.002,11
GBP Negative,1.5832,1.5833,21:02:21.000,-6.968,17:02:22.032095,6.971,2
GBP Positive,1.5844,1.5845,00:55:09.000,0.099,20:55:09.099295,0.002,34
HKD Negative,0.12899,0.12899,07:19:50.000,-8.527,03:19:50.472608,8.569,1
HKD Positive,0.12898,0.12899,20:31:58.000,-0.26,16:31:58.740172,0.341,2
JPY Negative,0.008151,0.008152,11:05:59.000,-9.612,07:05:59.387759,9.647,2
JPY Positive,0.008095,0.008096,00:05:28.000,0.055,20:05:29.054706,0.02,2
XAG Negative,16.089,16.1112,00:04:08.000,-9.957,20:04:09.042665,9.982,1
XAG Positive,16.1675,16.1887,04:13:58.000,0.097,00:13:59.096629,0.004,26
XAU Negative,1184.53,1184.85,23:23:29.000,-9.879,19:23:29.120702,9.926,4
XAU Positive,1198.59,1198.87,12:03:09.000,0.1,08:03:09.099608,0.002,74
