instrument,avgbaseBid,avgbaseAsk,baseTicks,baseSpread,avgaltBid,avgaltAsk,altTicks,altSpread,BidCompare,AskCompare
<!>Now,18/06/15 15:29:15
<!>altFeed,bloombergA
<!>baseFeed,bloomberg
<!>totalTicks,1396096
AUD,0.7802,0.7803,26,0.0001,,,,,0,0
CAD,,,,,,,,,0,0
CHF,1.0854,1.0855,1,0.0001,,,,,0,0
EUR,1.1378,1.1379,26,0.0001,1.1378,1.1379,26,0.0001,0,0
GBP,1.5885,1.5885,30,0.0001,1.5885,1.5885,30,0.0001,0,0
HKD,,,,,,,,,0,0
JPY,0.0081,0.0081,2,0.0000,,,,,0,0
SGD,,,,,,,,,0,0
XAG,16.1873,16.2084,15,0.0211,,,,,0,0
XAU,1201.9204,1202.2027,93,0.2823,,,,,0,0
