instrument,avgAsk,avgBid,minSpread,maxSpread,Ticks,avgSpread,maxInterval,tradePrice
<!>Feed,bloomberg
<!>Now,18/06/15 15:29:19
<!>totalTicks,1120361
JPY,0.01,0.01,0.0000,0.0000,2,0.0000,1.6867,0.008137
CAD,0.82,0.82,0.0000,0.0001,3,-0.0000,2.1862,0.8179
AUD,0.78,0.78,0.0001,0.0001,19,0.0001,1.2433,0.7803
XAU,1202.20,1201.92,0.2500,0.3300,105,0.2830,4.8831,1202.02
GBP,1.59,1.59,0.0000,0.0001,27,0.0001,1.2840,1.5885
EUR,1.14,1.14,0.0000,0.0001,24,0.0001,1.5327,1.1378
HKD,0.13,0.13,0.0000,0.0000,1,0.0000,0.0000,0.12899
CHF,1.09,1.09,0.0001,0.0002,4,0.0002,2.6952,1.0854
XAG,16.21,16.19,0.0179,0.0226,12,0.0197,7.5397,16.1985
