instrument,bid,ask,bid_ask,srcTime
<!>Now,18/06/15 15:29:19
<!>bid_ask,0
JPY..001,0.008134,0.008134,0,19:26:55.000
AUD..001,0.78,0.78,0,19:27:03.000
GBP..001,1.5885,1.5885,0,19:28:57.000
EUR..001,1.1378,1.1378,0,19:28:30.000
HKD..001,0.12899,0.12899,0,19:27:50.000
CAD..001,0.8178,0.8178,0,19:26:48.000
CHF..001,1.085,1.085,0,19:21:21.000
XAU..001,1187.05,1186.69,0.3599999999999,03:46:53.000
XAU..002,1187.05,1186.69,0.3599999999999,03:47:02.000
XAU..003,1204.64,1204.48,0.16000000000008,15:11:17.000
XAU..004,1204.64,1204.48,0.16000000000008,15:11:17.000
CHF..002,1.085,1.085,0,19:21:23.000
CHF..003,1.0851,1.0851,0,19:21:25.000
CHF..004,1.0851,1.0851,0,19:21:48.000
CAD..002,0.8178,0.8178,0,19:27:16.000
JPY..002,0.008135,0.008135,0,19:27:25.000
JPY..003,0.008135,0.008135,0,19:27:25.000
JPY..004,0.008136,0.008136,0,19:27:30.000
AUD..002,0.7801,0.7801,0,19:27:37.000
AUD..003,0.7801,0.7801,0,19:27:37.000
JPY..005,0.008136,0.008136,0,19:27:53.000
JPY..006,0.008137,0.008137,0,19:28:25.000
JPY..007,0.008137,0.008137,0,19:28:28.000
HKD..002,0.12899,0.12899,0,19:28:20.000
JPY..008,0.008137,0.008137,0,19:28:53.000
JPY..009,0.008137,0.008137,0,19:28:55.000
HKD..003,0.12899,0.12899,0,19:28:50.000
AUD..004,0.7802,0.7802,0,19:28:54.000
AUD..005,0.7802,0.7802,0,19:28:54.000
AUD..006,0.7802,0.7802,0,19:28:54.000
GBP..002,1.5885,1.5885,0,19:28:58.000
EUR..002,1.1378,1.1378,0,19:28:40.000
CAD..003,0.8179,0.8179,0,19:28:48.000
CAD..004,0.8179,0.8179,0,19:29:16.000
GBP..003,1.5885,1.5885,0,19:28:58.000
GBP..004,1.5885,1.5885,0,19:28:59.000
GBP..005,1.5885,1.5885,0,19:29:00.000
GBP..006,1.5885,1.5885,0,19:29:02.000
GBP..007,1.5885,1.5885,0,19:29:02.000
GBP..008,1.5885,1.5885,0,19:29:03.000
GBP..009,1.5885,1.5885,0,19:29:10.000
EUR..003,1.1378,1.1378,0,19:29:00.000
EUR..004,1.1378,1.1378,0,19:29:01.000
