tracker,state,time,IP/Port,status,this,thisPersec,max,maxPersec,total
224.0.2.202:53560,Line,2009-06-09 17:39:48.15,224.0.2.202:53560,up,3352,56,4456,74,3883765
224.0.2.218:53561,Line,2009-06-09 17:39:48.15,224.0.2.218:53561,up,3352,56,4455,74,3883811
224.0.2.203:53562,Line,2009-06-09 17:39:48.15,224.0.2.203:53562,up,3380,56,5110,85,3754184
224.0.2.219:53563,Line,2009-06-09 17:39:48.15,224.0.2.219:53563,up,3381,56,5111,85,3754200
224.0.2.204:53564,Line,2009-06-09 17:39:48.15,224.0.2.204:53564,up,3887,65,4915,82,4232342
224.0.2.220:53565,Line,2009-06-09 17:39:48.15,224.0.2.220:53565,up,3887,65,4915,82,4232331
224.0.2.205:53566,Line,2009-06-09 17:39:48.15,224.0.2.205:53566,up,2686,45,4693,78,3232242
224.0.2.221:53567,Line,2009-06-09 17:39:48.15,224.0.2.221:53567,up,2685,45,4693,78,3232232
224.0.2.226:53576,Line,2009-06-09 17:39:48.15,224.0.2.226:53576,up,7713,129,15831,264,9640590
224.0.2.242:53577,Line,2009-06-09 17:39:48.15,224.0.2.242:53577,up,7714,129,15830,264,9640574
224.0.2.206:53568,Line,2009-06-09 17:39:48.15,224.0.2.206:53568,up,567,9,1855,31,659294
224.0.2.222:53569,Line,2009-06-09 17:39:48.15,224.0.2.222:53569,up,567,9,1855,31,659287
224.0.2.207:53570,Line,2009-06-09 17:39:48.15,224.0.2.207:53570,up,536,9,1482,25,580397
224.0.2.223:53571,Line,2009-06-09 17:39:48.15,224.0.2.223:53571,up,536,9,1482,25,580390
224.0.2.224:53572,Line,2009-06-09 17:39:48.15,224.0.2.224:53572,up,306,5,1850,31,337653
224.0.2.240:53573,Line,2009-06-09 17:39:48.15,224.0.2.240:53573,up,306,5,1850,31,337649
224.0.2.225:53574,Line,2009-06-09 17:39:48.15,224.0.2.225:53574,up,61,1,5308,88,252474
224.0.2.241:53575,Line,2009-06-09 17:39:48.15,224.0.2.241:53575,up,61,1,5308,88,252474
