channel,name,position,applicKey,activeItems,staleItems,insertsTotal,insertsFailed
260,OLiao,10.80.2.35/net,Default,9,0,0,0
268,FMok,10.80.2.30/pc-3eb413742285,News,0,0,0,0
269,Kkim,10.80.3.67/net,KobraSSL,1,0,0,0
272,JPriest,10.80.3.31/net,News,1,0,0,0
276,JPriest,10.80.3.31/net,Kobra,110,0,0,0
278,JPriest,10.80.3.31/net,Adfin,36,0,0,0
279,Kkim,10.80.3.67/HKBGC019,Kobra,44,0,0,0
284,DChan,10.80.2.44/DChan,Kobra,68,0,0,0
265,JPriest,10.80.3.31/net,News,0,0,0,0
257,DLee,10.80.2.75/net,Kobra,94,0,0,0
289,Kkim,10.80.3.67/HKBGC019,News,0,0,0,0
258,DLee,10.80.2.75/net,Adfin,35,0,0,0
266,FMa,10.80.3.143/HP21033119435,News,0,0,0,0
271,SWong,10.80.3.96/hkbb06,Adfin,17,0,0,0
274,VKo,10.80.2.131/hkecom01,Kobra,87,0,0,0
259,DLee,10.80.2.75/net,News,0,0,0,0
261,VKo,10.80.2.131/hkecom01,News,0,0,0,0
263,DLi,10.80.3.138/hkswap02,News,0,0,0,0
264,OLiao,10.80.2.54/net,News,0,0,0,0
270,DLi,10.80.3.138/hkswap02,Kobra,17,0,0,0
